;GO:0016525;GO:0015031;GO:0032570;GO:0006687;GO:0051247;GO:0001701;GO:0030948;GO:0071499;GO:0036003;GO:0071409;GO:0007264;GO:0050728;GO:0000902;GO:0048008;GO:0043114;GO:0042542;GO:0046627;GO:0006730;GO:0032715;GO:0097533;GO:0006606;GO:0045022;GO:0070830;GO:2000249;GO:0090557;GO:0031060;GO:0007193;GO:0035264;GO:0045948;GO:0035023;GO:0043405;GO:0045429;GO:0045947;GO:1900271;GO:0007076;GO:1903543;GO:0008285;GO:0045944;GO:0043249;GO:0002576;GO:0071310;GO:0051782;GO:0016197;GO:0016236;GO:1903671;GO:1905572;GO:1901653;GO:0008333;GO:0043410;GO:0006397;GO:0006556;GO:0001934;GO:0032496;GO:0050900;GO:0010642;GO:2001235;GO:0007050;GO:0016569;GO:0032092;GO:0007179;GO:0042176;GO:1903206;GO:0006366;GO:0046777;GO:0042059;GO:0043547;GO:0009749;GO:0032480;GO:0034260;GO:0007186;GO:0031032;GO:0043312;GO:0002692;GO:0043314;GO:0006656;GO:0060313;GO:0046825;GO:0046426;GO:0030217;GO:0030216;GO:0043161;GO:0030218;GO:0010628;GO:0010506;GO:0072657;GO:0032355;GO:0015914;GO:0050766;GO:0018105;GO:0072659;GO:0016567;GO:0046718;GO:0061158;GO:0007032;GO:0006468;GO:0006622;GO:0060742;GO:0043687;GO:0000122;GO:0050892;GO:0060509;GO:0032509;GO:0071356;GO:0070301;GO:0035335;GO:2000059;GO:0006351;GO:0060736;GO:0006357;GO:0043065;GO:0071347;GO:0036258;GO:0030036;GO:0071228;GO:0070536;GO:0071108
GO:0016525;1.0;0.0;0.0;0.0;0.029554417434315347;0.0;0.02675770252968184;0.0;0.0022322873618244067;0.0;0.029554417434315347;0.052693550906917914;0.0;0.029554417434315347;0.022284038081440277;0.0;0.02705106927178223;0.0;0.15674420007313908;0.0;0.0;0.0;0.0;0.029554417434315347;0.0;0.029554417434315347;0.029554417434315347;0.0;0.0035631175066891748;0.029554417434315347;0.013839143311352383;0.00678050530346356;0.0059623291452822825;0.029554417434315347;0.0;0.01630015013339439;0.052693550906917914;0.0030507844279764845;0.0;0.0;0.0;0.052693550906917914;0.0;0.0;0.7541623338805072;0.0;0.0;0.0;0.004390224708493307;0.0;0.0;0.006734762386770798;0.0;0.0;0.04232906643368054;0.015322525485064908;0.052693550906917914;0.0;0.022284038081440277;0.029554417434315347;0.029554417434315347;0.015922329724654256;0.0;0.0;0.03401969731312881;0.022284038081440277;0.0;0.15674420007313908;0.052693550906917914;0.029554417434315347;0.0;0.0;0.026830970039508992;0.00995482107758252;0.0;0.15674420007313908;0.029554417434315347;0.027745732267497995;0.0;0.0;0.0;0.0;0.029554417434315347;0.029554417434315347;0.0;0.0;0.0;0.02547189156984704;0.0;0.0;0.0;0.0;0.0029338995988303436;0.0;0.0;0.0;0.0;0.0;0.004334589126298501;0.0;0.0;0.0;0.0;0.0;0.0;0.004782947801420775;0.0;0.0;0.01796646261110231;0.029554417434315347;0.0;0.0;0.0;0.0;0.0;0.0
GO:0015031;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.19621965692051008;0.1370166050935565;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1370166050935565;0.0;0.0;0.1370166050935565;0.0;0.0;0.1189881496667106;0.0;0.11905129657903742;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.056185937859846775;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1370166050935565;0.0;0.16399570792477638;0.0;0.0;0.1140458693490029;0.0;0.0;0.0;0.0;0.0;0.2175011554164719;0.0;0.0;0.0;0.1370166050935565;0.0;0.11850734794206882;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0032570;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.03176962098214996;0.001683145224911631;0.039451991106212905;0.0;0.0;0.0;0.0;0.0;0.0875109532420909;0.0;0.0;0.0;0.05792832437274521;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0875109532420909;0.0;0.0;0.0;0.0;0.0;0.04110791476567219;0.0;0.0;0.0;0.0;0.0;0.12565616318970013;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0875109532420909;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.20620804896542613;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0875109532420909;0.025691750997818633;0.0;0.0;0.0;0.0;0.0;0.0;0.0875109532420909;0.0;0.0;0.03176962098214996;0.0;0.0
GO:0006687;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.02283537593488651;0.001683145224911631;0.004862397755501086;0.02283537593488651;0.0;0.02283537593488651;0.02283537593488651;0.0;0.0;0.0;0.09361522770048261;0.0;0.0;0.0;0.0;0.02283537593488651;0.0;0.02283537593488651;0.0;0.02283537593488651;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.02283537593488651;0.0;0.0;0.0;0.02283537593488651;0.02283537593488651;0.02283537593488651;0.0;0.0;0.09361522770048261;0.0;0.0;0.01492365038990092;0.0;0.0;0.05890460323699487;0.05774566294528153;0.0;0.0;0.02283537593488651;0.0;0.0;0.02283537593488651;0.043481858429366575;0.0;0.02283537593488651;0.0;0.0;0.02364269671193163;0.10734458373492309;0.0;0.0;0.0;0.0;0.0;0.02283537593488651;0.02283537593488651;0.02283537593488651;0.0;0.0;0.05074097346212921;0.0;0.0;0.0;0.02283537593488651;0.02283537593488651;0.05569797002815549;0.02283537593488651;0.0;0.0;0.0;0.0;0.0;0.0;0.057280135384778594;0.0;0.1261616949383409;0.0;0.0;0.02283537593488651;0.10915365233321411;0.0;0.02283537593488651;0.12836439078311784;0.0;0.0;0.02283537593488651;0.0;0.02283537593488651;0.009327028918431297;0.10824531044221747;0.0;0.023743746809502336;0.0;0.0;0.0;0.02283537593488651;0.02283537593488651;0.02283537593488651;0.02283537593488651;0.09465085897398601;0.09465085897398601
GO:0051247;0.029554417434315347;0.0;0.0;0.0;1.0;0.0;0.015007686833297678;0.0;0.019781162748321555;0.0;0.03460857539159921;0.03460857539159921;0.0;0.03460857539159921;0.026094874435770098;0.0;0.015172228470901411;0.0;0.03460857539159921;0.0;0.0;0.0;0.0;0.03460857539159921;0.0;0.3184027282163295;0.03460857539159921;0.0;0.10295475807288144;0.03460857539159921;0.1273216518349082;0.06008468318973558;0.030766205907254398;0.03460857539159921;0.0;0.029062078207203867;0.03460857539159921;0.02703418220785275;0.0;0.0;0.0;0.03460857539159921;0.0;0.0;0.022288828428742018;0.0;0.0;0.0;0.12685366730116773;0.0;0.0;0.19459808185012942;0.0;0.0;0.023741252533839408;0.027319038802380607;0.03460857539159921;0.0;0.026094874435770098;0.03460857539159921;0.3184027282163295;0.00893041313614451;0.0;0.0;0.019080747417408644;0.026094874435770098;0.0;0.03460857539159921;0.03460857539159921;0.03460857539159921;0.0;0.0;0.015048780639513726;0.0055833955493056215;0.0;0.03460857539159921;0.03460857539159921;0.015561846551258574;0.0;0.0;0.0;0.0;0.30212493298732496;0.06170477673147158;0.0;0.0;0.0;0.04541468016124073;0.0;0.0;0.0;0.0;0.015139211031354743;0.0;0.0;0.0;0.0;0.0;0.0058439342057224775;0.0;0.0;0.0;0.0;0.0;0.0;0.024680481958731987;0.0;0.0;0.04318719734055574;0.06170477673147158;0.0;0.0;0.0;0.0;0.0;0.0
GO:0001701;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.07783384056271977;0.0;0.14968290410618665;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.17869249667283016;0.0;0.0;0.1491080686165746;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.08512117279284284;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05176585175401968;0.13159660545095642;0.0;0.14849822590614928;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.076842598379086;0.0;0.0;0.14593075369046965;0.07111893644733072;0.0;0.0;0.0;0.0;0.0;0.0;0.07685901606646695;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0030948;0.02675770252968184;0.0;0.0;0.0;0.015007686833297678;0.0;1.0;0.0;0.003980019162975892;0.0;0.02675770252968184;0.07912478894134305;0.0;0.02675770252968184;0.011315799597498738;0.0;0.47265601725097983;0.0;0.02675770252968184;0.0;0.0;0.0;0.0;0.02675770252968184;0.0;0.02675770252968184;0.02675770252968184;0.0;0.00635280036032982;0.12631637149771688;0.11648099984658426;0.012089187756001556;0.017922142072549968;0.040460269484343704;0.0;0.02675770252968184;0.08043087434235961;0.005439344724655555;0.0;0.0;0.0;0.08043087434235961;0.0;0.0;0.02675770252968184;0.0;0.0;0.0;0.03695154765663791;0.0;0.0;0.012007631192934867;0.0;0.0;0.47265601725097983;0.12631637149771688;0.08043087434235961;0.0;0.011315799597498738;0.02675770252968184;0.015007686833297678;0.04786086921702957;0.0;0.0;0.47265601725097983;0.011315799597498738;0.0;0.02675770252968184;0.02675770252968184;0.02675770252968184;0.0;0.0;0.08043087434235961;0.029923158100122315;0.0;0.02675770252968184;0.015007686833297678;0.47265601725097983;0.0;0.0;0.0;0.0;0.015007686833297678;0.02675770252968184;0.0;0.0;0.0;0.02675770252968184;0.0;0.0;0.0;0.0;0.008818997434658622;0.0;0.0;0.0;0.0;0.0;0.013029324657314607;0.0;0.0;0.0;0.0;0.0;0.0;0.014377044261382395;0.0;0.0;0.02675770252968184;0.02675770252968184;0.0;0.0;0.0;0.0;0.0;0.0
GO:0071499;0.0;0.0;0.03176962098214996;0.02283537593488651;0.0;0.0;0.0;1.0;0.012731952100416662;0.019541067046082976;0.06445952632886974;0.0;0.06445952632886974;0.06445952632886974;0.0;0.07743510230864864;0.0;0.06445952632886974;0.0;0.11753468359569902;0.0;0.0;0.0599793186149035;0.0;0.06445952632886974;0.0;0.06445952632886974;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.06445952632886974;0.0;0.0;0.0;0.06445952632886974;0.06445952632886974;0.25905077887265265;0.0;0.0;0.06445952632886974;0.0;0.0;0.05997535938137242;0.0;0.0;0.014368482481458262;0.014085784485657471;0.0;0.0522750495245386;0.06445952632886974;0.0;0.0;0.06054529612933999;0.06445952632886974;0.0;0.06445952632886974;0.0;0.0;0.00576711589335461;0.018629235703855225;0.0;0.0;0.06445952632886974;0.0;0.0;0.06445952632886974;0.06445952632886974;0.02535564089323761;0.0;0.0;0.0044940017113647875;0.0;0.0;0.0;0.05176585175401968;0.06445952632886974;0.009666166431303604;0.06445952632886974;0.0;0.0;0.0;0.04534787702305259;0.0;0.0;0.009940745085628543;0.0;0.02189487228911387;0.0;0.0;0.06445952632886974;0.018943192534739486;0.0;0.06445952632886974;0.022277141600228655;0.0;0.0;0.06445952632886974;0.0;0.16573816547585532;0.07055320222585251;0.018785553326515915;0.0;0.005791764842280598;0.0;0.0;0.0;0.16573816547585532;0.053684943814105594;0.06445952632886974;0.25905077887265265;0.016426289059473888;0.016426289059473888
GO:0036003;0.0022322873618244067;0.0;0.001683145224911631;0.001683145224911631;0.019781162748321555;0.0;0.003980019162975892;0.012731952100416662;1.0;0.006764245819067742;0.003980019162975892;0.0022322873618244067;0.001683145224911631;0.003980019162975892;0.001683145224911631;0.0030690256773884834;0.003980019162975892;0.001683145224911631;0.0022322873618244067;0.0030690256773884834;0.0;0.0;0.001683145224911631;0.003980019162975892;0.001683145224911631;0.011384078781178765;0.003980019162975892;0.0;0.08504224124374145;0.003980019162975892;0.011384078781178765;0.08504224124374145;0.03740054051177644;0.003980019162975892;0.001683145224911631;0.011922697356473203;0.003980019162975892;0.7317093077287771;0.001683145224911631;0.001683145224911631;0.006764245819067742;0.003980019162975892;0.0;0.001683145224911631;0.0022322873618244067;0.0;0.006764245819067742;0.0;0.03998044417722444;0.001683145224911631;0.001683145224911631;0.03998044417722444;0.001683145224911631;0.001683145224911631;0.003980019162975892;0.011922697356473203;0.003980019162975892;0.001683145224911631;0.001683145224911631;0.003980019162975892;0.005365899615451588;0.003980019162975892;0.001683145224911631;0.001683145224911631;0.003980019162975892;0.001683145224911631;0.001683145224911631;0.0022322873618244067;0.0022322873618244067;0.003980019162975892;0.001683145224911631;0.001683145224911631;0.003980019162975892;0.003980019162975892;0.001683145224911631;0.0022322873618244067;0.0022322873618244067;0.003980019162975892;0.001683145224911631;0.001683145224911631;0.001683145224911631;0.001683145224911631;0.029389734644282864;0.011384078781178765;0.0;0.001683145224911631;0.0;0.011922697356473203;0.001683145224911631;0.0;0.001683145224911631;0.0;0.11107441309826506;0.001683145224911631;0.001683145224911631;0.0;0.001683145224911631;0.001683145224911631;0.12424746095789456;0.0;0.001683145224911631;0.0;0.006764245819067742;0.012731952100416662;0.001683145224911631;0.011384078781178765;0.001683145224911631;0.0;0.12424746095789456;0.011922697356473203;0.006764245819067742;0.001683145224911631;0.001683145224911631;0.006764245819067742;0.001683145224911631;0.001683145224911631
GO:0071409;0.0;0.0;0.039451991106212905;0.004862397755501086;0.0;0.0;0.0;0.019541067046082976;0.006764245819067742;1.0;0.004862397755501086;0.0;0.004862397755501086;0.004862397755501086;0.0;0.01339370913065603;0.0;0.004862397755501086;0.0;0.008866034460034453;0.0;0.0;0.004862397755501086;0.0;0.004862397755501086;0.0;0.004862397755501086;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.004862397755501086;0.0;0.0;0.0;0.004862397755501086;0.004862397755501086;0.060156929967868096;0.0;0.0;0.004862397755501086;0.0;0.0;0.18559859028859574;0.0;0.0;0.004862397755501086;0.004862397755501086;0.0;0.01339370913065603;0.004862397755501086;0.0;0.0;0.004862397755501086;0.004862397755501086;0.0;0.004862397755501086;0.0;0.0;0.004862397755501086;0.004862397755501086;0.0;0.0;0.01339370913065603;0.0;0.0;0.004862397755501086;0.004862397755501086;0.004862397755501086;0.0;0.0;0.0044940017113647875;0.0;0.0;0.0;0.004862397755501086;0.004862397755501086;0.004862397755501086;0.004862397755501086;0.0;0.0;0.0;0.019231902269207627;0.0;0.0;0.004862397755501086;0.0;0.004862397755501086;0.0;0.0;0.004862397755501086;0.004862397755501086;0.0;0.004862397755501086;0.004862397755501086;0.0;0.0;0.004862397755501086;0.0;0.060156929967868096;0.061145116535665754;0.004862397755501086;0.0;0.004862397755501086;0.0;0.0;0.0;0.060156929967868096;0.004862397755501086;0.004862397755501086;0.019541067046082976;0.004862397755501086;0.004862397755501086
