;GO:0051260;GO:0007166;GO:0061737;GO:0007188;GO:0006099;GO:0007200;GO:0006367;GO:0006103;GO:0007204;GO:0006357;GO:0006104;GO:0106077;GO:0007218;GO:0043161;GO:0006559;GO:0002437;GO:0006816;GO:0016567;GO:0033512
GO:0051260;1.0;0.8;0.8;0.8;0.8;0.8;0.8;0.5356143810225276;0.3356143810225276;0.0;0.48300749985576874;0.3660149997115376;0.8;0.8;0.48300749985576874;0.0;0.0;0.3660149997115376;0.4
GO:0007166;0.8;1.0;0.8;0.8;0.8;0.8;0.8;0.6000000000000001;0.3660149997115376;0.43852901558847923;0.5356143810225276;0.4;0.8;0.8;0.5356143810225276;0.0;0.0;0.4;0.43852901558847923
GO:0061737;0.8;0.8;1.0;0.8;0.8;0.8;0.8;0.6000000000000001;0.3660149997115376;0.4;0.5356143810225276;0.4;0.8;0.8;0.5356143810225276;0.0;0.0;0.4;0.43852901558847923
GO:0007188;0.8;0.8;0.8;1.0;0.8;0.8;0.8;0.6000000000000001;0.3660149997115376;0.4;0.5356143810225276;0.4;0.8;0.8;0.5356143810225276;0.0;0.0;0.4;0.43852901558847923
GO:0006099;0.8;0.8;0.8;0.8;1.0;0.8;0.8;0.6830074998557688;0.3660149997115376;0.0;0.6000000000000001;0.43852901558847923;0.8;0.8;0.6000000000000001;0.0;0.0;0.43852901558847923;0.48300749985576874
GO:0007200;0.8;0.8;0.8;0.8;0.8;1.0;0.8;0.6000000000000001;0.3660149997115376;0.4;0.5356143810225276;0.4;0.8;0.8;0.5356143810225276;0.0;0.0;0.4;0.43852901558847923
GO:0006367;0.8;0.8;0.8;0.8;0.8;0.8;1.0;0.6830074998557688;0.3660149997115376;0.0;0.6000000000000001;0.43852901558847923;0.8;0.8;0.6000000000000001;0.0;0.0;0.43852901558847923;0.48300749985576874
GO:0006103;0.5356143810225276;0.6000000000000001;0.6000000000000001;0.6000000000000001;0.6830074998557688;0.6000000000000001;0.6830074998557688;1.0;0.3081136762725405;0.0;0.6000000000000001;0.4;0.6000000000000001;0.6830074998557688;0.5356143810225276;0.0;0.0;0.4;0.48300749985576874
GO:0007204;0.3356143810225276;0.3660149997115376;0.3660149997115376;0.3660149997115376;0.3660149997115376;0.3660149997115376;0.3660149997115376;0.3081136762725405;1.0;0.20000000000000007;0.2830074998557688;0.21862188087829626;0.3660149997115376;0.3660149997115376;0.2830074998557688;0.0;0.0;0.21862188087829626;0.23852901558847928
GO:0006357;0.0;0.43852901558847923;0.4;0.4;0.0;0.4;0.0;0.0;0.20000000000000007;1.0;0.0;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0
GO:0006104;0.48300749985576874;0.5356143810225276;0.5356143810225276;0.5356143810225276;0.6000000000000001;0.5356143810225276;0.6000000000000001;0.6000000000000001;0.2830074998557688;0.0;1.0;0.3660149997115376;0.5356143810225276;0.6000000000000001;0.48300749985576874;0.0;0.0;0.3660149997115376;0.6000000000000001
GO:0106077;0.3660149997115376;0.4;0.4;0.4;0.43852901558847923;0.4;0.43852901558847923;0.4;0.21862188087829626;0.0;0.3660149997115376;1.0;0.4;0.48300749985576874;0.3660149997115376;0.0;0.0;0.48300749985576874;0.3081136762725405
GO:0007218;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.6000000000000001;0.3660149997115376;0.4;0.5356143810225276;0.4;1.0;0.8;0.5356143810225276;0.0;0.0;0.4;0.43852901558847923
GO:0043161;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.6830074998557688;0.3660149997115376;0.0;0.6000000000000001;0.48300749985576874;0.8;1.0;0.6830074998557688;0.0;0.0;0.48300749985576874;0.5356143810225276
GO:0006559;0.48300749985576874;0.5356143810225276;0.5356143810225276;0.5356143810225276;0.6000000000000001;0.5356143810225276;0.6000000000000001;0.5356143810225276;0.2830074998557688;0.0;0.48300749985576874;0.3660149997115376;0.5356143810225276;0.6830074998557688;1.0;0.0;0.0;0.3660149997115376;0.6000000000000001
GO:0002437;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
GO:0006816;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0
GO:0016567;0.3660149997115376;0.4;0.4;0.4;0.43852901558847923;0.4;0.43852901558847923;0.4;0.21862188087829626;0.0;0.3660149997115376;0.48300749985576874;0.4;0.48300749985576874;0.3660149997115376;0.0;0.0;1.0;0.3081136762725405
GO:0033512;0.4;0.43852901558847923;0.43852901558847923;0.43852901558847923;0.48300749985576874;0.43852901558847923;0.48300749985576874;0.48300749985576874;0.23852901558847928;0.0;0.6000000000000001;0.3081136762725405;0.43852901558847923;0.5356143810225276;0.6000000000000001;0.0;0.0;0.3081136762725405;1.0
