;GO:0016925;GO:0032330;GO:0043928;GO:0008203;GO:0046513;GO:0006366;GO:0045347;GO:0000415;GO:0045861;GO:0051170;GO:0043488;GO:0006364;GO:0006644;GO:0045944;GO:0006468;GO:0043687;GO:0000398;GO:0000122;GO:0030007;GO:0006814;GO:0030502;GO:0098656;GO:0035518;GO:0045893;GO:0010738;GO:0070306;GO:0015701;GO:0035556;GO:0035330;GO:0016579;GO:0007186;GO:0006351;GO:0030163;GO:0051260;GO:0006355;GO:0006198;GO:0048468;GO:0006357;GO:0006511;GO:0051453;GO:0070171;GO:0051572;GO:0072332;GO:0032411;GO:0016567
GO:0016925;1.0;0.0;0.3333333333333333;0.16666666666666666;0.25;0.3;0.0;0.0;0.0;0.0;0.0;0.3;0.2;0.0;0.5555555555555556;0.5555555555555556;0.3;0.0;0.07142857142857142;0.0;0.0;0.0;0.5833333333333334;0.0;0.0;0.0;0.0;0.1111111111111111;0.0;0.6;0.1111111111111111;0.3;0.3333333333333333;0.0;0.0;0.21428571428571427;0.1111111111111111;0.0;0.3333333333333333;0.06666666666666667;0.0;0.0;0.1111111111111111;0.0;0.7777777777777778
GO:0032330;0.0;1.0;0.3333333333333333;0.0;0.0;0.0;0.2;0.23076923076923078;0.3333333333333333;0.0;0.3333333333333333;0.0;0.0;0.2727272727272727;0.0;0.0;0.0;0.2727272727272727;0.07692307692307693;0.0;0.375;0.0;0.0;0.3;0.3333333333333333;0.0;0.0;0.42857142857142855;0.3333333333333333;0.0;0.42857142857142855;0.0;0.0;0.0;0.3333333333333333;0.0;0.0;0.3;0.0;0.07142857142857142;0.375;0.23076923076923078;0.0;0.25;0.0
GO:0043928;0.3333333333333333;0.3333333333333333;1.0;0.42857142857142855;0.42857142857142855;0.6;0.625;0.36363636363636365;0.5;0.0;0.2;0.6;0.4;0.5555555555555556;0.42857142857142855;0.42857142857142855;0.6;0.6666666666666666;0.125;0.0;0.42857142857142855;0.0;0.0;0.625;0.2857142857142857;0.0;0.0;0.0;0.2857142857142857;0.2857142857142857;0.0;0.6;0.6666666666666666;0.0;0.7142857142857143;0.5;0.0;0.625;0.6666666666666666;0.1111111111111111;0.42857142857142855;0.36363636363636365;0.0;0.2;0.3333333333333333
GO:0008203;0.16666666666666666;0.0;0.42857142857142855;1.0;0.3;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.375;0.0;0.2;0.2;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.3333333333333333;0.25;0.0;0.0;0.25;0.0;0.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.16666666666666666
GO:0046513;0.25;0.0;0.42857142857142855;0.3;1.0;0.2857142857142857;0.0;0.0;0.0;0.0;0.0;0.2857142857142857;0.375;0.0;0.3;0.3;0.2857142857142857;0.0;0.08333333333333333;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.3;0.14285714285714285;0.375;0.375;0.0;0.0;0.2727272727272727;0.14285714285714285;0.0;0.42857142857142855;0.07692307692307693;0.0;0.0;0.14285714285714285;0.0;0.25
GO:0006366;0.3;0.0;0.6;0.3333333333333333;0.2857142857142857;1.0;0.0;0.0;0.0;0.0;0.0;0.6;0.4;0.0;0.375;0.375;0.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.375;0.0;0.5;0.5;0.0;0.0;0.2222222222222222;0.0;0.0;0.6;0.0;0.0;0.0;0.0;0.0;0.3
GO:0045347;0.0;0.2;0.625;0.0;0.0;0.0;1.0;0.38461538461538464;0.5;0.0;0.4;0.0;0.0;0.45454545454545453;0.0;0.0;0.0;0.6;0.06666666666666667;0.0;0.3;0.0;0.0;0.5;0.18181818181818182;0.0;0.0;0.0;0.18181818181818182;0.0;0.0;0.0;0.0;0.0;0.5555555555555556;0.0;0.0;0.5;0.0;0.0625;0.3;0.38461538461538464;0.0;0.2;0.0
GO:0000415;0.0;0.23076923076923078;0.36363636363636365;0.0;0.0;0.0;0.38461538461538464;1.0;0.5454545454545454;0.0;0.3076923076923077;0.0;0.0;0.26666666666666666;0.0;0.0;0.0;0.35714285714285715;0.0;0.0;0.21428571428571427;0.0;0.0;0.2857142857142857;0.2;0.0;0.0;0.23076923076923078;0.2;0.0;0.23076923076923078;0.0;0.0;0.0;0.3076923076923077;0.0;0.0;0.2857142857142857;0.0;0.0;0.21428571428571427;0.8181818181818182;0.0;0.14285714285714285;0.0
GO:0045861;0.0;0.3333333333333333;0.5;0.0;0.0;0.0;0.5;0.5454545454545454;1.0;0.0;0.4;0.0;0.0;0.36363636363636365;0.0;0.0;0.0;0.45454545454545453;0.06666666666666667;0.0;0.3;0.0;0.0;0.4;0.2727272727272727;0.0;0.0;0.3333333333333333;0.2727272727272727;0.0;0.3333333333333333;0.0;0.0;0.0;0.4444444444444444;0.0;0.0;0.4;0.0;0.0625;0.3;0.5454545454545454;0.0;0.2;0.0
GO:0051170;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.125;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
