;GO:0060760;GO:1904973;GO:0006284;GO:1904851;GO:0007250;GO:0006283;GO:0006288;GO:0051092;GO:0001666;GO:0002755;GO:0045892;GO:0001701;GO:2000637;GO:0050434;GO:0010499;GO:0050830;GO:0030423;GO:2000373;GO:0050729;GO:1904469;GO:0006297;GO:0045410;GO:0050684;GO:0071360;GO:2000767;GO:0046597;GO:1990414;GO:0030099;GO:0030890;GO:0035549;GO:0032436;GO:0035665;GO:1904874;GO:0006260;GO:1904871;GO:0043123;GO:1904877;GO:0046598;GO:0045944;GO:0006303;GO:2000778;GO:0048146;GO:0050691;GO:0001649;GO:0051028;GO:0016579;GO:0033194;GO:1905698;GO:0000209;GO:1902187;GO:1902741;GO:0097352;GO:0032496;GO:0070459;GO:0032897;GO:0006366;GO:0045604;GO:0000380;GO:0006914;GO:0061819;GO:0051607;GO:0032760;GO:0070922;GO:0045739;GO:0034141;GO:0042989;GO:0034145;GO:0044806;GO:0090023;GO:0032757;GO:1903608;GO:0044130;GO:0010501;GO:0034137;GO:0031146;GO:0050768;GO:0030334;GO:0016567;GO:1905765;GO:2000340;GO:0045740;GO:0042994;GO:0009615;GO:0043687;GO:0090073;GO:0046833;GO:0000086;GO:0032508;GO:0071353;GO:0001967;GO:0010836;GO:0032741;GO:0071356;GO:0070935;GO:0006351;GO:0007166;GO:0006353;GO:1903518;GO:0006357;GO:0000012;GO:0032738;GO:0032735;GO:0045089;GO:0071223;GO:0045087;GO:0046330;GO:0070374;GO:0071221;GO:0032212;GO:2000343;GO:0070934
GO:0060760;1.0;0.3076923076923077;0.0;0.2222222222222222;0.1132075471698113;0.0;0.0;0.14814814814814814;0.0;0.2222222222222222;0.07894736842105265;0.0;0.23529411764705888;0.3076923076923077;0.0;0.0;0.0;0.11111111111111116;0.46153846153846156;0.10810810810810811;0.0;0.11428571428571432;0.17647058823529416;0.0;0.10810810810810811;0.1875;0.0;0.0;0.1428571428571429;0.10810810810810811;0.10256410256410253;0.2068965517241379;0.4444444444444444;0.0;0.2666666666666667;0.33333333333333337;0.12903225806451613;0.2666666666666667;0.10526315789473684;0.0;0.11764705882352944;0.33333333333333337;0.2666666666666667;0.0;0.0;0.0;0.0;0.16666666666666663;0.0;0.16666666666666663;0.10810810810810811;0.0;0.0;0.06896551724137934;0.2142857142857143;0.0;0.2142857142857143;0.0;0.0;0.05882352941176472;0.0;0.2857142857142857;0.0;0.2222222222222222;0.2222222222222222;0.07317073170731703;0.2222222222222222;0.0;0.18181818181818177;0.33333333333333337;0.0;0.1875;0.0;0.2222222222222222;0.0;0.13636363636363635;0.25;0.0;0.09523809523809523;0.2857142857142857;0.1333333333333333;0.09090909090909094;0.0;0.0;0.1428571428571429;0.2222222222222222;0.0;0.0;0.0;0.0;0.11538461538461542;0.33333333333333337;0.0;0.09523809523809523;0.0;0.30000000000000004;0.0;0.2068965517241379;0.13043478260869568;0.0;0.33333333333333337;0.33333333333333337;0.4;0.0;0.0;0.12244897959183676;0.13953488372093026;0.0;0.09302325581395354;0.2857142857142857;0.09523809523809523
GO:1904973;0.3076923076923077;1.0;0.0;0.19047619047619047;0.06896551724137934;0.0;0.0;0.1333333333333333;0.0;0.125;0.07317073170731703;0.0;0.19999999999999996;0.8181818181818181;0.0;0.0;0.0;0.09523809523809523;0.2222222222222222;0.09999999999999998;0.0;0.10526315789473684;0.15000000000000002;0.0;0.09999999999999998;0.375;0.0;0.0;0.12903225806451613;0.09999999999999998;0.09523809523809523;0.11764705882352944;0.33333333333333337;0.0;0.2222222222222222;0.17391304347826086;0.11764705882352944;0.6923076923076923;0.09756097560975607;0.0;0.10810810810810811;0.2666666666666667;0.2222222222222222;0.0;0.0;0.0;0.0;0.1333333333333333;0.0;0.33333333333333337;0.09999999999999998;0.0;0.0;0.0625;0.4285714285714286;0.0;0.17647058823529416;0.0;0.0;0.05405405405405406;0.0;0.23529411764705888;0.0;0.125;0.125;0.06818181818181823;0.125;0.0;0.10526315789473684;0.2666666666666667;0.0;0.2941176470588235;0.0;0.125;0.0;0.12;0.19999999999999996;0.0;0.06521739130434778;0.23529411764705888;0.12121212121212122;0.08333333333333337;0.0;0.0;0.11764705882352944;0.19047619047619047;0.0;0.0;0.0;0.0;0.10344827586206895;0.2666666666666667;0.0;0.0888888888888889;0.0;0.23076923076923073;0.0;0.11764705882352944;0.11538461538461542;0.0;0.2666666666666667;0.2666666666666667;0.19999999999999996;0.0;0.0;0.07407407407407407;0.08333333333333337;0.0;0.08695652173913049;0.23529411764705888;0.0888888888888889
GO:0006284;0.0;0.0;1.0;0.0;0.0;0.9565217391304348;0.6666666666666667;0.0;0.12;0.04347826086956519;0.0;0.0;0.0;0.0;0.1875;0.09677419354838712;0.06666666666666665;0.0;0.0;0.0;0.7272727272727273;0.0;0.0;0.12121212121212122;0.0;0.0;0.8461538461538461;0.07999999999999996;0.0;0.0;0.0;0.04166666666666663;0.0;0.5925925925925926;0.0;0.0;0.0;0.0;0.0;0.9166666666666666;0.0;0.0;0.0;0.07999999999999996;0.0;0.29032258064516125;0.12;0.0;0.29032258064516125;0.0;0.0;0.07407407407407407;0.06666666666666665;0.045454545454545414;0.0;0.41666666666666663;0.0;0.4666666666666667;0.16000000000000003;0.4571428571428572;0.09375;0.0;0.06666666666666665;0.0;0.0;0.03508771929824561;0.0;0.0714285714285714;0.0;0.0;0.0;0.0;0.6086956521739131;0.0;0.23684210526315785;0.0;0.0;0.30000000000000004;0.0;0.0;0.0;0.0;0.07407407407407407;0.3214285714285714;0.0;0.0;0.07407407407407407;0.0714285714285714;0.13793103448275867;0.0;0.0;0.0;0.13793103448275867;0.0;0.4285714285714286;0.07692307692307687;0.4242424242424242;0.0;0.0;1.0;0.0;0.0;0.0;0.11764705882352944;0.12;0.0;0.0;0.12121212121212122;0.0;0.0;0.0
GO:1904851;0.2222222222222222;0.19047619047619047;0.0;1.0;0.06349206349206349;0.0;0.0;0.11428571428571432;0.0;0.10810810810810811;0.06521739130434778;0.0;0.16000000000000003;0.19047619047619047;0.0;0.0;0.0;0.07692307692307687;0.17391304347826086;0.19512195121951215;0.0;0.09302325581395354;0.12;0.0;0.0888888888888889;0.125;0.0;0.0;0.11111111111111116;0.19512195121951215;0.08510638297872342;0.10256410256410253;0.3125;0.0;0.5;0.1428571428571429;0.10256410256410253;0.17391304347826086;0.08695652173913049;0.0;0.21052631578947367;0.19999999999999996;0.125;0.0;0.0;0.0;0.0;0.09999999999999998;0.0;0.11538461538461542;0.19512195121951215;0.0;0.0;0.05405405405405406;0.13636363636363635;0.0;0.13636363636363635;0.0;0.0;0.04761904761904767;0.0;0.18181818181818177;0.0;0.10810810810810811;0.10810810810810811;0.061224489795918324;0.10810810810810811;0.0;0.11904761904761907;0.19999999999999996;0.0;0.125;0.0;0.10810810810810811;0.0;0.09999999999999998;0.21052631578947367;0.0;0.05882352941176472;0.18181818181818177;0.10526315789473684;0.07317073170731703;0.0;0.0;0.09090909090909094;0.25;0.0;0.0;0.0;0.0;0.08823529411764708;0.19999999999999996;0.0;0.07999999999999996;0.0;0.16666666666666663;0.0;0.10256410256410253;0.09677419354838712;0.0;0.19999999999999996;0.19999999999999996;0.16000000000000003;0.0;0.0;0.06779661016949157;0.07547169811320753;0.0;0.07843137254901966;0.18181818181818177;0.07999999999999996
GO:0007250;0.1132075471698113;0.06896551724137934;0.0;0.06349206349206349;1.0;0.0;0.0;0.1875;0.0;0.09859154929577463;0.11688311688311692;0.0;0.13793103448275867;0.06896551724137934;0.0;0.0;0.0;0.10169491525423724;0.10344827586206895;0.07499999999999996;0.0;0.25373134328358204;0.1607142857142857;0.0;0.28358208955223885;0.049180327868852514;0.0;0.0;0.08450704225352113;0.07499999999999996;0.2753623188405797;0.09589041095890416;0.07407407407407407;0.0;0.06666666666666665;0.30188679245283023;0.3114754098360656;0.06666666666666665;0.20833333333333337;0.0;0.07792207792207795;0.10909090909090913;0.06666666666666665;0.0;0.0;0.0;0.0;0.07272727272727275;0.0;0.04761904761904767;0.07499999999999996;0.0;0.0;0.027027027027026973;0.05084745762711862;0.0;0.06896551724137934;0.0;0.0;0.025316455696202556;0.0;0.06779661016949157;0.0;0.2786885245901639;0.21875;0.04705882352941182;0.21875;0.0;0.10526315789473684;0.07017543859649122;0.0;0.049180327868852514;0.0;0.21875;0.0;0.06060606060606055;0.0714285714285714;0.0;0.12345679012345678;0.06779661016949157;0.234375;0.14084507042253525;0.0;0.0;0.07017543859649122;0.06349206349206349;0.0;0.0;0.0;0.0;0.19354838709677424;0.07017543859649122;0.0;0.15189873417721522;0.0;0.07407407407407407;0.0;0.2698412698412699;0.14516129032258063;0.0;0.07017543859649122;0.07017543859649122;0.09999999999999998;0.0;0.0;0.639344262295082;0.7090909090909091;0.0;0.19480519480519476;0.06779661016949157;0.15189873417721522
GO:0006283;0.0;0.0;0.9565217391304348;0.0;0.0;1.0;0.64;0.0;0.11538461538461542;0.04255319148936165;0.0;0.0;0.0;0.0;0.18181818181818177;0.09375;0.06451612903225812;0.0;0.0;0.0;0.6956521739130435;0.0;0.0;0.11764705882352944;0.0;0.0;0.8148148148148149;0.07692307692307687;0.0;0.0;0.0;0.04081632653061229;0.0;0.5714285714285714;0.0;0.0;0.0;0.0;0.0;0.88;0.0;0.0;0.0;0.07692307692307687;0.0;0.28125;0.11538461538461542;0.0;0.28125;0.0;0.0;0.0714285714285714;0.06451612903225812;0.0444444444444444;0.0;0.4054054054054054;0.0;0.4516129032258065;0.15384615384615385;0.4444444444444444;0.09090909090909094;0.0;0.06451612903225812;0.0;0.0;0.03448275862068961;0.0;0.06896551724137934;0.0;0.0;0.0;0.0;0.5833333333333333;0.0;0.23076923076923073;0.0;0.0;0.29032258064516125;0.0;0.0;0.0;0.0;0.0714285714285714;0.31034482758620685;0.0;0.0;0.0714285714285714;0.06896551724137934;0.1333333333333333;0.0;0.0;0.0;0.1333333333333333;0.0;0.41666666666666663;0.07407407407407407;0.4117647058823529;0.0;0.0;0.9565217391304348;0.0;0.0;0.0;0.11428571428571432;0.11538461538461542;0.0;0.0;0.11764705882352944;0.0;0.0;0.0
GO:0006288;0.0;0.0;0.6666666666666667;0.0;0.0;0.64;1.0;0.0;0.0;0.04761904761904767;0.0;0.0;0.0;0.0;0.2142857142857143;0.0;0.07692307692307687;0.0;0.0;0.0;0.8888888888888888;0.0;0.0;0.06451612903225812;0.0;0.0;0.5714285714285714;0.09523809523809523;0.0;0.0;0.0;0.045454545454545414;0.0;0.6956521739130435;0.0;0.0;0.0;0.0;0.0;0.6153846153846154;0.0;0.0;0.0;0.09523809523809523;0.0;0.33333333333333337;0.0;0.0;0.33333333333333337;0.0;0.0;0.08695652173913049;0.0;0.050000000000000044;0.0;0.46875;0.0;0.5384615384615384;0.19047619047619047;0.5161290322580645;0.0;0.0;0.07692307692307687;0.0;0.0;0.037735849056603765;0.0;0.08333333333333337;0.0;0.0;0.0;0.0;0.736842105263158;0.0;0.2647058823529411;0.0;0.0;0.34615384615384615;0.0;0.0;0.0;0.0;0.0;0.375;0.0;0.0;0.08695652173913049;0.08333333333333337;0.07407407407407407;0.0;0.0;0.0;0.07407407407407407;0.0;0.4838709677419355;0.09090909090909094;0.48275862068965514;0.0;0.0;0.6666666666666667;0.0;0.0;0.0;0.0625;0.0;0.0;0.0;0.06451612903225812;0.0;0.0;0.0
GO:0051092;0.14814814814814814;0.1333333333333333;0.0;0.11428571428571432;0.1875;0.0;0.0;1.0;0.0;0.11111111111111116;0.4871794871794872;0.0;0.2666666666666667;0.1333333333333333;0.0;0.0;0.0;0.12121212121212122;0.125;0.09433962264150941;0.0;0.3023255813953488;0.48;0.0;0.34883720930232553;0.09090909090909094;0.0;0.0;0.11363636363636365;0.09433962264150941;0.19999999999999996;0.1063829787234043;0.15384615384615385;0.0;0.125;0.13888888888888884;0.33333333333333337;0.125;0.5128205128205128;0.0;0.09999999999999998;0.1785714285714286;0.09090909090909094;0.0;0.0;0.0;0.0;0.14814814814814814;0.0;0.08571428571428574;0.09433962264150941;0.0;0.0;0.04347826086956519;0.09677419354838712;0.0;0.1333333333333333;0.0;0.0;0.039215686274509776;0.0;0.12903225806451613;0.0;0.28205128205128205;0.11111111111111116;0.07017543859649122;0.11111111111111116;0.0;0.0980392156862745;0.13793103448275867;0.0;0.09090909090909094;0.0;0.11111111111111116;0.0;0.10526315789473684;0.1428571428571429;0.0;0.18867924528301883;0.12903225806451613;0.41666666666666663;0.65625;0.0;0.0;0.13793103448275867;0.11428571428571432;0.0;0.0;0.0;0.0;0.2432432432432432;0.13793103448275867;0.0;0.26;0.0;0.15384615384615385;0.0;0.2682926829268293;0.7916666666666666;0.0;0.13793103448275867;0.13793103448275867;0.11764705882352944;0.0;0.0;0.16129032258064513;0.1785714285714286;0.0;0.30612244897959184;0.12903225806451613;0.26
GO:0001666;0.0;0.0;0.12;0.0;0.0;0.11538461538461542;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.19999999999999996;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.10526315789473684;0.0;0.0;0.10344827586206895;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.11111111111111116;0.0;0.0;0.0;0.0;0.0;0.0;0.33333333333333337;0.0;0.0;0.0;0.0;0.0;0.1428571428571429;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1875;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.18181818181818177;0.0;0.0;0.0;0.0;0.0;0.1333333333333333;0.0;0.0;0.0;0.1333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.12;0.0;0.0;0.0;0.09999999999999998;0.33333333333333337;0.0;0.0;0.10526315789473684;0.0;0.0;0.0
GO:0002755;0.2222222222222222;0.125;0.04347826086956519;0.10810810810810811;0.09859154929577463;0.04255319148936165;0.04761904761904767;0.11111111111111116;0.0;1.0;0.0714285714285714;0.0;0.1428571428571429;0.125;0.0;0.0;0.05882352941176472;0.05405405405405406;0.31034482758620685;0.09090909090909094;0.050000000000000044;0.09433962264150941;0.11428571428571432;0.05128205128205132;0.09090909090909094;0.08571428571428574;0.040000000000000036;0.06896551724137934;0.15909090909090906;0.09090909090909094;0.08771929824561409;0.9285714285714286;0.1428571428571429;0.0444444444444444;0.11764705882352944;0.19444444444444442;0.10204081632653061;0.11764705882352944;0.0892857142857143;0.04166666666666663;0.09615384615384615;0.16666666666666663;0.22580645161290325;0.06896551724137934;0.0;0.04761904761904767;0.0;0.06451612903225812;0.04761904761904767;0.08108108108108103;0.09090909090909094;0.06451612903225812;0.0;0.06382978723404253;0.09090909090909094;0.037735849056603765;0.125;0.04347826086956519;0.06451612903225812;0.05769230769230771;0.05405405405405406;0.12121212121212122;0.05882352941176472;0.18181818181818177;0.4444444444444444;0.08620689655172409;0.4444444444444444;0.0625;0.18367346938775508;0.12903225806451613;0.0;0.08571428571428574;0.05128205128205132;0.4444444444444444;0.04081632653061229;0.09999999999999998;0.1333333333333333;0.04878048780487809;0.10169491525423724;0.12121212121212122;0.10416666666666663;0.07843137254901966;0.0;0.05128205128205132;0.06060606060606055;0.10810810810810811;0.06451612903225812;0.0625;0.05714285714285716;0.0;0.09090909090909094;0.12903225806451613;0.05714285714285716;0.08333333333333337;0.038461538461538436;0.23076923076923073;0.04081632653061229;0.17391304347826086;0.09756097560975607;0.04347826086956519;0.12903225806451613;0.12903225806451613;0.5384615384615384;0.050000000000000044;0.06666666666666665;0.12121212121212122;0.11475409836065575;0.05128205128205132;0.08196721311475408;0.12121212121212122;0.08333333333333337
