;GO:0045409;GO:0007096;GO:0015031;GO:0046854;GO:0045648;GO:0001672;GO:0046856;GO:0032727;GO:0001666;GO:0045892;GO:0030308;GO:0034622;GO:0031116;GO:0019886;GO:0035556;GO:1903774;GO:0051260;GO:0007265;GO:0006298;GO:0007266;GO:0045779;GO:0006974;GO:0006699;GO:0045659;GO:0045656;GO:0071480;GO:0048010;GO:0001558;GO:0001837;GO:0018026;GO:0010942;GO:0071407;GO:2000401;GO:0032435;GO:0035264;GO:0043405;GO:0043647;GO:0043408;GO:1902850;GO:1903543;GO:0008285;GO:0008284;GO:0051271;GO:0045786;GO:0008203;GO:0038095;GO:0060669;GO:0006661;GO:0045944;GO:0001890;GO:0002223;GO:0006813;GO:0034728;GO:0030889;GO:0019221;GO:0045671;GO:0016197;GO:0032147;GO:0030521;GO:0030520;GO:0016236;GO:0050852;GO:0036503;GO:0060770;GO:0031295;GO:1903551;GO:0000209;GO:1902188;GO:0048701;GO:0008333;GO:0009306;GO:1902746;GO:0097198;GO:0097352;GO:0016064;GO:0031047;GO:0050900;GO:2001238;GO:0017157;GO:0007050;GO:0007175;GO:0061098;GO:0045445;GO:0006366;GO:0046777;GO:0006364;GO:0006886;GO:0023014;GO:0006367;GO:0006368;GO:0009749;GO:0000381;GO:0071850;GO:0070365;GO:0000380;GO:0051607;GO:2000397;GO:0051603;GO:0016578;GO:0071218;GO:0045737;GO:0032482;GO:1901796;GO:0045732;GO:1990182;GO:0043312;GO:1905634;GO:1904706;GO:0043434;GO:0045736;GO:0045579;GO:0071285;GO:0030216;GO:0007219;GO:0043162;GO:0015918;GO:0010507;GO:0046034;GO:0010501;GO:0035987;GO:0032355;GO:0018105;GO:2001014;GO:0072659;GO:0010586;GO:0043966;GO:2001271;GO:0043200;GO:0006469;GO:0006977;GO:0009968;GO:0048863;GO:0000082;GO:0032465;GO:0010952;GO:0071236;GO:0050777;GO:0010793;GO:0006351;GO:0031098;GO:0030163;GO:0006355;GO:0051085;GO:0048864;GO:0006513;GO:0006357;GO:0097676;GO:0043066;GO:0006904;GO:0043065;GO:0010569;GO:0036258;GO:0030036;GO:0035722
GO:0045409;1.0;0.21046104659715759;0.0;0.0;0.21702410059572394;0.23419298526533813;0.0;0.2623474717240256;0.0;0.6341457626801082;0.31154251625911494;0.0;0.16959249409721672;0.0;0.24468186201184405;0.17190488090312625;0.0;0.23373570961332973;0.0;0.228629982492038;0.2984545154761117;0.0;0.0;0.29775446204161565;0.3074204595662634;0.0;0.2286358313838006;0.2450844000057155;0.0;0.0;0.2394929763705585;0.0;0.21917125181138056;0.5067445115272214;0.0;0.34990684258922305;0.0;0.3930933751025058;0.0;0.18768274683207994;0.3332673028919804;0.23949546069043204;0.3256355476395822;0.3332647278662268;0.0;0.2100270098655288;0.0;0.0;0.374016573943558;0.0;0.1611557534533315;0.0;0.0;0.23605845651254934;0.23908181943764314;0.30742046098915415;0.0;0.29967030045608595;0.22379453925995527;0.22379453925995527;0.0;0.18058103069029027;0.0;0.340323366214142;0.17182677653927989;0.23406897567809312;0.0;0.16499867549403174;0.0;0.0;0.0;0.2746542215705578;0.0;0.0;0.0;0.38126554728188417;0.0;0.17510968036024968;0.22891406030893893;0.31072332543672926;0.3878450200301229;0.28842798893292404;0.0;0.0;0.0;0.0;0.0;0.17410687468305963;0.0;0.0;0.0;0.3934763478633673;0.2920510171275172;0.0;0.0;0.0;0.17206185174463345;0.0;0.0;0.0;0.27453900499610895;0.228629982492038;0.22885317302280755;0.35322073836069395;0.0;0.0;0.19168777103895235;0.3052659733793504;0.0;0.444164840655468;0.18819595918053444;0.0;0.0;0.23908181943764314;0.0;0.0;0.4380446274475195;0.0;0.0;0.0;0.0;0.0;0.25761387897049143;0.0;0.0;0.0;0.4546181313156241;0.0;0.491194346075044;0.17328901814557088;0.29254663665696357;0.0;0.0;0.23951079857239904;0.3498835627787958;0.0;0.22888253884113358;0.2164765580583717;0.0;0.21813258261143656;0.0;0.4893971279395596;0.0;0.0;0.0;0.4807446398627077;0.0;0.3052309462238901;0.0;0.21934760175440854;0.3786355502868548;0.0;0.0;0.23374420702765716
GO:0007096;0.21046104659715759;1.0;0.0;0.0;0.269842423320247;0.567643422428624;0.0;0.29247723401423964;0.0;0.2029078444595245;0.45214722248438277;0.0;0.3410400257772159;0.0;0.44152836391810363;0.28245140592371476;0.0;0.40712353063344864;0.0;0.39188023363943775;0.2817440976376497;0.0;0.0;0.24001229616068345;0.25137248542839785;0.0;0.39189741754464086;0.5295102266952381;0.0;0.0;0.4249156393348286;0.0;0.36488856692027694;0.1956173543392416;0.0;0.22804832852131804;0.0;0.2700439189441167;0.0;0.2852203830417844;0.4249253965727632;0.42492345976910706;0.40796148213015276;0.5080815308549078;0.0;0.3402271410749118;0.0;0.0;0.199106053744927;0.0;0.22814914776604767;0.0;0.0;0.2455314841869582;0.42362307962883844;0.25137248712476634;0.0;0.18431167422448064;0.37788542014813975;0.37788542014813975;0.0;0.26913548360757455;0.0;0.2926213701356362;0.25014162879098095;0.5671193181337598;0.0;0.2642764631435654;0.0;0.0;0.0;0.3927808198303568;0.0;0.0;0.0;0.28147413554145395;0.0;0.2571601697460182;0.3927155733976241;0.45014278879094205;0.13816411303076115;0.1751899135569826;0.0;0.0;0.0;0.0;0.0;0.25500321975195345;0.0;0.0;0.0;0.3111057639048089;0.4724434490992149;0.0;0.0;0.0;0.2996934727364314;0.0;0.0;0.0;0.19637109350770868;0.39188023363943775;0.39253640752975905;0.24871397088689676;0.0;0.0;0.34012698347804343;0.3654493922378917;0.0;0.19637295351467104;0.2196525011809307;0.0;0.0;0.42362307962883844;0.0;0.0;0.3206146254046038;0.0;0.0;0.0;0.0;0.0;0.3527485635089482;0.0;0.0;0.0;0.16928829990249783;0.0;0.18756307828352262;0.3170913795320966;0.3407679121819088;0.0;0.0;0.5908050241727126;0.22802685226542485;0.0;0.31421701413190484;0.21595871468979672;0.0;0.3620186827833622;0.0;0.2933601782583954;0.0;0.0;0.0;0.2854757552572681;0.0;0.3653795426761911;0.0;0.36537762568918136;0.2931050710653601;0.0;0.0;0.40714931169402646
GO:0015031;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.43996557270286957;0.0;0.0;0.0;0.0;0.43884556459913765;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4040535069390568;0.8390325116422881;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8671627787868394;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4203797908889912;0.2740509020701088;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5504463376914013;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.42220249451999853;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2489976636765996;0.0;0.0;0.0;0.0;0.0
GO:0046854;0.0;0.0;0.0;1.0;0.0;0.0;0.8533534726017471;0.0;0.0;0.0;0.0;0.20917595224668456;0.0;0.0;0.21573595145001387;0.0;0.2023711854393742;0.20165728262059088;0.32737467813388993;0.19529525622833493;0.0;0.21622840091082524;0.3363756845726311;0.0;0.0;0.17826996120785024;0.19530247205438975;0.0;0.21655334470518278;0.32917886958161435;0.0;0.1954537656105447;0.0;0.0;0.0;0.0;0.5367705460115909;0.0;0.1892205491861564;0.0;0.0;0.0;0.0;0.0;0.35927610612519434;0.17314556876076845;0.0;0.7158759876067149;0.0;0.0;0.12170191173535952;0.0;0.20906346102681228;0.0;0.2084569401211171;0.0;0.0;0.0;0.18938532864266724;0.18938532864266724;0.3419156493482434;0.1410795715973141;0.2583019563229855;0.0;0.0;0.0;0.3616921534979571;0.0;0.0;0.0;0.15924894155031816;0.0;0.27357333775705944;0.20916772646417994;0.0;0.17815021008252935;0.2080668575999978;0.0;0.0;0.1887813947759236;0.0;0.0;0.22444131878890353;0.28457028427898723;0.4973523542990823;0.35288919493918885;0.0;0.45116610566546617;0.30190978804990243;0.30190978804990243;0.0;0.0;0.1729730005640529;0.21656036421690852;0.3295150284016531;0.0;0.0;0.32990247268609585;0.31425279625590485;0.17334644615231778;0.0;0.19529525622833493;0.0;0.0;0.19516657400234913;0.13767288396006178;0.0;0.0;0.0;0.0;0.0;0.18380440536080597;0.20922187321275643;0.2084569401211171;0.33643340271918004;0.0;0.0;0.35992057152998;0.38974207729147337;0.22444131878890353;0.0;0.4749249045658955;0.0;0.0;0.3798138753925156;0.2899115347808032;0.0;0.0;0.0;0.08847649177691215;0.0;0.22444131878890353;0.20959580634257485;0.0;0.0;0.20870865608071476;0.0;0.0;0.29008817529046194;0.18260356560015906;0.3007845780152523;0.0;0.21661482175755037;0.21629202347057647;0.3616921534979571;0.0;0.2735733381873489;0.0;0.19483736128466425;0.0;0.0;0.1898170106982185;0.20881413570380036;0.2016679771637043
GO:0045648;0.21702410059572394;0.269842423320247;0.0;0.0;1.0;0.31013751413038537;0.0;0.39615271297180743;0.0;0.1752904120302958;0.2923128221894886;0.0;0.2868652194629747;0.0;0.32880318665462693;0.2770167922066542;0.0;0.30933608704453547;0.0;0.3004561272079912;0.3342170993343474;0.0;0.0;0.47799617270624056;0.49692578644882024;0.0;0.30046622840493836;0.3295304991796761;0.0;0.0;0.44460121248975987;0.0;0.34111042380811774;0.16982271491123432;0.0;0.19374181672948207;0.0;0.22323550087582752;0.0;0.32493591094412505;0.31950645965033153;0.4446073651968907;0.30981960543845416;0.31950316621884695;0.0;0.32287377729068045;0.0;0.0;0.23996684355387476;0.0;0.3084487683780173;0.0;0.0;0.24739753065201017;0.31876960650984093;0.49692578925463665;0.0;0.2243686480832958;0.2921603707701977;0.2921603707701977;0.0;0.35428252535376803;0.0;0.37945423022031805;0.3735309859381932;0.309920073082611;0.0;0.2628293237462966;0.0;0.0;0.0;0.536751836904388;0.0;0.0;0.0;0.2210947100226744;0.0;0.2982892092031601;0.30094692505095305;0.29131007472167153;0.1247778584021149;0.21459406784520088;0.0;0.0;0.0;0.0;0.0;0.21285689674582045;0.0;0.0;0.0;0.2505754554752251;0.2688827161691627;0.0;0.0;0.0;0.29195844866818904;0.0;0.0;0.0;0.20268670168893163;0.3004561272079912;0.30084169854436654;0.2503608064929463;0.0;0.0;0.2557346794603691;0.28467077297835736;0.0;0.14565667962432097;0.6602619280602855;0.0;0.0;0.31876960650984093;0.0;0.0;0.25670762904271516;0.0;0.0;0.0;0.0;0.0;0.49380827131745814;0.0;0.0;0.0;0.14962095768304684;0.0;0.16371937394319974;0.19923284189949456;0.26946758476061566;0.0;0.0;0.3195326629868885;0.26957965772027653;0.0;0.30089244688255246;0.17854786825738742;0.0;0.28258475846278786;0.0;0.23893424744266062;0.0;0.0;0.0;0.233677763812997;0.0;0.28462838786909517;0.0;0.3960727248764563;0.23876499019999892;0.0;0.0;0.3093509704715003
GO:0001672;0.23419298526533813;0.567643422428624;0.0;0.0;0.31013751413038537;1.0;0.0;0.35493288596894645;0.0;0.2248780159653845;0.5527952038858447;0.0;0.38674313154796264;0.0;0.5607362023049947;0.340275343300883;0.0;0.5063889646955768;0.0;0.4830195266227224;0.33924931429671457;0.0;0.0;0.27137315801237727;0.2859864010462847;0.0;0.4830456331410583;0.6730123476027121;0.0;0.0;0.5342114504468071;0.0;0.4426595747969818;0.2159579768508642;0.0;0.25617739412951174;0.0;0.3104037105401668;0.0;0.3306254654815948;0.5342268727918046;0.5342238114545917;0.5076860034098725;0.534217665375094;0.0;0.4068807571707777;0.0;0.0;0.2202178180653522;0.0;0.2563046257162238;0.0;0.0;0.27845015250487715;0.5321700326721936;0.2859864032419972;0.0;0.2022612024288367;0.46193335990472745;0.46193335990472745;0.0;0.3092040435037768;0.0;0.3406116324976062;0.2843943021808952;0.7058230038306269;0.0;0.314240029685848;0.0;0.0;0.0;0.4843884530972549;0.0;0.0;0.0;0.3388579815698115;0.0;0.2935015780717026;0.48428922675876535;0.459811325890666;0.14801046328134881;0.19132894160490085;0.0;0.0;0.0;0.0;0.0;0.29069524587547074;0.0;0.0;0.0;0.36591828504553353;0.4063173620531565;0.0;0.0;0.0;0.34082444286221686;0.0;0.0;0.0;0.17833088363411992;0.4830195266227224;0.4840167920434685;0.2924791289056819;0.0;0.0;0.42763498207607675;0.4434852117384298;0.0;0.1783327178041911;0.24563052417584125;0.0;0.0;0.5321700326721936;0.0;0.0;0.3791441980298211;0.0;0.0;0.0;0.0;0.0;0.42491893626252936;0.0;0.0;0.0;0.18431167077333688;0.0;0.20618346962782994;0.17462451350694058;0.40765440822966537;0.0;0.0;0.534300133768844;0.25615029337728257;0.0;0.3874649849378656;0.24820798750600892;0.0;0.43844303540113055;0.0;0.3416130574291332;0.0;0.0;0.0;0.3309686652880087;0.0;0.44338235097154266;0.0;0.44337952812654685;0.3412671760419487;0.0;0.0;0.506428850976379
GO:0046856;0.0;0.0;0.0;0.8533534726017471;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.20917548096286892;0.0;0.0;0.21573545014270723;0.0;0.20237074431972882;0.20165684460771935;0.32737419282975505;0.19529484541695083;0.0;0.21622789731229197;0.33637523402778935;0.0;0.0;0.17826961890107043;0.19530206121264757;0.0;0.21655283959191798;0.3291783789136339;0.0;0.19545335413202902;0.0;0.0;0.0;0.0;0.5367695153926353;0.0;0.18922016353405066;0.0;0.0;0.0;0.0;0.0;0.35927541484838277;0.17314524585043164;0.0;0.7158749422511599;0.0;0.0;0.1217017522010025;0.0;0.2090629902497564;0.0;0.20845647207166954;0.0;0.0;0.0;0.18938494231859274;0.18938494231859274;0.34191490591876117;0.14107935721566892;0.25830160567046245;0.0;0.0;0.0;0.36169156111585316;0.0;0.0;0.0;0.1592486683933027;0.0;0.2735729988571391;0.20916725521742974;0.0;0.17814986823547718;0.2080663913006179;0.0;0.0;0.18878101091182786;0.0;0.0;0.22444077620791955;0.284569917585664;0.4492875487620029;0.3528886310412665;0.0;0.407564862221122;0.30190937530828726;0.30190937530828726;0.0;0.0;0.17297267829706187;0.21655985907089706;0.32951453673101727;0.0;0.0;0.32990177693000905;0.314252349076133;0.17334612249228865;0.0;0.19529484541695083;0.0;0.0;0.19516616373216253;0.13767267980687145;0.0;0.0;0.0;0.0;0.0;0.18380404147009669;0.20922140172199385;0.20845647207166954;0.3364328901859583;0.0;0.0;0.35992015546954625;0.3897413894659438;0.22444077620791955;0.0;0.42902754905563484;0.0;0.0;0.3798132221636428;0.28991115419298225;0.0;0.0;0.0;0.08847640745986887;0.0;0.22444077620791955;0.20959533316495838;0.0;0.0;0.20870818690022772;0.0;0.0;0.29008779423872244;0.18260320644868955;0.30078399965680364;0.0;0.2166143163574533;0.21629151957564455;0.36169156111585316;0.0;0.27357299928742757;0.0;0.19483695239742044;0.0;0.0;0.18981662261097612;0.20881366604895416;0.20166753910437307
GO:0032727;0.2623474717240256;0.29247723401423964;0.0;0.0;0.39615271297180743;0.35493288596894645;0.0;1.0;0.0;0.16900984213239215;0.32646540118584194;0.0;0.25764535851071796;0.0;0.38629178961071287;0.3787429996172565;0.0;0.35362276495408984;0.0;0.33929865859440406;0.3777253807966204;0.0;0.0;0.2516768308297318;0.2641968564767313;0.0;0.33931475492287844;0.38754745994737994;0.0;0.0;0.46289769100695505;0.0;0.3141571673570394;0.16269891745284693;0.0;0.19091496554168166;0.0;0.22800656398075056;0.0;0.3018451453232711;0.37046744349925315;0.4629069720370778;0.35441284121057226;0.37046191084839564;0.0;0.2914314213882786;0.0;0.0;0.2070674070996731;0.0;0.23866382985188597;0.0;0.0;0.20627981381965732;0.36923087472065536;0.2641968583506037;0.0;0.19111365259971283;0.32622784501420743;0.32622784501420743;0.0;0.28388952574159226;0.0;0.3101466013230603;0.2628375455493472;0.3545771397216494;0.0;0.3527120558362065;0.0;0.0;0.0;0.42501729631585866;0.0;0.0;0.0;0.30198380528542074;0.0;0.27059766872794533;0.3400812631069515;0.32490467343255613;0.11360404080065808;0.18132407583345428;0.0;0.0;0.0;0.0;0.0;0.21464949958113544;0.0;0.0;0.0;0.26489230589988993;0.2910702107665726;0.0;0.0;0.0;0.26338799160306486;0.0;0.0;0.0;0.16960823037033396;0.33929865859440406;0.3399133850199725;0.33061580619035397;0.0;0.0;0.37053643034410505;0.31467668161995493;0.0;0.13573921748596926;0.31920567261613214;0.0;0.0;0.36923087472065536;0.0;0.0;0.27352300894150783;0.0;0.0;0.0;0.0;0.0;0.3785331303481925;0.0;0.0;0.0;0.14006045335052644;0.0;0.15574826629755179;0.16625215865949838;0.29192726267941904;0.0;0.0;0.3705114644301398;0.23853000546579128;0.0;0.3399943427447735;0.22783058890846863;0.0;0.31150057584746715;0.0;0.2488754125004259;0.0;0.0;0.0;0.24179632875249266;0.0;0.31461197065913404;0.0;0.39311410033823047;0.2486460050492192;0.0;0.0;0.3536470689105621
GO:0001666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25234898135246164;0.0;0.0;0.500768881030039;0.0;0.0;0.0;0.3663181725510136;0.0;0.0;0.0;0.0;0.0;0.3150090905554554;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2242018662227613;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.29894168822818257;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3340880527842049;0.0;0.0;0.0;0.0;0.3474093413997256;0.0;0.0;0.0;0.351067765714538;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.300163919737907;0.0;0.0;0.28581406856804437;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.31535413573836074;0.0;0.0;0.0;0.0;0.0;0.0;0.3328586890577269;0.0;0.1435304907745045;0.0;0.0;0.0;0.0;0.0;0.35092888504736836;0.0;0.0;0.0;0.38011519550953193;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0045892;0.6341457626801082;0.2029078444595245;0.0;0.0;0.1752904120302958;0.2248780159653845;0.0;0.16900984213239215;0.0;1.0;0.29967567704486886;0.0;0.16465350407200102;0.0;0.23453190389329298;0.16561288118033074;0.0;0.22445636019882118;0.0;0.21974389577376116;0.2066336924534112;0.0;0.0;0.2257005800056066;0.23281067826430288;0.0;0.21974929884166955;0.23490171295203838;0.0;0.0;0.2297603852930109;0.0;0.21099206268667417;0.440865028096109;0.0;0.3104192043605109;0.0;0.34754362594848004;0.0;0.18165261845955535;0.31972371301034963;0.22976267179755847;0.312693102029615;0.31972134302317695;0.0;0.20250437296908044;0.0;0.0;0.5537590352754593;0.0;0.15668947111299028;0.0;0.0;0.2291819752966913;0.2293819403927906;0.2328106793099766;0.0;0.26691366122374804;0.21527334834941242;0.21527334834941242;0.0;0.17499182076284076;0.0;0.25691448361983266;0.16675873711420872;0.224763672685473;0.0;0.15919354113736517;0.0;0.0;0.0;0.22002678344627705;0.0;0.0;0.0;0.4466947141048315;0.0;0.16984909658869513;0.2200063077321055;0.2989176286679829;0.339403897167934;0.25713003759672515;0.0;0.0;0.0;0.0;0.0;0.16890547541250814;0.0;0.0;0.0;0.490161922886312;0.28159770139221796;0.0;0.0;0.0;0.16698014078099996;0.0;0.0;0.0;0.24501895074428298;0.21974389577376116;0.2199500662910475;0.304785133572556;0.0;0.0;0.1838970863067457;0.29386372196753097;0.0;0.38761166585913637;0.1526345244767967;0.0;0.0;0.2293819403927906;0.0;0.0;0.42290616045065627;0.0;0.0;0.0;0.0;0.0;0.20687518637300856;0.0;0.0;0.0;0.39652991063914256;0.0;0.4276628886276762;0.16955439880530906;0.2820584486900516;0.0;0.0;0.22977678834961104;0.3103991238780479;0.0;0.21997719157278;0.24390345457107354;0.0;0.2100293002720904;0.0;0.7190010501133614;0.0;0.0;0.0;0.7066978465141127;0.0;0.29383126246312263;0.0;0.21115549101657594;0.4013088137942679;0.0;0.0;0.22446419629691636
