;GO:0014066;GO:0015031;GO:0045445;GO:0006364;GO:0042531;GO:0042730;GO:0043666;GO:0051290;GO:0006687;GO:0032804;GO:0043271;GO:0000381;GO:0000380;GO:0070120;GO:0032729;GO:0051607;GO:0010536;GO:1905581;GO:0031952;GO:0032722;GO:0007186;GO:1905599;GO:1905597;GO:0006695;GO:0002690;GO:0043312;GO:0042104;GO:0007589;GO:0030855;GO:0043161;GO:0006646;GO:1900738;GO:0051135;GO:0016042;GO:0010501;GO:0001837;GO:0050804;GO:0044090;GO:0032755;GO:2001014;GO:0072659;GO:0010586;GO:0036035;GO:0035024;GO:0090630;GO:0031340;GO:0008285;GO:0097191;GO:1905602;GO:0045944;GO:0045669;GO:0043403;GO:0048661;GO:0097066;GO:0006657;GO:0001765;GO:0001921;GO:0048146;GO:0030242;GO:0070102;GO:0030521;GO:0035774;GO:0030520;GO:0051865;GO:0009062;GO:0032780;GO:0050829;GO:0006351;GO:0090122;GO:0006470;GO:0006355;GO:0006672;GO:0044147;GO:0006357;GO:0048671;GO:0006900;GO:0030517;GO:0002548;GO:0052362;GO:0032816;GO:0001934;GO:0042692;GO:0051791;GO:2000146;GO:0031047;GO:0002827;GO:0030199;GO:0052405;GO:0035722
GO:0014066;1.0;0.0;0.0;0.0;0.7;0.4444444444444444;0.4444444444444444;0.0;0.0;0.4444444444444444;0.4;0.42105263157894735;0.0;0.125;0.4;0.0;0.7;0.4;0.4444444444444444;0.4;0.5714285714285714;0.2222222222222222;0.25;0.0;0.4444444444444444;0.0;0.42105263157894735;0.2857142857142857;0.0;0.0;0.0;0.7058823529411765;0.42105263157894735;0.0;0.0;0.0;0.5333333333333333;0.5;0.4;0.47058823529411764;0.0;0.0;0.0;0.7368421052631579;0.25;0.5;0.5714285714285714;0.13333333333333333;0.42105263157894735;0.4;0.5333333333333333;0.0;0.5333333333333333;0.0;0.0;0.0;0.5333333333333333;0.5333333333333333;0.0;0.125;0.11764705882352941;0.4;0.11764705882352941;0.0;0.0;0.26666666666666666;0.0;0.0;0.0;0.0;0.4444444444444444;0.0;0.4;0.42105263157894735;0.2;0.0;0.2;0.0;0.0;0.47058823529411764;0.4444444444444444;0.0;0.0;0.5333333333333333;0.11764705882352941;0.47058823529411764;0.0;0.125;0.125
GO:0015031;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1111111111111111;0.0;0.42857142857142855;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0045445;0.0;0.0;1.0;0.13333333333333333;0.0;0.0;0.0;0.15384615384615385;0.15384615384615385;0.0;0.0;0.0;0.1111111111111111;0.15384615384615385;0.0;0.0;0.0;0.0;0.0;0.0;0.18181818181818182;0.0;0.0;0.0;0.0;0.13333333333333333;0.0;0.0;0.2;0.13333333333333333;0.14285714285714285;0.0;0.0;0.0;0.15384615384615385;0.18181818181818182;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.18181818181818182;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.18181818181818182;0.0;0.0;0.13333333333333333;0.18181818181818182;0.0;0.0;0.18181818181818182;0.15384615384615385;0.14285714285714285;0.0;0.14285714285714285;0.125;0.14285714285714285;0.0;0.0;0.13333333333333333;0.0;0.15384615384615385;0.0;0.15384615384615385;0.0;0.0;0.0;0.18181818181818182;0.0;0.15384615384615385;0.0;0.0;0.0;0.2;0.14285714285714285;0.0;0.14285714285714285;0.0;0.18181818181818182;0.0;0.15384615384615385
GO:0006364;0.0;0.0;0.13333333333333333;1.0;0.0;0.0;0.0;0.1111111111111111;0.3333333333333333;0.0;0.0;0.0;0.08695652173913043;0.1111111111111111;0.0;0.0;0.0;0.0;0.0;0.0;0.125;0.0;0.0;0.3333333333333333;0.0;0.1;0.0;0.0;0.13333333333333333;0.1;0.21052631578947367;0.0;0.0;0.4;0.4444444444444444;0.125;0.0;0.0;0.0;0.0;0.0;0.8421052631578947;0.125;0.0;0.0;0.0;0.0;0.11764705882352941;0.0;0.0;0.0;0.0;0.0;0.0;0.3;0.125;0.0;0.0;0.125;0.1111111111111111;0.10526315789473684;0.0;0.10526315789473684;0.38095238095238093;0.21052631578947367;0.0;0.0;0.1;0.1111111111111111;0.4444444444444444;0.0;0.3333333333333333;0.0;0.0;0.0;0.125;0.0;0.1111111111111111;0.1;0.0;0.0;0.13333333333333333;0.21052631578947367;0.0;0.10526315789473684;0.0;0.125;0.0;0.1111111111111111
GO:0042531;0.7;0.0;0.0;0.0;1.0;0.36363636363636365;0.7272727272727273;0.0;0.0;0.6363636363636364;0.3157894736842105;0.43478260869565216;0.0;0.1;0.42105263157894735;0.0;0.9166666666666666;0.42105263157894735;0.8181818181818182;0.42105263157894735;0.4444444444444444;0.36363636363636365;0.2;0.0;0.45454545454545453;0.0;0.34782608695652173;0.2222222222222222;0.0;0.0;0.0;0.6666666666666666;0.34782608695652173;0.0;0.0;0.0;0.42105263157894735;0.5;0.42105263157894735;0.38095238095238093;0.0;0.0;0.0;0.6086956521739131;0.2;0.4;0.4444444444444444;0.42105263157894735;0.34782608695652173;0.5;0.5263157894736842;0.0;0.5263157894736842;0.0;0.0;0.0;0.5263157894736842;0.5263157894736842;0.0;0.1;0.09523809523809523;0.4166666666666667;0.09523809523809523;0.0;0.0;0.21052631578947367;0.0;0.0;0.0;0.0;0.45454545454545453;0.0;0.3157894736842105;0.43478260869565216;0.16666666666666666;0.0;0.16666666666666666;0.0;0.0;0.38095238095238093;0.9090909090909091;0.0;0.0;0.42105263157894735;0.47619047619047616;0.47619047619047616;0.0;0.1;0.1
GO:0042730;0.4444444444444444;0.0;0.0;0.0;0.36363636363636365;1.0;0.2;0.0;0.0;0.4;0.47058823529411764;0.2857142857142857;0.0;0.1111111111111111;0.47058823529411764;0.0;0.36363636363636365;0.47058823529411764;0.3;0.47058823529411764;0.125;0.2;0.2222222222222222;0.0;0.5;0.0;0.2857142857142857;0.5;0.0;0.0;0.0;0.42105263157894735;0.2857142857142857;0.0;0.0;0.0;0.35294117647058826;0.3333333333333333;0.47058823529411764;0.3157894736842105;0.0;0.0;0.0;0.38095238095238093;0.2222222222222222;0.3333333333333333;0.5;0.11764705882352941;0.2857142857142857;0.2727272727272727;0.47058823529411764;0.0;0.35294117647058826;0.0;0.0;0.0;0.35294117647058826;0.35294117647058826;0.0;0.1111111111111111;0.10526315789473684;0.36363636363636365;0.10526315789473684;0.0;0.0;0.23529411764705882;0.0;0.0;0.0;0.0;0.3;0.0;0.47058823529411764;0.2857142857142857;0.18181818181818182;0.0;0.18181818181818182;0.0;0.0;0.3157894736842105;0.3;0.0;0.0;0.47058823529411764;0.42105263157894735;0.42105263157894735;0.0;0.1111111111111111;0.1111111111111111
GO:0043666;0.4444444444444444;0.0;0.0;0.0;0.7272727272727273;0.2;1.0;0.0;0.0;0.7;0.23529411764705882;0.47619047619047616;0.0;0.1111111111111111;0.23529411764705882;0.0;0.7272727272727273;0.23529411764705882;0.8;0.23529411764705882;0.125;0.3;0.3333333333333333;0.0;0.2;0.0;0.38095238095238093;0.25;0.0;0.0;0.0;0.42105263157894735;0.38095238095238093;0.0;0.0;0.0;0.47058823529411764;0.4444444444444444;0.23529411764705882;0.42105263157894735;0.0;0.0;0.0;0.38095238095238093;0.5555555555555556;0.4444444444444444;0.5;0.11764705882352941;0.38095238095238093;0.45454545454545453;0.47058823529411764;0.0;0.47058823529411764;0.0;0.0;0.0;0.5882352941176471;0.47058823529411764;0.0;0.1111111111111111;0.10526315789473684;0.18181818181818182;0.10526315789473684;0.0;0.0;0.5882352941176471;0.0;0.0;0.0;0.0;0.5;0.0;0.23529411764705882;0.47619047619047616;0.18181818181818182;0.0;0.18181818181818182;0.0;0.0;0.42105263157894735;0.8;0.0;0.0;0.47058823529411764;0.10526315789473684;0.21052631578947367;0.0;0.1111111111111111;0.1111111111111111
GO:0051290;0.0;0.0;0.15384615384615385;0.1111111111111111;0.0;0.0;0.0;1.0;0.125;0.0;0.0;0.0;0.09523809523809523;0.125;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.1111111111111111;0.0;0.0;0.15384615384615385;0.1111111111111111;0.11764705882352941;0.0;0.0;0.0;0.125;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.11764705882352941;0.14285714285714285;0.0;0.0;0.0;0.0;0.13333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.1111111111111111;0.14285714285714285;0.0;0.0;0.14285714285714285;0.125;0.11764705882352941;0.0;0.11764705882352941;0.10526315789473684;0.11764705882352941;0.0;0.0;0.1111111111111111;0.0;0.125;0.0;0.125;0.0;0.0;0.0;0.14285714285714285;0.0;0.125;0.0;0.0;0.0;0.15384615384615385;0.11764705882352941;0.0;0.11764705882352941;0.0;0.2857142857142857;0.0;0.125
GO:0006687;0.0;0.0;0.15384615384615385;0.3333333333333333;0.0;0.0;0.0;0.125;1.0;0.0;0.0;0.0;0.2857142857142857;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.2857142857142857;0.0;0.0;0.5;0.0;0.1111111111111111;0.0;0.0;0.15384615384615385;0.4444444444444444;0.5882352941176471;0.0;0.0;0.6153846153846154;0.375;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.35294117647058826;0.2857142857142857;0.0;0.0;0.0;0.0;0.26666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.4444444444444444;0.14285714285714285;0.0;0.0;0.42857142857142855;0.25;0.23529411764705882;0.0;0.23529411764705882;0.42105263157894735;0.5882352941176471;0.0;0.0;0.3333333333333333;0.125;0.5;0.0;0.875;0.0;0.0;0.0;0.14285714285714285;0.0;0.25;0.4444444444444444;0.0;0.0;0.15384615384615385;0.5882352941176471;0.0;0.23529411764705882;0.0;0.2857142857142857;0.0;0.25
GO:0032804;0.4444444444444444;0.0;0.0;0.0;0.6363636363636364;0.4;0.7;0.0;0.0;1.0;0.47058823529411764;0.47619047619047616;0.0;0.1111111111111111;0.35294117647058826;0.0;0.6363636363636364;0.35294117647058826;0.7;0.35294117647058826;0.5;0.2;0.2222222222222222;0.0;0.3;0.0;0.38095238095238093;0.25;0.0;0.0;0.0;0.42105263157894735;0.38095238095238093;0.0;0.0;0.0;0.47058823529411764;0.4444444444444444;0.35294117647058826;0.42105263157894735;0.0;0.0;0.0;0.38095238095238093;0.2222222222222222;0.4444444444444444;0.625;0.47058823529411764;0.38095238095238093;0.45454545454545453;0.47058823529411764;0.0;0.47058823529411764;0.0;0.0;0.0;0.5882352941176471;0.47058823529411764;0.0;0.1111111111111111;0.10526315789473684;0.2727272727272727;0.10526315789473684;0.0;0.0;0.23529411764705882;0.0;0.0;0.0;0.0;0.5;0.0;0.47058823529411764;0.47619047619047616;0.45454545454545453;0.0;0.45454545454545453;0.0;0.0;0.42105263157894735;0.7;0.0;0.0;0.47058823529411764;0.631578947368421;0.3157894736842105;0.0;0.1111111111111111;0.1111111111111111
