;GO:1990090;GO:0014063;GO:0060087;GO:1901224;GO:0007254;GO:0042135;GO:0002882;GO:0000187;GO:0045892;GO:0007409;GO:0071930;GO:0032722;GO:0031114;GO:0070836;GO:2000010;GO:0000902;GO:0042420;GO:0045652;GO:0008630;GO:0000226;GO:1900026;GO:0051412;GO:0000077;GO:0051894;GO:0001558;GO:0072332;GO:0048255;GO:0016486;GO:0034333;GO:0070317;GO:0051259;GO:0032435;GO:0008286;GO:0007597;GO:0007598;GO:0022900;GO:0007354;GO:0045944;GO:0099642;GO:0002576;GO:0099641;GO:0019065;GO:0071398;GO:0019221;GO:0048146;GO:0051384;GO:0032386;GO:0070345;GO:0034329;GO:0016358;GO:0007088;GO:0043410;GO:0071383;GO:0048675;GO:0048278;GO:0032496;GO:0001937;GO:0050900;GO:0001938;GO:0030510;GO:0030512;GO:0034394;GO:0043306;GO:0060161;GO:0031284;GO:0030195;GO:0042730;GO:0008306;GO:0045964;GO:0043547;GO:0032526;GO:0043392;GO:0048167;GO:0071456;GO:0051205;GO:0010575;GO:0031032;GO:1900740;GO:0043312;GO:0007189;GO:0042104;GO:0046426;GO:0071560;GO:0031668;GO:0033209;GO:0010628;GO:0032355;GO:0032870;GO:0032755;GO:0030336;GO:0030214;GO:0006342;GO:0043567;GO:0006469;GO:0000122;GO:0045471;GO:0006977;GO:0048741;GO:0043297;GO:0010951;GO:0009100;GO:0006351;GO:0044267;GO:0045599;GO:0007565;GO:0007569;GO:0090090;GO:0070493;GO:0001973;GO:0044791;GO:0071222;GO:0006906;GO:0071347;GO:0030032;GO:0071466;GO:0050665
GO:1990090;1.0;0.0;0.0;0.0;0.45291032168736267;0.3096938769448149;0.0;0.0;0.0;0.3786640207906406;0.30050947687859925;0.0;0.0;0.30050947687859925;0.0;0.39399134638128824;0.22541450789500678;0.0;0.4697399866722796;0.3633687104249708;0.0;0.49122157286395723;0.4310633166027601;0.0;0.0;0.3271838647793925;0.0;0.35099847183335003;0.33958674883462;0.0;0.35641641381953687;0.0;0.33416880684843314;0.4047672387796846;0.4047672387796846;0.3297093804551369;0.0;0.0;0.30050947687859925;0.22541450789500678;0.3173391418635162;0.0;0.5671015149050833;0.39951238862520916;0.0;0.5099517460695183;0.0;0.0;0.3720006738100659;0.3440135297643094;0.0;0.0;0.6139686153407211;0.3271838647793925;0.34775631971058624;0.4823603306480828;0.0;0.399920466705247;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.44571305317054594;0.0;0.0;0.4315780086828708;0.0;0.0;0.3110816874747784;0.30050947687859925;0.30050947687859925;0.35641641381953687;0.0;0.0;0.7388837608895505;0.5397902607979155;0.3271838647793925;0.0;0.5180241274256179;0.6970417452623654;0.0;0.0;0.21140323934614252;0.35641641381953687;0.0;0.0;0.0;0.44571305317054594;0.45291032168736267;0.30050947687859925;0.30050947687859925;0.0;0.33683973741130385;0.40779925477380324;0.40694023246725874;0.0;0.0;0.30870717847842105;0.0;0.30050947687859925;0.30050947687859925;0.0;0.5013498550482695;0.38053264058097885;0.5013498550482695;0.3271838647793925;0.5451183080508519;0.24090324668827506
GO:0014063;0.0;1.0;0.31788400659563526;0.2560615493486744;0.25654682119915273;0.27111586325263;0.19326468817306902;0.24418743384081554;0.44666425746254235;0.0;0.3162114882716522;0.2942558924466682;0.31968093045037527;0.0;0.3307019665260956;0.0;0.0;0.3028512654654583;0.2733764861840696;0.0;0.25654682119915273;0.0;0.3830883874691516;0.25654682119915273;0.4030107881954435;0.2832212090999459;0.34288587617244537;0.28561790357950434;0.0;0.35850278162658117;0.0;0.33797382339227766;0.29020615116898657;0.0;0.0;0.0;0.0;0.33719977645849797;0.0;0.0;0.0;0.0;0.0;0.375179789311275;0.3028512654654583;0.0;0.5441423727784137;0.41197972408903494;0.0;0.0;0.37967506132788675;0.3233802092883421;0.0;0.0;0.0;0.0;0.38517716952737435;0.0;0.2832212090999459;0.36111527530727666;0.38517716952737435;0.0;0.45959927785884075;0.2560615493486744;0.209731877021625;0.39645218052598946;0.31788400659563526;0.0;0.2560615493486744;0.20514362943214276;0.0;0.26265895086671714;0.33830501385024303;0.0;0.0;0.22276469551520156;0.0;0.36677459417875946;0.0;0.31245375814009035;0.209731877021625;0.3330411532565691;0.0;0.0;0.2832212090999459;0.35511631370875846;0.0;0.0;0.24943908341599474;0.4768310306373617;0.0;0.3721184252125898;0.3028512654654583;0.3780033771743688;0.4143770731039121;0.0;0.41810901181690524;0.0;0.0;0.37443256345154674;0.0;0.0;0.0;0.40213500117315865;0.0;0.0;0.38919032043875096;0.27617687756466514;0.25654682119915273;0.24007963235059676;0.0;0.0;0.0;0.0;0.0;0.0
GO:0060087;0.0;0.31788400659563526;1.0;0.25690929733551365;0.3842684492507788;0.34621083223622245;0.22276469551520156;0.25452279955392026;0.4090766630555006;0.0;0.4424427671303049;0.4025341972742305;0.3032137416018193;0.0;0.28237092570552574;0.0;0.0;0.35771738824355703;0.4010981142356957;0.0;0.25970968871610917;0.0;0.36513084942762225;0.24007963235059676;0.4133461539085481;0.410942837151572;0.367219631485845;0.4298067204796864;0.0;0.29825395023012286;0.0;0.2905162780086158;0.41792777922061264;0.0;0.0;0.0;0.5032980343937457;0.3362213264032103;0.0;0.0;0.0;0.0;0.0;0.48327136099738865;0.28638407661690235;0.0;0.4102749127541028;0.34455839449642844;0.0;0.0;0.3632078724793308;0.32422795727518133;0.0;0.0;0.0;0.0;0.32492833813091604;0.0;0.26675402025138994;0.3446480864587207;0.32492833813091604;0.0;0.28638407661690235;0.25690929733551365;0.25970968871610917;0.46729668257188667;0.38872850864153247;0.496484617913617;0.25690929733551365;0.2715886299751829;0.0;0.3377539198503096;0.4237353485469401;0.0;0.0;0.33104300034276385;0.0;0.3842684492507788;0.0;0.4401753861917164;0.20727595672193327;0.29776867837964455;0.0;0.0;0.410942837151572;0.39206130690966606;0.0;0.0;0.35771738824355703;0.42172177735197236;0.0;0.4983497040712425;0.3090453136063189;0.3773607759682347;0.37910459822698755;0.0;0.4424427671303049;0.0;0.0;0.3564750254100174;0.0;0.0;0.0;0.33471367158055215;0.5032980343937457;0.0;0.3516027260317092;0.3842684492507788;0.3842684492507788;0.3842684492507788;0.0;0.0;0.0;0.0;0.0;0.0
GO:1901224;0.0;0.2560615493486744;0.25690929733551365;1.0;0.2560615493486744;0.2739342596886826;0.3848022061528339;0.6048310837999523;0.3373842548319197;0.0;0.2560615493486744;0.38530915023146345;0.29956560223438455;0.0;0.3334480096655092;0.0;0.0;0.28273593724946766;0.27289121433359137;0.0;0.33338533752975075;0.0;0.2738083848385289;0.33338533752975075;0.37754915982543147;0.28273593724946766;0.30768866557212654;0.2851326317290261;0.0;0.24057281055540614;0.0;0.24108068546877803;0.2897208793185083;0.0;0.0;0.0;0.0;0.414038292789096;0.0;0.0;0.0;0.0;0.0;0.35506446109528433;0.3796897817960564;0.0;0.36749834754869554;0.28273593724946766;0.0;0.0;0.35955973311189604;0.7168275348761424;0.0;0.0;0.0;0.0;0.2672471984561994;0.0;0.360059725430544;0.48021539092712856;0.4219513810853102;0.0;0.43110665041913954;0.517714826071476;0.27377910733942656;0.3898234383105868;0.316601564534254;0.0;0.3329000656792725;0.20918200840426326;0.0;0.2654773473027698;0.4446758781293236;0.0;0.0;0.3138179532999968;0.0;0.4740826065248985;0.0;0.31196848628961205;0.286570393352223;0.49492779350494776;0.0;0.0;0.28273593724946766;0.4461695714935537;0.0;0.0;0.34049234120079;0.3444105813117433;0.0;0.31196848628961205;0.4714151726363874;0.2811102392508692;0.31193584082600534;0.0;0.35301539389526315;0.0;0.0;0.27199133117364005;0.0;0.0;0.0;0.27289121433359137;0.0;0.0;0.44862576898610335;0.2560615493486744;0.2560615493486744;0.2965030164646016;0.0;0.0;0.0;0.0;0.0;0.0
GO:0007254;0.45291032168736267;0.25654682119915273;0.3842684492507788;0.2560615493486744;1.0;0.4123865805853561;0.20727595672193327;0.256978719853612;0.3500545971891353;0.46373187935097676;0.40073563809933477;0.3115708292820634;0.30005087408486286;0.3855773354389354;0.25970968871610917;0.4790592049416244;0.35088193260071;0.2832212090999459;0.6123335359112667;0.4484365689853069;0.25654682119915273;0.37796468421802404;0.5325515434704393;0.23923188436375753;0.4030107881954435;0.622178258827143;0.3028512654654583;0.5461691613505992;0.4246546073949561;0.23923188436375753;0.44148427237987303;0.23601786296484922;0.5521963285098181;0.49568016639584844;0.49568016639584844;0.4150871472602829;0.0;0.33719977645849797;0.3855773354389354;0.28367981189368235;0.4024070004238523;0.0;0.5018323165592596;0.6175399102865942;0.2832212090999459;0.3966948574235851;0.38761367576468625;0.2832212090999459;0.45706853237040207;0.42908138832464554;0.36004500496237435;0.3233802092883421;0.46749917732067975;0.4122517233397286;0.4328241782709224;0.4897069306791534;0.2659062722645507;0.4849883252655831;0.2659062722645507;0.3384540383178601;0.2659062722645507;0.0;0.2832212090999459;0.2560615493486744;0.25654682119915273;0.3156166256570468;0.24007963235059676;0.0;0.2560615493486744;0.2519585736096705;0.4047672387796846;0.31509268286089304;0.4073988617668326;0.5181083762671157;0.0;0.24007963235059676;0.3806608072418462;0.40073563809933477;0.3855773354389354;0.6514108078672874;0.209731877021625;0.24057281055540614;0.4360806567024458;0.6248581193582516;0.5452113864407775;0.37243125054415366;0.4047672387796846;0.5350835684490556;0.26675402025138994;0.36038459195548983;0.3365119108146902;0.4566425750402724;0.3028512654654583;0.31833871010186937;0.32190873040274914;0.4047672387796846;0.5955038709263498;0.3855773354389354;0.3855773354389354;0.2974529595436521;0.5165216881352848;0.5839808300154367;0.5973642915018467;0.2733764861840696;0.0;0.39377503703875716;0.2925806601653439;0.5185369985399844;0.5185369985399844;0.3842684492507788;0.5111756256860382;0.46560049914131496;0.4092781021407852;0.4122517233397286;0.5329608401480131;0.31679339576715565
GO:0042135;0.3096938769448149;0.27111586325263;0.34621083223622245;0.2739342596886826;0.4123865805853561;1.0;0.2443133086909693;0.27979330904196814;0.36792730752914343;0.45742754062392416;0.3792729967118828;0.34260706018409665;0.31461991613834006;0.3792729967118828;0.28660460204589827;0.44595231165291116;0.522221239568552;0.2977902511534231;0.3961026616967997;0.45762096905152266;0.27111586325263;0.0;0.3574259916272802;0.25710459470376573;0.4080922125226552;0.40594738461267593;0.4477952261967732;0.521073624801808;0.39154771410624284;0.25710459470376573;0.4083773790911598;0.26072934365757344;0.4129323266817166;0.4067221263856886;0.4067221263856886;0.48387777751682276;0.0;0.357769939578978;0.3524704421502222;0.31017914879529324;0.3693001071351391;0.0;0.3759308086521071;0.4782759084584926;0.2977902511534231;0.0;0.41450858909447535;0.2977902511534231;0.4239616390816889;0.4227770495975929;0.37461404701585155;0.3412529196283503;0.35108528713979253;0.40594738461267593;0.3997172849822092;0.0;0.28377898260455886;0.45188143197686986;0.28377898260455886;0.34888176279909316;0.28377898260455886;0.0;0.2977902511534231;0.2739342596886826;0.27111586325263;0.45739771887140523;0.38417584509507247;0.0;0.2739342596886826;0.2879455282375469;0.0;0.3469383199165253;0.5523428224981475;0.32980920516080564;0.0;0.27111586325263;0.3999876459473089;0.44378207528539665;0.3524704421502222;0.43517993365282037;0.23254646620998115;0.2611429736758862;0.29286421195989804;0.4661529358224356;0.40594738461267593;0.4034674814461868;0.0;0.40918206054190304;0.2977902511534231;0.37495363400896703;0.48941756393988856;0.43517993365282037;0.3132789899466914;0.3362114204418775;0.34247889352322913;0.0;0.3792729967118828;0.3792729967118828;0.3524704421502222;0.31532566988366023;0.5083230713083848;0.51967635848056;0.5784235663643398;0.2879455282375469;0.0;0.4029594371049729;0.3104533705053521;0.3792729967118828;0.3792729967118828;0.34621083223622245;0.3524704421502222;0.4324936058526017;0.29286421195989804;0.37914483005101535;0.3938857129777095;0.3855840260236955
GO:0002882;0.0;0.19326468817306902;0.22276469551520156;0.3848022061528339;0.20727595672193327;0.2443133086909693;1.0;0.3824157083712405;0.29129611498565033;0.0;0.20727595672193327;0.35116454841115136;0.23676874105877915;0.0;0.2969882883150799;0.0;0.0;0.2199390760738622;0.22410562170685017;0.0;0.2796733514796847;0.0;0.21595340251127143;0.2641846126864164;0.32693736915656335;0.23395034462272646;0.27684773203834534;0.25281422795084085;0.0;0.18047340216027258;0.0;0.18674699848762977;0.24093528669176711;0.0;0.0;0.0;0.0;0.3636299750255609;0.0;0.0;0.0;0.0;0.0;0.30627886846854313;0.3063477393804779;0.0;0.33517994377051036;0.2199390760738622;0.0;0.0;0.29676287193629064;0.45212086609250157;0.0;0.0;0.0;0.0;0.20714779006106576;0.0;0.2908590005872096;0.37936399713792723;0.310957548656862;0.0;0.3946469290687102;0.3848022061528339;0.22561521564376757;0.4695412346313291;0.39400424132487905;0.0;0.26700300912246905;0.18058550093835818;0.0;0.23585639630505645;0.2890341493730236;0.0;0.0;0.2796733514796847;0.0;0.3506576043325218;0.0;0.2631828936628709;0.2373820581247557;0.28710155719212144;0.0;0.0;0.23395034462272646;0.4120249696732416;0.0;0.0;0.3063477393804779;0.2971024589294061;0.0;0.2631828936628709;0.34376122428552547;0.23691899090896795;0.26687214451154434;0.0;0.2969882883150799;0.0;0.0;0.21603324035075067;0.0;0.0;0.0;0.2100943531579859;0.0;0.0;0.33763193655765517;0.20727595672193327;0.20727595672193327;0.2641846126864164;0.0;0.0;0.0;0.0;0.0;0.0
GO:0000187;0.0;0.24418743384081554;0.25452279955392026;0.6048310837999523;0.256978719853612;0.27979330904196814;0.3824157083712405;1.0;0.4212081380604272;0.0;0.32317671124784586;0.35612009788820936;0.28769148672652567;0.0;0.29742018696953915;0.0;0.0;0.2708618217416087;0.2738083848385289;0.0;0.30419628518649666;0.0;0.26877303968338606;0.30419628518649666;0.36115139349497377;0.28365310775440516;0.40764386221861504;0.2860498022339636;0.0;0.2324205913598274;0.0;0.4045980110094768;0.2906380498234458;0.0;0.0;0.0;0.0;0.4944261052058306;0.0;0.0;0.0;0.0;0.0;0.35598163160022184;0.3436619591000863;0.0;0.3438573895598485;0.2708618217416087;0.0;0.0;0.34768561760403716;0.8015947641718252;0.0;0.0;0.0;0.0;0.2590949792606206;0.0;0.33087067308728985;0.4683412754192696;0.41542356573147265;0.0;0.424578835065302;0.4986682123674689;0.4944998390200484;0.3874369405289934;0.31751873503919154;0.0;0.3924179772253965;0.4962483551616751;0.0;0.41881284013690256;0.4422893803477302;0.0;0.0;0.2846289009567427;0.0;0.4622084910170396;0.0;0.3128856567945496;0.2713926095578332;0.4830536779970888;0.0;0.0;0.28365310775440516;0.5428210998535112;0.0;0.0;0.3113032888575359;0.3362583621161645;0.0;0.3790836481887835;0.45236855893238026;0.6701762213933515;0.3967841675863212;0.0;0.33099883974815736;0.0;0.0;0.4401870831742857;0.0;0.0;0.0;0.26101709882573243;0.0;0.0;0.44209795363226584;0.256978719853612;0.256978719853612;0.29742018696953915;0.0;0.0;0.0;0.0;0.0;0.0
GO:0045892;0.0;0.44666425746254235;0.4090766630555006;0.3373842548319197;0.3500545971891353;0.36792730752914343;0.29129611498565033;0.4212081380604272;1.0;0.0;0.7872797636293691;0.3895898664787777;0.39355865007484536;0.0;0.3335874083405793;0.0;0.0;0.37672898508992847;0.36688426217405223;0.0;0.334565858395867;0.0;0.45696610709362173;0.334565858395867;0.4715422076658923;0.37672898508992847;0.6111220716489597;0.3791256795694869;0.0;0.42703420109702994;0.0;0.5135800224236987;0.3837139271589691;0.0;0.0;0.0;0.0;0.7226455772923279;0.0;0.0;0.0;0.0;0.0;0.44905750893574514;0.37672898508992847;0.0;0.4614913953891564;0.47333864536333553;0.0;0.0;0.45355278095235685;0.48491217471468545;0.0;0.0;0.0;0.0;0.4537085889978231;0.0;0.3612402462966602;0.6714661071575141;0.4537085889978231;0.0;0.3612402462966602;0.3373842548319197;0.4521797305632248;0.4846136563619506;0.4090766630555006;0.0;0.4298243570300096;0.30317505624472413;0.0;0.35947039514323065;0.4318127898402256;0.0;0.0;0.31809866954731103;0.0;0.3500545971891353;0.0;0.40596153413007285;0.29599646135321817;0.4110601904532834;0.0;0.0;0.37672898508992847;0.7121735986662494;0.0;0.0;0.3447730574481042;0.530871971853367;0.0;0.8431867005703068;0.37672898508992847;0.5709245130411851;0.885445348461629;0.0;0.4693254944519589;0.0;0.0;0.5500387624829678;0.0;0.0;0.0;0.4634939224474593;0.0;0.0;0.4630680400632211;0.3500545971891353;0.3500545971891353;0.3335874083405793;0.0;0.0;0.0;0.0;0.0;0.0
GO:0007409;0.3786640207906406;0.0;0.0;0.0;0.46373187935097676;0.45742754062392416;0.0;0.0;0.0;1.0;0.46373187935097676;0.0;0.0;0.5553561630439061;0.0;0.7900289555309217;0.3618343558057237;0.0;0.48056154433589365;0.6182153965902777;0.0;0.0;0.4090811986377107;0.0;0.0;0.49040626725176995;0.0;0.5142208743057275;0.5944334349999268;0.0;0.6112630999848438;0.0;0.4973912093208106;0.0;0.0;0.46012810729885095;0.0;0.0;0.46373187935097676;0.3618343558057237;0.48056154433589365;0.0;0.42758601566253757;0.5627347910975866;0.0;0.0;0.0;0.0;0.6268473599753728;0.7260812547758615;0.0;0.0;0.3973941939962017;0.5512039044954445;0.5109787221829638;0.0;0.0;0.5631428691776245;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3886369103673843;0.0;0.0;0.550439634846817;0.5553561630439061;0.46373187935097676;0.5196388162919143;0.0;0.0;0.3618343558057237;0.5351230796682611;0.49040626725176995;0.0;0.0;0.46083726755233356;0.0;0.0;0.33917311881630713;0.6112630999848438;0.0;0.0;0.0;0.0;0.46373187935097676;0.5782880851102379;0.5553561630439061;0.0;0.4845734010904131;0.5710216572461808;0.554673896146368;0.0;0.0;0.6287770800649886;0.0;0.46373187935097676;0.46373187935097676;0.0;0.46373187935097676;0.6353793267462857;0.33917311881630713;0.7092515897909446;0.4527134181842882;0.3618343558057237
