;GO:0045948;GO:0008380;GO:0033120;GO:0042376;GO:0000413;GO:0006886;GO:0043401;GO:0006367;GO:0048814;GO:0006103;GO:0000122;GO:0002576;GO:0043392;GO:0009749;GO:0045893;GO:0043153;GO:1990967;GO:0051604;GO:0016311;GO:0030522;GO:0034128;GO:0006351;GO:0032482;GO:0044267;GO:0006355;GO:1903830;GO:0048666;GO:0006397;GO:0006974;GO:0006357;GO:0071260;GO:0071286;GO:0045087;GO:0006508;GO:0035725;GO:0050965;GO:0010961;GO:0072659;GO:0010466;GO:0016567
GO:0045948;1.0;0.0;0.355797753021812;0.0;0.0;0.0;0.08257397736308218;0.0;0.07958660532105954;0.0;0.3059220082236728;0.0;0.058820766125881094;0.0;0.5239717732724757;0.06280927798489387;0.0;0.0;0.0;0.08480089578214776;0.06563337391235209;0.0;0.07847745434770959;0.0;0.36384225613796084;0.0;0.0;0.0;0.0;0.3487848154432859;0.0;0.0;0.0;0.0;0.0;0.0;0.049219150138438125;0.0;0.3656734787840023;0.0
GO:0008380;0.0;1.0;0.0;0.1074846767574574;0.16899835958893794;0.0;0.0327772481912427;0.3814775965807024;0.0;0.12605643835770333;0.0;0.03260138465707232;0.0;0.0;0.0;0.0;0.0;0.2025363039296542;0.16988409927139336;0.033928581899070956;0.0;0.5541597302614385;0.03070603020264959;0.30339519232010964;0.0;0.0;0.033137805628105706;0.8061529369705821;0.040951652740043386;0.0;0.030971149722753936;0.02425916567084211;0.0;0.2591722805229668;0.0;0.0;0.023891130340616955;0.0;0.0;0.23374263337566176
GO:0033120;0.355797753021812;0.0;1.0;0.0;0.0;0.0;0.08396898692085822;0.0;0.08088171151124221;0.0;0.32023488548824447;0.0;0.059741794151126314;0.0;0.5568878151343537;0.06372434209104297;0.0;0.0;0.0;0.08627283396069077;0.06651166323676952;0.0;0.07973642831759337;0.0;0.3823324669780652;0.0;0.0;0.0;0.0;0.36614306669313523;0.0;0.0;0.0;0.0;0.0;0.0;0.04986238723806892;0.0;0.20406114825597574;0.0
GO:0042376;0.0;0.1074846767574574;0.0;1.0;0.09149652142725091;0.0;0.021130292664295988;0.10118946386120785;0.0;0.4611620554103923;0.0;0.021057065768047428;0.0;0.0;0.0;0.0;0.0;0.09719300203372831;0.10557615313687786;0.021602877895512254;0.0;0.1262587287794563;0.020249741408514595;0.13027276648688407;0.0;0.0;0.021279553630266138;0.1090128760593973;0.024250953203823814;0.0;0.02036470446401519;0.017230094564966995;0.0;0.11273482202549702;0.0;0.0;0.017043617088630857;0.0;0.0;0.11242029004269587
GO:0000413;0.0;0.16899835958893794;0.0;0.09149652142725091;1.0;0.0;0.0262233918595463;0.15665204211512446;0.0;0.10461695447026191;0.0;0.0261107046258997;0.0;0.0;0.0;0.0;0.0;0.2749997169246642;0.13311871764529692;0.026955195166218297;0.0;0.25792664212850963;0.02488068606504665;0.43091048847505903;0.0;0.0;0.026453670162824353;0.17205393539323824;0.031207125672937396;0.0;0.02505446945582643;0.020472313539169208;0.0;0.33240905131856674;0.0;0.0;0.020209588569859743;0.0;0.0;0.3775507548079024
GO:0006886;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.35925293632699806;0.0;0.0;0.0;0.0;0.23699582291715696;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.28777781195372476;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3566624850075362;0.0;0.0;0.5796010576033616;0.0;0.0
GO:0043401;0.08257397736308218;0.0327772481912427;0.08396898692085822;0.021130292664295988;0.0262233918595463;0.0;1.0;0.03009905294760401;0.09124214487090873;0.024451897228887267;0.11736351301515976;0.029100829950552045;0.06706980776128296;0.0;0.1265799420544058;0.0709355625659836;0.0;0.0;0.031951148507616364;0.2599769253513027;0.07336181126739771;0.04163100984982002;0.2377971125060305;0.04371402527388013;0.14474643035155535;0.0;0.029527485895782062;0.03344788145518227;0.03557607750523256;0.1374347519824816;0.027794878658716306;0.022266125884216358;0.0;0.0;0.0;0.0;0.054865665575565416;0.0;0.10233375420992474;0.034973325526081525
GO:0006367;0.0;0.3814775965807024;0.0;0.10118946386120785;0.15665204211512446;0.0;0.03009905294760401;1.0;0.0;0.11748458943305154;0.0;0.02995068950001255;0.0;0.0;0.0;0.0;0.0;0.1850568840041878;0.1546750658617888;0.03106714624874754;0.0;0.5792852777323053;0.028343416164378136;0.26578860360326806;0.0;0.0;0.030402823005543634;0.38954589261435213;0.036854527875843056;0.0;0.028569157102375634;0.022760273954801125;0.0;0.23122484644816582;0.0;0.0;0.022436008978092444;0.0;0.0;0.21076738427529743
GO:0048814;0.07958660532105954;0.0;0.08088171151124221;0.0;0.0;0.0;0.09124214487090873;0.0;1.0;0.0;0.11141923126693044;0.0;0.06450772158304863;0.0;0.1196927999109735;0.06842822552793895;0.0;0.0;0.0;0.09396886219747556;0.07099425990721223;0.0;0.08626633126841947;0.0;0.1358103539950203;0.0;0.0;0.0;0.0;0.12935346101308925;0.0;0.0;0.0;0.0;0.0;0.0;0.05313915106351528;0.0;0.09778495191884197;0.0
GO:0006103;0.0;0.12605643835770333;0.0;0.4611620554103923;0.10461695447026191;0.0;0.024451897228887267;0.11748458943305154;0.0;1.0;0.0;0.02435389223572707;0.0;0.0;0.0;0.0;0.0;0.11316189759703317;0.12343943601148838;0.0250869704527156;0.0;0.1526823077745049;0.023280422135229694;0.1585915975781946;0.0;0.0;0.024651995280370476;0.12816353844989883;0.02873010622997902;0.0;0.023432501471490664;0.019376394895878803;0.0;0.1347987973828356;0.0;0.0;0.01914088350863035;0.0;0.0;0.13289929726145722
GO:0000122;0.3059220082236728;0.0;0.32023488548824447;0.0;0.0;0.0;0.11736351301515976;0.0;0.11141923126693044;0.0;1.0;0.0;0.08114053639789595;0.0;0.5598926828632573;0.08444539979383793;0.0;0.0;0.0;0.12191388537453632;0.24860217336025728;0.0;0.10925742439491319;0.0;0.6726368454127089;0.0;0.0;0.0;0.0;0.7648362735786254;0.0;0.0;0.0;0.0;0.0;0.0;0.0639353785766752;0.0;0.5517899609971981;0.0
GO:0002576;0.0;0.03260138465707232;0.0;0.021057065768047428;0.0261107046258997;0.35925293632699806;0.029100829950552045;0.02995068950001255;0.0;0.02435389223572707;0.0;1.0;0.0;0.0;0.0;0.0;0.20470391949654396;0.0;0.031784015396617606;0.030004810928228574;0.0;0.04134771691671265;0.027456531329293966;0.04340178019449649;0.0;0.24151534116687942;0.029384690287987982;0.03326476795064877;0.03536899280380001;0.0;0.027668313336631816;0.02218483009939226;0.0;0.0;0.2882349537079275;0.0;0.021876643500360515;0.270586368724013;0.0;0.03477317875676971
GO:0043392;0.058820766125881094;0.0;0.059741794151126314;0.0;0.0;0.0;0.06706980776128296;0.0;0.06450772158304863;0.0;0.08114053639789595;0.0;1.0;0.0;0.08683490729893781;0.05751811437376898;0.0;0.0;0.0;0.06898671924300248;0.05268188359348502;0.0;0.06355920532353637;0.0;0.09780477737839803;0.0;0.0;0.0;0.0;0.09342950002062388;0.0;0.0;0.0;0.0;0.0;0.0;0.0514117245135597;0.0;0.5523176390022242;0.0
GO:0009749;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.19898488881327211;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2858136634591818;0.0;0.22334720197683416;0.2981526955153642;0.27684527454937435;0.0;0.0;0.19262681598607787;0.0;0.0;0.0;0.0
GO:0045893;0.5239717732724757;0.0;0.5568878151343537;0.0;0.0;0.0;0.1265799420544058;0.0;0.1196927999109735;0.0;0.5598926828632573;0.0;0.08683490729893781;0.0;1.0;0.08979079469340791;0.0;0.0;0.0;0.13188921228484057;0.09069518168961575;0.0;0.1172016069414786;0.0;0.7696035911298745;0.0;0.0;0.0;0.0;0.7090465201993377;0.0;0.0;0.0;0.0;0.0;0.0;0.06741905182418362;0.0;0.318209922892975;0.0
