;GO:1904450;GO:0036498;GO:0090331;GO:1902430;GO:0015031;GO:0007212;GO:1902995;GO:0006886;GO:0045964;GO:0045723;GO:0001666;GO:0097720;GO:0045332;GO:0016052;GO:0070164;GO:0045055;GO:0051923;GO:0034504;GO:0034380;GO:0038027;GO:0060271;GO:1901076;GO:1900223;GO:0007026;GO:1902722;GO:0043312;GO:0042420;GO:0006853;GO:0009449;GO:0042985;GO:0030855;GO:0051258;GO:0070474;GO:0042073;GO:0033169;GO:0098989;GO:0018149;GO:0050965;GO:0033602;GO:0009450;GO:0006068;GO:0008202;GO:1901687;GO:0097151;GO:0030206;GO:0002576;GO:0045471;GO:0010875;GO:0010951;GO:0031652;GO:0032024;GO:1903351;GO:0006351;GO:0014053;GO:0006470;GO:0006355;GO:1901215;GO:0035094;GO:0007517;GO:0005976;GO:0070371;GO:0006906;GO:0006749;GO:0051351;GO:0070374;GO:0006909;GO:0050427;GO:0033344;GO:0033700
GO:1904450;1.0;0.25575576563597674;0.16107574738664956;0.2065261482889939;0.0;0.29292552004582956;0.5283085000411488;0.0;0.31206372299979196;0.2712685551524249;0.0;0.27738984081726614;0.12848833723571262;0.0;0.28708276962770424;0.0;0.0;0.0;0.0;0.29292284596727125;0.0;0.401330679904872;0.2935296536526697;0.20264359860416917;0.46418082108486997;0.0;0.0;0.0;0.1066208279840302;0.17851613671442773;0.0;0.0;0.2510628625224933;0.0;0.0;0.27737953549027;0.0;0.0;0.4307571146933445;0.10661605354072715;0.0;0.0;0.0;0.2700991450557492;0.0;0.0;0.0;0.37227140548135823;0.17770014793978797;0.2849527969301008;0.45690255273475755;0.0;0.0;0.48705705931211446;0.0;0.22411182637587432;0.27787142001098974;0.0;0.0;0.0;0.19014662982928532;0.0;0.0;0.1733974931168293;0.20614739740950017;0.0;0.0;0.0;0.0
GO:0036498;0.25575576563597674;1.0;0.1967617915412091;0.2691043819070141;0.0;0.6155778762439387;0.24014226586248452;0.0;0.3000110623378651;0.24976198526387328;0.36368975190693253;0.5681014599144467;0.2321059390243943;0.0;0.19675083942879074;0.23837706348360807;0.28357505805730077;0.0;0.20656846375696558;0.6155694911036339;0.21456314849213404;0.2626854302821786;0.3508807331582867;0.26254985074318354;0.2089465833874328;0.15785816189187646;0.14065287149054181;0.0;0.18254330540489197;0.2234256042548528;0.28355008179438784;0.2492202068801268;0.2801106168305678;0.1923140157393258;0.14683684359343374;0.5680707688682186;0.19343867575332124;0.2216002400983375;0.2554137760035423;0.18253304949587537;0.16287865781222055;0.0;0.19975347918642697;0.248384163898967;0.14382630258098433;0.2295742956922839;0.23899371861721908;0.25486506221244637;0.22214888328718932;0.3357844783476664;0.20491441953977196;0.23799305504011165;0.13753174483479577;0.21533994887256788;0.17675030514590376;0.29975242686763137;0.40439740447899947;0.28392242518240995;0.0;0.0;0.3407490527131881;0.2303864819996799;0.2067620901225304;0.2588453514724113;0.17780020534993177;0.0;0.12386196504597305;0.0;0.0
GO:0090331;0.16107574738664956;0.1967617915412091;1.0;0.23137080480327107;0.0;0.21804808765425943;0.14212699389172181;0.0;0.17757291697603048;0.1586774968497254;0.0;0.2093214199538481;0.13857192412434122;0.0;0.26988444688542906;0.0;0.0;0.0;0.0;0.21804660593706665;0.0;0.1637971149403689;0.21838266323758407;0.22785613869653829;0.1706425062684534;0.0;0.0;0.0;0.11910281227281676;0.20542175546206737;0.0;0.0;0.1939723689305241;0.0;0.0;0.2093155516583081;0.0;0.0;0.28697793816693645;0.11909840934686433;0.0;0.0;0.0;0.2542983429841613;0.0;0.0;0.0;0.14715820388925557;0.2046446651862152;0.25821269110163403;0.16840382606256354;0.0;0.0;0.16625822983646593;0.0;0.1774822769901203;0.2916596338832306;0.0;0.0;0.0;0.15548698378473266;0.0;0.0;0.12904515780742237;0.15142783092061143;0.0;0.0;0.0;0.0
GO:1902430;0.2065261482889939;0.2691043819070141;0.23137080480327107;1.0;0.0;0.31056990933171214;0.18766004243201156;0.0;0.4185125895499707;0.32180872660312765;0.0;0.293161889526559;0.13414035772853125;0.0;0.23135992194652574;0.0;0.0;0.0;0.0;0.3105669034059248;0.0;0.2110213823366374;0.2490934302894204;0.2935219920742461;0.1748883487629172;0.0;0.0;0.0;0.11048379677814457;0.6497702306435934;0.0;0.0;0.21121086751552368;0.0;0.0;0.29315037901086877;0.0;0.0;0.28707807905522376;0.11047867011107403;0.0;0.0;0.0;0.20169247526756665;0.0;0.0;0.0;0.19653193632427252;0.6466941446121653;0.24138920117225596;0.17205462439822083;0.0;0.0;0.21512396890853916;0.0;0.4643069734968768;0.40869377113282274;0.0;0.0;0.0;0.19742755287542127;0.0;0.0;0.1838516982831543;0.33127037782202257;0.0;0.0;0.0;0.0
GO:0015031;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.8671627787868394;0.0;0.0;0.0;0.0;0.35436044138101686;0.0;0.0;0.4203797908889912;0.0;0.4398756198477143;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2740509020701088;0.0;0.29846620909980426;0.0;0.0;0.0;0.0;0.0;0.336107007421372;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4041574108867592;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4597810697242801;0.0;0.5060017598991873;0.4672708925017953
GO:0007212;0.29292552004582956;0.6155778762439387;0.21804808765425943;0.31056990933171214;0.0;1.0;0.2821468499629815;0.0;0.3524766682048092;0.285089641395128;0.0;0.7102452244993053;0.27073735733153853;0.0;0.2180346377774776;0.29795967232783255;0.37208919791943607;0.0;0.24986667065030127;0.7860229905240506;0.2616597562773293;0.30205170574630946;0.44842513453614696;0.3018724590430667;0.23311278634347207;0.18195298791170586;0.15946861512418264;0.0;0.20561783803138037;0.25128030093488835;0.3720461974117501;0.3150955870574067;0.33897459334855345;0.229307654376669;0.16746479631925065;0.7101972543956477;0.23090841101757859;0.0;0.2924769894190819;0.20560482552871423;0.18865560323997654;0.0;0.23996381184159077;0.28329588124373517;0.16356023328328476;0.28433220766021844;0.0;0.3026908950383728;0.24966654552553494;0.4240601315057358;0.228105163760114;0.15926029667642724;0.1554684553038043;0.24851663014583242;0.20751954275825243;0.35211971702029404;0.5059008596537602;0.0;0.0;0.0;0.3872327085094387;0.28557909691590916;0.2501500305895049;0.3306402639741601;0.19500220043418046;0.0;0.138224110881296;0.0;0.0
GO:1902995;0.5283085000411488;0.24014226586248452;0.14212699389172181;0.18766004243201156;0.0;0.2821468499629815;1.0;0.0;0.25761111382613816;0.21966331335625824;0.0;0.26432926767060105;0.14691606276353636;0.0;0.21254860706149278;0.0;0.0;0.0;0.0;0.2821437500094962;0.0;0.36463272958603465;0.3534257307573478;0.18366471428310968;0.2977094473723564;0.0;0.0;0.0;0.11900751558822038;0.15928407033735822;0.0;0.0;0.29362503532606615;0.0;0.0;0.26431757499413866;0.0;0.0;0.31172376085669967;0.11900156739377148;0.0;0.0;0.0;0.21859685448272587;0.0;0.0;0.0;0.6391143915463989;0.15847275125984117;0.34106515322172887;0.29254495675072106;0.0;0.0;0.3716315507808341;0.0;0.2060141832580412;0.26487586405251723;0.0;0.0;0.0;0.17094135304097402;0.0;0.0;0.208729214607566;0.16199840859627754;0.0;0.0;0.0;0.0
GO:0006886;0.0;0.0;0.0;0.0;0.8671627787868394;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.3173575888946309;0.0;0.0;0.3606576324445218;0.0;0.4518409879124575;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.24734912573580228;0.0;0.4075726219432055;0.0;0.0;0.0;0.0;0.0;0.4743573202125681;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.34865134688406907;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3892777995900292;0.0;0.43378077451438;0.4050025173015393
GO:0045964;0.31206372299979196;0.3000110623378651;0.17757291697603048;0.4185125895499707;0.0;0.3524766682048092;0.25761111382613816;0.0;1.0;0.5185818466998194;0.0;0.33022210854945044;0.14689445414506994;0.0;0.17756399682573631;0.0;0.0;0.0;0.0;0.352472796344451;0.0;0.31945301063081755;0.3533517758068119;0.22946293224838568;0.26082834744245764;0.0;0.0;0.0;0.11899333646582329;0.35523698831086203;0.0;0.0;0.2935739880629307;0.0;0.0;0.33020750394182613;0.0;0.0;0.2239933893009043;0.11898738968864699;0.0;0.0;0.0;0.3041488581238977;0.0;0.0;0.0;0.2710537870192343;0.35342778822902543;0.34099628025366735;0.2563041422509721;0.0;0.0;0.18761504192618256;0.0;0.4594390867987208;0.330904828405364;0.0;0.0;0.0;0.21356891283701204;0.0;0.0;0.20868560039431272;0.4451380506049388;0.0;0.0;0.0;0.0
GO:0045723;0.2712685551524249;0.24976198526387328;0.1586774968497254;0.32180872660312765;0.0;0.285089641395128;0.21966331335625824;0.0;0.5185818466998194;1.0;0.0;0.27035310940438284;0.12592147200203146;0.0;0.1586703740338635;0.0;0.0;0.0;0.0;0.2850871084678336;0.0;0.2768349325278902;0.28566185409443146;0.19886235615887443;0.2317041130506093;0.0;0.0;0.0;0.104847296693407;0.3468127064005363;0.0;0.0;0.24528454093800459;0.0;0.0;0.2703433202805764;0.0;0.0;0.1947412497343592;0.10484267976184282;0.0;0.0;0.0;0.2652679065750111;0.0;0.0;0.0;0.2293627376958919;0.2776287491314766;0.2775322580036758;0.2281269217786547;0.0;0.0;0.16212716019112397;0.0;0.4335694677439047;0.2708105452817939;0.0;0.0;0.0;0.18681354740061554;0.0;0.0;0.16875512731499837;0.34498508448782716;0.0;0.0;0.0;0.0
