;GO:0006281;GO:0008065;GO:0007179;GO:0006366;GO:0042178;GO:0045892;GO:0048167;GO:0001947;GO:0070886;GO:0072423;GO:0030862;GO:0017148;GO:0060271;GO:0002092;GO:1901673;GO:0007064;GO:0050806;GO:0060317;GO:0006334;GO:0010629;GO:0001558;GO:0010628;GO:0000070;GO:0030252;GO:0035307;GO:0017015;GO:0032876;GO:0034613;GO:0039023;GO:1901687;GO:0045944;GO:0010718;GO:0045595;GO:0023041;GO:0071599;GO:0018916;GO:0006351;GO:0000209;GO:0030162;GO:0007169;GO:0006357;GO:0030516;GO:0048791;GO:0006749;GO:0043066;GO:0097711;GO:2000300;GO:0039008;GO:0070458
GO:0006281;1.0;0.02341696381729374;0.03248698180451989;0.42912357231201204;0.1228473205658173;0.0;0.0;0.0;0.0;0.32326985889220167;0.0;0.0;0.036204802271115076;0.0;0.0;0.02659786442860969;0.0;0.028529524839569664;0.03346127460885941;0.0;0.0;0.0;0.02901943143648865;0.02515530584249927;0.0;0.0;0.0;0.0;0.0;0.14373703146053493;0.0;0.0;0.0;0.024820095486495403;0.0;0.21978900700902806;0.5295660249326735;0.2645263371536837;0.0;0.04017251622614216;0.0;0.0;0.02892660935841817;0.2697186554034011;0.0;0.03260536341657157;0.0;0.0;0.02341696381729374
GO:0008065;0.02341696381729374;1.0;0.02060597484708763;0.023987756031928202;0.01788048761237731;0.0;0.0;0.17694555439813564;0.0;0.017230094564966995;0.0;0.0;0.02204162861343359;0.0;0.0;0.018068461080748513;0.0;0.24384486996740792;0.020993696203519773;0.0;0.0;0.0;0.019154254597201287;0.017390972284480048;0.0;0.0;0.0;0.0;0.13801537215742435;0.018687140325755247;0.0;0.0;0.0;0.017230094564966995;0.19715623738098403;0.016820808509603918;0.02691987698256535;0.022219098842393394;0.0;0.02345177617687348;0.0;0.0;0.01911377124220526;0.019945577875110712;0.0;0.020653538310306335;0.0;0.13801537215742435;0.016542012253947143
GO:0007179;0.03248698180451989;0.02060597484708763;1.0;0.033596042514753545;0.0227250195291557;0.11773352225975725;0.09461227621218267;0.0;0.07623968695999611;0.021684700450242282;0.06217793518997288;0.09115962003891534;0.029898785532724986;0.0788473922039419;0.0773235632694168;0.023029518021079505;0.09242940152457516;0.024463672647002593;0.028002715479025372;0.10816297510023315;0.10329767804582882;0.10963646671427246;0.02482301300934268;0.05482678533594993;0.08257784652411183;0.08997727404648702;0.07059204865979604;0.0;0.0;0.02404411894148746;0.11722195269614653;0.08309628171158856;0.12279401815855034;0.18695945887010063;0.0;0.021040383582903943;0.03964360639820183;0.03022627212492945;0.09853416868332075;0.7377783653396909;0.13078583584622902;0.08901928198254971;0.024755063956920023;0.02616848655465213;0.11358581516361352;0.027400766015055443;0.07911985273505;0.0;0.02060597484708763
GO:0006366;0.42912357231201204;0.023987756031928202;0.033596042514753545;1.0;0.1262063704778389;0.0;0.0;0.0;0.0;0.02546227809197861;0.0;0.0;0.0375876328970168;0.0;0.0;0.027336705055139646;0.0;0.029381296784340833;0.03463906069570418;0.0;0.0;0.0;0.02990115970505792;0.02581518229491977;0.0;0.0;0.0;0.0;0.0;0.28321268333064176;0.0;0.0;0.0;0.02546227809197861;0.0;0.22527833412042939;0.7529976038822191;0.27476935173877765;0.0;0.04188220231503106;0.0;0.0;0.029802620887177462;0.278454874550992;0.0;0.03372266061502885;0.0;0.0;0.023987756031928202
GO:0042178;0.1228473205658173;0.01788048761237731;0.0227250195291557;0.1262063704778389;1.0;0.0;0.0;0.0;0.0;0.01868714032575525;0.0;0.0;0.024483731597494816;0.0;0.0;0.01967736774486301;0.0;0.020714994840789015;0.023197499151391014;0.0;0.0;0.0;0.02097206752162638;0.01887652695603444;0.0;0.0;0.0;0.0;0.0;0.0957421558077796;0.0;0.0;0.0;0.01868714032575525;0.0;0.08539233360926092;0.14377304679139474;0.11586074281859705;0.0;0.026236085359516652;0.0;0.0;0.020923545221878833;0.10282934678504407;0.0;0.022782882239127215;0.0;0.0;0.01788048761237731
GO:0045892;0.0;0.0;0.11773352225975725;0.0;0.0;1.0;0.12790794206850553;0.0;0.09647669025497384;0.0;0.0750100577023631;0.6616976034589446;0.0;0.22281909445540687;0.09821891545258864;0.0;0.1239504787955762;0.0;0.0;0.9335716346175728;0.1443120225178508;0.5380254238274514;0.0;0.0682357903141505;0.24368908892302407;0.11958021541215302;0.47641925166386784;0.0;0.0;0.0;0.5730594812118888;0.10772492533951027;0.185446559838264;0.08760732017402162;0.0;0.0;0.0;0.0;0.3690342309290224;0.14959356579439628;0.6766411420672525;0.11789406517755223;0.0;0.0;0.4783581557709454;0.0;0.10113552201216056;0.0;0.0
GO:0048167;0.0;0.0;0.09461227621218267;0.0;0.0;0.12790794206850553;1.0;0.0;0.28327773973215237;0.0;0.06490454773410878;0.09714269815004799;0.0;0.08328410656874215;0.0815858090379858;0.0;0.8261447416328788;0.0;0.0;0.1179584864779982;0.11104787647769565;0.11971311398142094;0.0;0.2622211655271895;0.08745730525606663;0.33762528290975213;0.07412751948649361;0.0;0.0;0.0;0.12730435990399377;0.08803903422037584;0.13390314688058974;0.07412751948649361;0.0;0.0;0.0;0.0;0.10659827673693349;0.11414906399958509;0.1434626961730845;0.09471592627589967;0.0;0.0;0.12302723634440657;0.0;0.7004640433365863;0.0;0.0
GO:0001947;0.0;0.17694555439813564;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2088190867870318;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6676135493451576;0.0;0.0;0.0;0.0;0.0;0.18345568039501642;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6676135493451576;0.0
GO:0070886;0.0;0.0;0.07623968695999611;0.0;0.0;0.09647669025497384;0.28327773973215237;0.0;1.0;0.0;0.1486347839975625;0.07787428305479532;0.0;0.1833588756877058;0.06754881462199747;0.0;0.39723149433960026;0.0;0.0;0.08793608741594502;0.08656359722547347;0.2433141379085703;0.0;0.04836242311418777;0.1908728122823684;0.28787433544576785;0.06235447317662384;0.0;0.0;0.0;0.25654371478090027;0.19190986630116244;0.09984863345772726;0.06235447317662384;0.0;0.0;0.0;0.0;0.081464062553661;0.08843648688848897;0.10506929563083692;0.07630697601344522;0.0;0.0;0.09367368542181549;0.0;0.24287445531487023;0.0;0.0
GO:0072423;0.32326985889220167;0.017230094564966995;0.021684700450242282;0.02546227809197861;0.01868714032575525;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.023280422135229694;0.0;0.0;0.01889255409576281;0.0;0.019847054713726234;0.022114502266200285;0.0;0.0;0.0;0.020082913816025467;0.01815312070227472;0.0;0.0;0.0;0.0;0.0;0.01957001359577429;0.0;0.0;0.0;0.01797790430867298;0.0;0.017532779044369076;0.028790962553483092;0.023478491095351297;0.0;0.02485920819350288;0.0;0.0;0.020038414336241286;0.02095457486752342;0.0;0.02173738053617767;0.0;0.0;0.017230094564966995
