;GO:1902476;GO:0051092;GO:1903507;GO:0042535;GO:0000398;GO:0030327;GO:0030328;GO:0048662;GO:0034622;GO:0050810;GO:0006351;GO:0051085;GO:0006355;GO:0002296;GO:0006974;GO:0042742;GO:0000389;GO:0000245;GO:0006357;GO:0051016;GO:2000406;GO:0030238;GO:0042130;GO:0050900;GO:0030575;GO:0033327;GO:0051017
GO:1902476;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0051092;0.0;1.0;0.782608695652174;0.36363636363636365;0.0;0.0;0.0;0.3;0.0;0.2857142857142857;0.0;0.0;0.8695652173913043;0.0;0.0;0.0;0.0;0.0;0.8333333333333334;0.2222222222222222;0.3333333333333333;0.0;0.2608695652173913;0.0;0.0;0.0;0.0
GO:1903507;0.0;0.782608695652174;1.0;0.631578947368421;0.0;0.0;0.0;0.5882352941176471;0.0;0.5555555555555556;0.0;0.0;0.9;0.0;0.0;0.0;0.0;0.0;0.8571428571428571;0.4166666666666667;0.2857142857142857;0.0;0.5;0.0;0.0;0.0;0.0
GO:0042535;0.0;0.36363636363636365;0.631578947368421;1.0;0.0;0.0;0.0;0.5;0.0;0.5882352941176471;0.0;0.0;0.631578947368421;0.0;0.0;0.0;0.0;0.0;0.6;0.34782608695652173;0.4;0.0;0.42105263157894735;0.0;0.0;0.0;0.0
GO:0000398;0.0;0.0;0.0;0.0;1.0;0.09523809523809523;0.2727272727272727;0.0;0.1111111111111111;0.0;0.09090909090909091;0.1111111111111111;0.0;0.09523809523809523;0.11764705882352941;0.0;0.09523809523809523;0.1;0.0;0.07692307692307693;0.0;0.0;0.0;0.1111111111111111;0.1111111111111111;0.11764705882352941;0.10526315789473684
GO:0030327;0.0;0.0;0.0;0.0;0.09523809523809523;1.0;0.42105263157894735;0.0;0.13333333333333333;0.0;0.10526315789473684;0.26666666666666666;0.0;0.1111111111111111;0.2857142857142857;0.0;0.1111111111111111;0.11764705882352941;0.0;0.17391304347826086;0.0;0.0;0.0;0.13333333333333333;0.26666666666666666;0.14285714285714285;0.125
GO:0030328;0.0;0.0;0.0;0.0;0.2727272727272727;0.42105263157894735;1.0;0.0;0.125;0.0;0.3;0.25;0.0;0.21052631578947367;0.26666666666666666;0.0;0.21052631578947367;0.2222222222222222;0.0;0.16666666666666666;0.0;0.0;0.0;0.125;0.25;0.13333333333333333;0.23529411764705882
GO:0048662;0.0;0.3;0.5882352941176471;0.5;0.0;0.0;0.0;1.0;0.0;0.4;0.0;0.0;0.47058823529411764;0.0;0.0;0.0;0.0;0.0;0.4444444444444444;0.47619047619047616;0.3333333333333333;0.0;0.7058823529411765;0.0;0.0;0.0;0.0
GO:0034622;0.0;0.0;0.0;0.0;0.1111111111111111;0.13333333333333333;0.125;0.0;1.0;0.0;0.125;0.16666666666666666;0.0;0.13333333333333333;0.18181818181818182;0.0;0.8;0.14285714285714285;0.0;0.2;0.0;0.0;0.0;0.16666666666666666;0.3333333333333333;0.18181818181818182;0.15384615384615385
GO:0050810;0.0;0.2857142857142857;0.5555555555555556;0.5882352941176471;0.0;0.0;0.0;0.4;0.0;1.0;0.0;0.0;0.5555555555555556;0.0;0.0;0.0;0.0;0.0;0.5263157894736842;0.2727272727272727;0.3157894736842105;0.0;0.3333333333333333;0.0;0.0;0.0;0.0
