;GO:1902476;GO:0051092;GO:1903507;GO:0042535;GO:0000398;GO:0030327;GO:0030328;GO:0048662;GO:0034622;GO:0050810;GO:0006351;GO:0051085;GO:0006355;GO:0002296;GO:0006974;GO:0042742;GO:0000389;GO:0000245;GO:0006357;GO:0051016;GO:2000406;GO:0030238;GO:0042130;GO:0050900;GO:0030575;GO:0033327;GO:0051017
GO:1902476;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0051092;0.0;1.0;0.5833333333333334;0.3;0.0;0.0;0.0;0.2222222222222222;0.0;0.2222222222222222;0.0;0.0;0.6666666666666666;0.0;0.0;0.0;0.0;0.0;0.6;0.16666666666666666;0.3333333333333333;0.0;0.18181818181818182;0.0;0.0;0.0;0.0
GO:1903507;0.0;0.5833333333333334;1.0;0.45454545454545453;0.0;0.0;0.0;0.4;0.0;0.4;0.0;0.0;0.7777777777777778;0.0;0.0;0.0;0.0;0.0;0.7;0.3076923076923077;0.15384615384615385;0.0;0.3076923076923077;0.0;0.0;0.0;0.0
GO:0042535;0.0;0.3;0.45454545454545453;1.0;0.0;0.0;0.0;0.2727272727272727;0.0;0.4;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.45454545454545453;0.21428571428571427;0.25;0.0;0.21428571428571427;0.0;0.0;0.0;0.0
GO:0000398;0.0;0.0;0.0;0.0;1.0;0.0;0.2857142857142857;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0030327;0.0;0.0;0.0;0.0;0.0;1.0;0.42857142857142855;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.1;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.0
GO:0030328;0.0;0.0;0.0;0.0;0.2857142857142857;0.42857142857142855;1.0;0.0;0.0;0.0;0.2857142857142857;0.1111111111111111;0.0;0.14285714285714285;0.1111111111111111;0.0;0.14285714285714285;0.14285714285714285;0.0;0.07142857142857142;0.0;0.0;0.0;0.0;0.1;0.0;0.14285714285714285
GO:0048662;0.0;0.2222222222222222;0.4;0.2727272727272727;0.0;0.0;0.0;1.0;0.0;0.2;0.0;0.0;0.3;0.0;0.0;0.0;0.0;0.0;0.2727272727272727;0.36363636363636365;0.18181818181818182;0.0;0.5;0.0;0.0;0.0;0.0
GO:0034622;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.1;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.0
GO:0050810;0.0;0.2222222222222222;0.4;0.4;0.0;0.0;0.0;0.2;0.0;1.0;0.0;0.0;0.4444444444444444;0.0;0.0;0.0;0.0;0.0;0.4;0.15384615384615385;0.18181818181818182;0.0;0.16666666666666666;0.0;0.0;0.0;0.0
GO:0006351;0.0;0.0;0.0;0.0;0.0;0.0;0.2857142857142857;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0051085;0.0;0.0;0.0;0.0;0.0;0.2;0.1111111111111111;0.0;0.0;0.0;0.0;1.0;0.0;0.2;0.14285714285714285;0.0;0.2;0.2;0.0;0.08333333333333333;0.0;0.0;0.0;0.0;0.125;0.0;0.2
GO:0006355;0.0;0.6666666666666666;0.7777777777777778;0.5;0.0;0.0;0.0;0.3;0.0;0.4444444444444444;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.8571428571428571;0.23076923076923078;0.18181818181818182;0.0;0.23076923076923078;0.0;0.0;0.0;0.0
GO:0002296;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.2;0.0;1.0;0.2;0.0;0.0;0.0;0.0;0.1;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.0
GO:0006974;0.0;0.0;0.0;0.0;0.0;0.2;0.1111111111111111;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.2;1.0;0.2857142857142857;0.2;0.2;0.0;0.08333333333333333;0.0;0.0;0.0;0.0;0.125;0.0;0.2
GO:0042742;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2857142857142857;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0000389;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.5;0.0;0.0;0.2;0.0;0.0;0.2;0.0;1.0;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.3333333333333333;0.0;0.0
GO:0000245;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.2;0.0;0.0;1.0;0.0;0.1;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.0
GO:0006357;0.0;0.6;0.7;0.45454545454545453;0.0;0.0;0.0;0.2727272727272727;0.0;0.4;0.0;0.0;0.8571428571428571;0.0;0.0;0.0;0.0;0.0;1.0;0.21428571428571427;0.16666666666666666;0.0;0.21428571428571427;0.0;0.0;0.0;0.0
GO:0051016;0.0;0.16666666666666666;0.3076923076923077;0.21428571428571427;0.0;0.1;0.07142857142857142;0.36363636363636365;0.1;0.15384615384615385;0.0;0.08333333333333333;0.23076923076923078;0.1;0.08333333333333333;0.0;0.2;0.1;0.21428571428571427;1.0;0.14285714285714285;0.0;0.2857142857142857;0.0;0.16666666666666666;0.0;0.2
GO:2000406;0.0;0.3333333333333333;0.15384615384615385;0.25;0.0;0.0;0.0;0.18181818181818182;0.0;0.18181818181818182;0.0;0.0;0.18181818181818182;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.14285714285714285;1.0;0.0;0.25;0.0;0.0;0.0;0.0
GO:0030238;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
GO:0042130;0.0;0.18181818181818182;0.3076923076923077;0.21428571428571427;0.0;0.0;0.0;0.5;0.0;0.16666666666666666;0.0;0.0;0.23076923076923078;0.0;0.0;0.0;0.0;0.0;0.21428571428571427;0.2857142857142857;0.25;0.0;1.0;0.0;0.0;0.0;0.0
GO:0050900;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
GO:0030575;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.1;0.0;0.16666666666666666;0.0;0.0;0.125;0.0;0.16666666666666666;0.125;0.0;0.3333333333333333;0.16666666666666666;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;1.0;0.0;0.3333333333333333
GO:0033327;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
GO:0051017;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.3333333333333333;0.0;1.0
