;GO:0007050;GO:0045926;GO:0018108;GO:0036499;GO:0003091;GO:0043981;GO:0006366;GO:0045721;GO:0046777;GO:0043983;GO:0043982;GO:0032526;GO:0045892;GO:0071377;GO:0045893;GO:0045055;GO:0010259;GO:1905064;GO:0033173;GO:0006171;GO:0016558;GO:0007223;GO:0007189;GO:0042149;GO:0045931;GO:0071361;GO:0043161;GO:0031427;GO:0001954;GO:0043484;GO:2000649;GO:0016561;GO:0031069;GO:0032870;GO:0030178;GO:0032354;GO:0007193;GO:0006182;GO:0043966;GO:0006260;GO:0008285;GO:0006420;GO:0006541;GO:0043200;GO:0038095;GO:0045944;GO:0009615;GO:0061436;GO:0006978;GO:0070981;GO:0032543;GO:0006351;GO:0002070;GO:0000209;GO:0007517;GO:0030513;GO:0045684;GO:0043066;GO:0043065
GO:0007050;1.0;0.6666666666666666;0.23529411764705882;0.14285714285714285;0.13333333333333333;0.09523809523809523;0.1111111111111111;0.5882352941176471;0.25;0.09523809523809523;0.09523809523809523;0.0;0.5555555555555556;0.125;0.1111111111111111;0.26666666666666666;0.0;0.625;0.11764705882352941;0.10526315789473684;0.10526315789473684;0.11764705882352941;0.11764705882352941;0.26666666666666666;0.7142857142857143;0.2857142857142857;0.11764705882352941;0.0;0.14285714285714285;0.13333333333333333;0.11764705882352941;0.0;0.0;0.15384615384615385;0.6666666666666666;0.0;0.125;0.10526315789473684;0.1;0.26666666666666666;0.7692307692307693;0.10526315789473684;0.11764705882352941;0.0;0.125;0.10526315789473684;0.0;0.125;0.125;0.21052631578947367;0.125;0.11764705882352941;0.16666666666666666;0.2222222222222222;0.0;0.1;0.15384615384615385;0.6666666666666666;0.5333333333333333
GO:0045926;0.6666666666666666;1.0;0.0;0.16666666666666666;0.3076923076923077;0.0;0.0;0.5333333333333333;0.0;0.0;0.0;0.0;0.5;0.0;0.375;0.0;0.0;0.5714285714285714;0.13333333333333333;0.0;0.0;0.13333333333333333;0.13333333333333333;0.0;0.5;0.0;0.0;0.0;0.5;0.46153846153846156;0.26666666666666666;0.0;0.0;0.0;0.6153846153846154;0.0;0.14285714285714285;0.0;0.0;0.0;0.7272727272727273;0.0;0.0;0.0;0.14285714285714285;0.35294117647058826;0.0;0.14285714285714285;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.5454545454545454;0.6153846153846154;0.46153846153846156
GO:0018108;0.23529411764705882;0.0;1.0;0.23529411764705882;0.0;0.5833333333333334;0.38095238095238093;0.0;0.8421052631578947;0.5833333333333334;0.5833333333333334;0.0;0.0;0.21052631578947367;0.0;0.2222222222222222;0.0;0.0;0.2;0.45454545454545453;0.09090909090909091;0.2;0.2;0.2222222222222222;0.0;0.23529411764705882;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.21052631578947367;0.45454545454545453;0.6086956521739131;0.5555555555555556;0.0;0.36363636363636365;0.4;0.0;0.21052631578947367;0.0;0.0;0.0;0.21052631578947367;0.2727272727272727;0.631578947368421;0.4;0.26666666666666666;0.6666666666666666;0.0;0.0;0.0;0.0;0.0
GO:0036499;0.14285714285714285;0.16666666666666666;0.23529411764705882;1.0;0.13333333333333333;0.09523809523809523;0.1111111111111111;0.11764705882352941;0.25;0.09523809523809523;0.09523809523809523;0.3076923076923077;0.1111111111111111;0.375;0.1111111111111111;0.26666666666666666;0.0;0.125;0.11764705882352941;0.10526315789473684;0.10526315789473684;0.11764705882352941;0.11764705882352941;0.5333333333333333;0.5714285714285714;0.42857142857142855;0.11764705882352941;0.3076923076923077;0.14285714285714285;0.13333333333333333;0.11764705882352941;0.0;0.0;0.46153846153846156;0.13333333333333333;0.2857142857142857;0.125;0.10526315789473684;0.1;0.26666666666666666;0.6153846153846154;0.10526315789473684;0.11764705882352941;0.3076923076923077;0.125;0.10526315789473684;0.15384615384615385;0.125;0.125;0.21052631578947367;0.125;0.11764705882352941;0.16666666666666666;0.2222222222222222;0.0;0.1;0.15384615384615385;0.5333333333333333;0.5333333333333333
GO:0003091;0.13333333333333333;0.3076923076923077;0.0;0.13333333333333333;1.0;0.0;0.0;0.2222222222222222;0.0;0.0;0.0;0.0;0.21052631578947367;0.0;0.21052631578947367;0.0;0.3076923076923077;0.23529411764705882;0.1111111111111111;0.0;0.0;0.1111111111111111;0.1111111111111111;0.0;0.26666666666666666;0.0;0.0;0.0;0.26666666666666666;0.25;0.2222222222222222;0.0;0.3076923076923077;0.0;0.25;0.0;0.11764705882352941;0.0;0.0;0.0;0.2857142857142857;0.0;0.0;0.0;0.11764705882352941;0.2;0.0;0.8235294117647058;0.11764705882352941;0.0;0.0;0.0;0.0;0.0;0.0;0.19047619047619047;0.2857142857142857;0.25;0.25
GO:0043981;0.09523809523809523;0.0;0.5833333333333334;0.09523809523809523;0.0;1.0;0.08;0.0;0.6086956521739131;0.9285714285714286;0.9285714285714286;0.0;0.0;0.08695652173913043;0.0;0.18181818181818182;0.0;0.0;0.08333333333333333;0.07692307692307693;0.07692307692307693;0.08333333333333333;0.08333333333333333;0.18181818181818182;0.0;0.19047619047619047;0.08333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.1;0.0;0.0;0.08695652173913043;0.07692307692307693;0.07407407407407407;0.18181818181818182;0.0;0.07692307692307693;0.08333333333333333;0.0;0.08695652173913043;0.0;0.0;0.0;0.08695652173913043;0.15384615384615385;0.08695652173913043;0.08333333333333333;0.10526315789473684;0.56;0.0;0.0;0.0;0.0;0.0
GO:0006366;0.1111111111111111;0.0;0.38095238095238093;0.1111111111111111;0.0;0.08;1.0;0.0;0.4;0.08;0.08;0.0;0.0;0.1;0.0;0.10526315789473684;0.0;0.0;0.09523809523809523;0.2608695652173913;0.08695652173913043;0.09523809523809523;0.09523809523809523;0.10526315789473684;0.0;0.1111111111111111;0.38095238095238093;0.0;0.0;0.0;0.0;0.0;0.0;0.11764705882352941;0.0;0.0;0.1;0.2608695652173913;0.08333333333333333;0.631578947368421;0.0;0.34782608695652173;0.19047619047619047;0.0;0.1;0.0;0.0;0.0;0.1;0.17391304347826086;0.4;0.9523809523809523;0.125;0.36363636363636365;0.0;0.0;0.0;0.0;0.0
GO:0045721;0.5882352941176471;0.5333333333333333;0.0;0.11764705882352941;0.2222222222222222;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.6666666666666666;0.0;0.5714285714285714;0.0;0.0;0.42105263157894735;0.1;0.0;0.0;0.1;0.1;0.0;0.47058823529411764;0.0;0.0;0.0;0.35294117647058826;0.4444444444444444;0.2;0.0;0.0;0.0;0.4444444444444444;0.0;0.10526315789473684;0.0;0.0;0.0;0.625;0.0;0.0;0.0;0.10526315789473684;0.5454545454545454;0.0;0.10526315789473684;0.10526315789473684;0.0;0.0;0.0;0.0;0.0;0.0;0.5217391304347826;0.375;0.5555555555555556;0.4444444444444444
GO:0046777;0.25;0.0;0.8421052631578947;0.25;0.0;0.6086956521739131;0.4;0.0;1.0;0.6086956521739131;0.6086956521739131;0.0;0.0;0.2222222222222222;0.0;0.23529411764705882;0.0;0.0;0.21052631578947367;0.47619047619047616;0.09523809523809523;0.21052631578947367;0.21052631578947367;0.23529411764705882;0.0;0.25;0.5263157894736842;0.0;0.0;0.0;0.0;0.0;0.0;0.26666666666666666;0.0;0.0;0.2222222222222222;0.47619047619047616;0.6363636363636364;0.5882352941176471;0.0;0.38095238095238093;0.42105263157894735;0.0;0.2222222222222222;0.0;0.0;0.0;0.2222222222222222;0.2857142857142857;0.6666666666666666;0.42105263157894735;0.2857142857142857;0.7;0.0;0.0;0.0;0.0;0.0
GO:0043983;0.09523809523809523;0.0;0.5833333333333334;0.09523809523809523;0.0;0.9285714285714286;0.08;0.0;0.6086956521739131;1.0;0.9285714285714286;0.0;0.0;0.08695652173913043;0.0;0.18181818181818182;0.0;0.0;0.08333333333333333;0.07692307692307693;0.07692307692307693;0.08333333333333333;0.08333333333333333;0.18181818181818182;0.0;0.19047619047619047;0.08333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.1;0.0;0.0;0.08695652173913043;0.07692307692307693;0.07407407407407407;0.18181818181818182;0.0;0.07692307692307693;0.08333333333333333;0.0;0.08695652173913043;0.0;0.0;0.0;0.08695652173913043;0.15384615384615385;0.08695652173913043;0.08333333333333333;0.10526315789473684;0.56;0.0;0.0;0.0;0.0;0.0
