;GO:0046458;GO:0006364;GO:0001570;GO:0006369;GO:0045766;GO:0000398;GO:0000122;GO:0045892;GO:0000480;GO:0045893;GO:0006914;GO:0070267;GO:0030148;GO:2000773;GO:0006351;GO:0000209;GO:0000447;GO:0001561;GO:0006357;GO:0051013;GO:0098789;GO:0010507;GO:0031124;GO:0031122;GO:0001938;GO:0033306
GO:0046458;1.0;0.6830074998557688;0.5356143810225276;0.6830074998557688;0.0;0.6830074998557688;0.0;0.0;0.6830074998557688;0.0;0.6000000000000001;0.6000000000000001;0.5356143810225276;0.0;0.6830074998557688;0.3660149997115376;0.6830074998557688;0.48300749985576874;0.0;0.48300749985576874;0.6830074998557688;0.0;0.6830074998557688;0.48300749985576874;0.0;0.6000000000000001
GO:0006364;0.6830074998557688;1.0;0.8;0.8;0.0;0.8;0.0;0.0;0.8;0.0;0.6000000000000001;0.8;0.6000000000000001;0.0;0.8;0.4;0.8;0.48300749985576874;0.0;0.5356143810225276;0.8;0.0;0.8;0.5356143810225276;0.0;0.6000000000000001
GO:0001570;0.5356143810225276;0.8;1.0;0.8;0.0;0.8;0.0;0.0;0.8;0.0;0.6000000000000001;0.8;0.48300749985576874;0.0;0.8;0.3356143810225276;0.8;0.43852901558847923;0.0;0.5356143810225276;0.8;0.0;0.8;0.5356143810225276;0.0;0.5356143810225276
GO:0006369;0.6830074998557688;0.8;0.8;1.0;0.0;0.8;0.0;0.0;0.8;0.0;0.6830074998557688;0.8;0.6830074998557688;0.0;0.8;0.4;0.8;0.5356143810225276;0.0;0.6000000000000001;0.8;0.0;0.8;0.6000000000000001;0.0;0.6830074998557688
GO:0045766;0.0;0.0;0.0;0.0;1.0;0.0;0.3356143810225276;0.3660149997115376;0.0;0.43852901558847923;0.0;0.43852901558847923;0.0;0.48300749985576874;0.0;0.0;0.0;0.0;0.3660149997115376;0.0;0.0;0.3660149997115376;0.0;0.0;0.43852901558847923;0.0
GO:0000398;0.6830074998557688;0.8;0.8;0.8;0.0;1.0;0.0;0.0;0.8;0.0;0.6000000000000001;0.8;0.6000000000000001;0.0;0.8;0.4;0.8;0.48300749985576874;0.0;0.5356143810225276;0.8;0.0;0.8;0.5356143810225276;0.0;0.6000000000000001
GO:0000122;0.0;0.0;0.0;0.0;0.3356143810225276;0.0;1.0;1.0;0.0;0.6830074998557688;0.0;0.3660149997115376;0.0;0.43852901558847923;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.48300749985576874;0.0;0.0;0.3356143810225276;0.0
GO:0045892;0.0;0.0;0.0;0.0;0.3660149997115376;0.0;1.0;1.0;0.0;0.8;0.0;0.4;0.0;0.48300749985576874;0.0;0.0;0.0;0.0;0.8;0.0;0.0;0.5356143810225276;0.0;0.0;0.3660149997115376;0.0
GO:0000480;0.6830074998557688;0.8;0.8;0.8;0.0;0.8;0.0;0.0;1.0;0.0;0.6830074998557688;0.8;0.6000000000000001;0.0;0.8;0.4;0.8;0.5356143810225276;0.0;0.6000000000000001;0.8;0.0;0.8;0.6000000000000001;0.0;0.6830074998557688
GO:0045893;0.0;0.0;0.0;0.0;0.43852901558847923;0.0;0.6830074998557688;0.8;0.0;1.0;0.0;0.4;0.0;0.4;0.0;0.0;0.0;0.0;0.8;0.0;0.0;0.43852901558847923;0.0;0.0;0.4;0.0
GO:0006914;0.6000000000000001;0.6000000000000001;0.6000000000000001;0.6830074998557688;0.0;0.6000000000000001;0.0;0.0;0.6830074998557688;0.0;1.0;0.6830074998557688;0.5356143810225276;0.0;0.6000000000000001;0.3660149997115376;0.6830074998557688;0.6000000000000001;0.0;0.5356143810225276;0.6830074998557688;0.0;0.6000000000000001;0.5356143810225276;0.0;0.6000000000000001
GO:0070267;0.6000000000000001;0.8;0.8;0.8;0.43852901558847923;0.8;0.3660149997115376;0.4;0.8;0.4;0.6830074998557688;1.0;0.5356143810225276;0.48300749985576874;0.8;0.3660149997115376;0.8;0.48300749985576874;0.4;0.6000000000000001;0.8;0.4;0.8;0.6000000000000001;0.4;0.6000000000000001
