;GO:1990809;GO:0006284;GO:0006283;GO:0032570;GO:0046697;GO:0008625;GO:0032968;GO:0045893;GO:2000078;GO:0034504;GO:0050679;GO:0033133;GO:0006296;GO:0006293;GO:0006294;GO:0008630;GO:0006452;GO:0042542;GO:0006611;GO:1903779;GO:0051497;GO:0001711;GO:0001836;GO:0071247;GO:0035264;GO:0000715;GO:0008284;GO:0043488;GO:0097192;GO:0046638;GO:0000398;GO:0006665;GO:0097067;GO:0010918;GO:0019221;GO:0071396;GO:0051384;GO:0070588;GO:0034201;GO:0030521;GO:0035774;GO:0071316;GO:0033077;GO:1901255;GO:1902220;GO:0090200;GO:0000724;GO:0000289;GO:0060139;GO:0019050;GO:0071260;GO:0071787;GO:0031440;GO:0051438;GO:0022604;GO:0006366;GO:0046931;GO:0006369;GO:0006007;GO:0006367;GO:0006368;GO:0002038;GO:0009749;GO:0097202;GO:0043154;GO:0016055;GO:0006919;GO:0033574;GO:0071456;GO:0016575;GO:0051603;GO:0017148;GO:0060154;GO:0080182;GO:0034260;GO:0070914;GO:1900740;GO:0043312;GO:0006378;GO:0045579;GO:0030855;GO:0006406;GO:0046031;GO:0010508;GO:0043161;GO:0007219;GO:0045582;GO:0051571;GO:0046034;GO:0032355;GO:0030851;GO:0070911;GO:0016567;GO:0008360;GO:0046718;GO:0043967;GO:0045905;GO:0043968;GO:0043200;GO:0006342;GO:0045901;GO:0000122;GO:0045471;GO:0006613;GO:0001844;GO:1903077;GO:0070936;GO:0006351;GO:0006355;GO:1901216;GO:0006513;GO:0006357;GO:0006874;GO:0006909
GO:1990809;1.0;0.27784823988918267;0.24138851853875337;0.0;0.0;0.4024070004238523;0.0;0.0;0.0;0.0;0.0;0.0;0.3855773354389354;0.0;0.4772016191318648;0.4024070004238523;0.3855773354389354;0.0;0.0;0.0;0.0;0.3855773354389354;0.531909416035425;0.28367981189368235;0.0;0.5487390810203419;0.0;0.0;0.3855773354389354;0.0;0.42908138832464554;0.38184539672594225;0.28769296280505896;0.0;0.48458024718554527;0.38388694105192184;0.0;0.0;0.0;0.4122517233397286;0.0;0.28367981189368235;0.41923666540876925;0.3855773354389354;0.0;0.0;0.2750478485085872;0.4024070004238523;0.0;0.0;0.28367981189368235;0.7711775863247551;0.0;0.0;0.0;0.48458024718554527;0.503876007032658;0.4122517233397286;0.0;0.3855773354389354;0.3855773354389354;0.0;0.0;0.0;0.0;0.4876675842829656;0.0;0.0;0.31048236645534294;0.5305503949334511;0.0;0.0;0.0;0.4772016191318648;0.0;0.2610185749042658;0.5735850431850262;0.3855773354389354;0.4024070004238523;0.0;0.4983434911468811;0.0;0.32314671118984367;0.0;0.44591105330956243;0.44148427237987303;0.0;0.0;0.39749047222676315;0.0;0.41923666540876925;0.24138851853875337;0.3012369645589021;0.0;0.0;0.5207056720175749;0.0;0.503876007032658;0.0;0.5331085560728024;0.0;0.0;0.0;0.0;0.5735850431850262;0.0;0.19457357436122563;0.4928671133341394;0.0;0.0;0.24224417287992372;0.0;0.33326892368848177;0.0
GO:0006284;0.27784823988918267;1.0;0.6271152234066669;0.3351881190126168;0.0;0.2946779048740996;0.0;0.0;0.0;0.0;0.0;0.0;0.4536623104247195;0.0;0.27784823988918267;0.6147031614740996;0.4184257481215571;0.4252228491375334;0.0;0.0;0.0;0.27784823988918267;0.27784823988918267;0.3838164737707731;0.0;0.2946779048740996;0.0;0.0;0.27784823988918267;0.0;0.47036380874876904;0.4079589640076496;0.39317592483617114;0.0;0.3768511516357926;0.4840236029290126;0.3470795218654619;0.0;0.3196993802193485;0.3045226277899759;0.0;0.3838164737707731;0.29187751349350416;0.6694065167615959;0.0;0.0;0.6607745533765008;0.47049197540963644;0.0;0.0;0.3838164737707731;0.27784823988918267;0.0;0.0;0.0;0.5258626676096688;0.2848925714244635;0.48033669832551273;0.32007280341815864;0.4536623104247195;0.4536623104247195;0.0;0.3027415485735641;0.37600281278902364;0.0;0.37993848873321284;0.0;0.3351881190126168;0.5021343656233692;0.4223107323720663;0.4630109185604439;0.0;0.2760671606727709;0.3689619565704799;0.0;0.6694065167615959;0.25821818352367026;0.25821818352367026;0.44368942084797586;0.0;0.37098433923161594;0.0;0.4064730336773122;0.0;0.4787594659921841;0.3337551768301203;0.0;0.0;0.46415667879181804;0.3351881190126168;0.29187751349350416;0.6271152234066669;0.40918034622511623;0.0;0.0;0.41246600945619005;0.0;0.39563634447127316;0.407310002681688;0.3337551768301203;0.0;0.0;0.3351881190126168;0.0;0.27784823988918267;0.0;0.3025169560274398;0.5341495337582629;0.0;0.0;0.3501875545461379;0.0;0.2904923584830745;0.0
GO:0006283;0.24138851853875337;0.6271152234066669;1.0;0.30286971523443157;0.0;0.25821818352367026;0.0;0.0;0.0;0.0;0.0;0.0;0.410030090878142;0.0;0.24138851853875337;0.5650698208605192;0.3747935285749796;0.39107824731722124;0.0;0.0;0.0;0.24138851853875337;0.24138851853875337;0.349671871950461;0.0;0.25821818352367026;0.0;0.0;0.24138851853875337;0.0;0.43087290677443557;0.3738143621873375;0.3608575210579859;0.0;0.34039143028536323;0.4498790011087005;0.31745857086774854;0.0;0.2888584466855673;0.26806290643954656;0.0;0.349671871950461;0.257732911673192;0.7603417023523814;0.0;0.0;0.6111412127629203;0.4268597558630589;0.0;0.0;0.349671871950461;0.24138851853875337;0.0;0.0;0.0;0.4863717656353353;0.25074796960415136;0.4367044787789352;0.2904518524204453;0.410030090878142;0.410030090878142;0.0;0.274145041107659;0.3365119108146902;0.0;0.34347876738278355;0.0;0.30286971523443157;0.4585021460767917;0.385851011021637;0.4235200165861104;0.0;0.24747065320686584;0.3325022352200506;0.0;0.61028555842175;0.22407358170335817;0.22407358170335817;0.40419851887364233;0.0;0.33683973741130385;0.0;0.37563210014353104;0.0;0.43512724644560663;0.297295455479691;0.0;0.0;0.4276969574413887;0.30286971523443157;0.257732911673192;0.7603417023523814;0.37686194244693105;0.0;0.0;0.37600628810576076;0.0;0.3591766231208438;0.3749915989035028;0.297295455479691;0.0;0.0;0.30286971523443157;0.0;0.24138851853875337;0.0;0.27289600502972644;0.49465863178392944;0.0;0.0;0.3193466210123567;0.0;0.26189585101716945;0.0
GO:0032570;0.0;0.3351881190126168;0.30286971523443157;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.42159690376460157;0.0;0.6082932292299303;0.0;0.0;0.0;0.0;0.0;0.47543620279917215;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5697957440654973;0.0;0.0;0.6768735516643851;0.7169289273632174;0.0;0.560692411862399;0.0;0.0;0.5491722708900844;0.0;0.4047672387796846;0.0;0.0;0.33652904520426546;0.0;0.0;0.0;0.35530344722860746;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4526467991488882;0.0;0.0;0.0;0.0;0.6717413179177776;0.392541815325418;0.0;0.0;0.0;0.30286971523443157;0.0;0.0;0.30286971523443157;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5934960874910626;0.0;0.30286971523443157;0.0;0.0;0.0;0.0;0.0;0.0;0.5971914270818237;0.0;0.0;0.0;0.6082932292299303;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0046697;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.44637497268261;0.0;0.0;0.404083679327681;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.48003430265244385;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5591411283905556;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.48003430265244385;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0008625;0.4024070004238523;0.2946779048740996;0.25821818352367026;0.0;0.0;1.0;0.22656154200654188;0.37706388797495316;0.293006542549582;0.0;0.34355492697057294;0.2560615493486744;0.4024070004238523;0.41756530308425166;0.4024070004238523;0.7198955117163466;0.4024070004238523;0.0;0.0;0.37636397354598655;0.24057281055540614;0.4024070004238523;0.4024070004238523;0.30050947687859925;0.0;0.41923666540876925;0.4033180770371879;0.37974428735590254;0.7683178054779194;0.2847826171864365;0.44591105330956243;0.39867506171085915;0.3045226277899759;0.2715886299751829;0.6711317442895153;0.40071660603683873;0.0;0.0;0.0;0.5620410514256944;0.293006542549582;0.30050947687859925;0.4360663303936862;0.4024070004238523;0.27289121433359137;0.24057281055540614;0.29187751349350416;0.41923666540876925;0.4442396909850449;0.4343949680691686;0.30050947687859925;0.4024070004238523;0.3033083921806614;0.340253385381569;0.40984673582736764;0.5014099121704623;0.42908138832464554;0.42908138832464554;0.0;0.4024070004238523;0.4024070004238523;0.2737389623204306;0.0;0.41756530308425166;0.27423214052524003;0.6742190813869355;0.24339120699145883;0.0;0.32731203144025983;0.45575577622543867;0.0;0.34373490424675757;0.293006542549582;0.4024070004238523;0.29920059069044264;0.27784823988918267;0.41756530308425166;0.4024070004238523;0.41923666540876925;0.27965008251142687;0.515173156131798;0.0;0.33997637617476056;0.32623999013517774;0.4627407182944793;0.628035769483843;0.31449404128818637;0.2305999209786624;0.4143201372116801;0.0;0.4360663303936862;0.25821818352367026;0.318066629543819;0.4233765069024801;0.0;0.44591105330956243;0.2560615493486744;0.42908138832464554;0.0;0.4734722400251893;0.28407686344111627;0.33873839538766604;0.0;0.0;0.4024070004238523;0.2959865692915344;0.21140323934614252;0.5096967783190562;0.4222958458493458;0.3206233290160566;0.2590738378648407;0.39693741409870287;0.35009858867339866;0.0
GO:0032968;0.0;0.0;0.0;0.0;0.0;0.22656154200654188;1.0;0.7174939076381441;0.29924073570943865;0.0;0.35393043770267363;0.3286552817339442;0.0;0.28375199691617037;0.0;0.22656154200654188;0.0;0.0;0.0;0.2844393395774772;0.17427935401941208;0.0;0.0;0.0;0.0;0.0;0.40955227019704454;0.4454559668718987;0.209731877021625;0.3034036750534161;0.0;0.0;0.0;0.1637558359534413;0.30873478876823485;0.0;0.0;0.0;0.0;0.23640626492241817;0.29924073570943865;0.0;0.0;0.0;0.27377910733942656;0.25694944235450967;0.0;0.4262227024419076;0.2964151162680993;0.22656154200654188;0.0;0.0;0.4482563582524942;0.3103854252350494;0.32657207029941054;0.0;0.0;0.0;0.0;0.0;0.0;0.2810142776713333;0.0;0.33372263148583486;0.28503106989190813;0.31182212586565516;0.3259941679769672;0.0;0.0;0.0;0.0;0.4802038931878448;0.209731877021625;0.0;0.20727595672193327;0.0;0.28375199691617037;0.0;0.0;0.29602671431053035;0.0;0.0;0.0;0.41432246131371575;0.0;0.2656388139625626;0.3308706730872899;0.35055229647075176;0.0;0.0;0.0;0.0;0.0;0.2906380498234458;0.0;0.0;0.47189548633205597;0.0;0.0;0.494666940329555;0.5153995392177662;0.6126188082416969;0.0;0.0;0.0;0.21955067411629325;0.0;0.0;0.6472855932442176;0.33099883974815736;0.0;0.6976203815143944;0.21619954330358776;0.0
GO:0045893;0.0;0.0;0.0;0.0;0.0;0.37706388797495316;0.7174939076381441;1.0;0.457188067536625;0.0;0.5077364519576159;0.48246129598888643;0.0;0.4375580111711126;0.0;0.37706388797495316;0.0;0.0;0.0;0.4382453538324194;0.33073421564790373;0.0;0.0;0.0;0.0;0.0;0.5674996020242309;0.6087495988531064;0.36023422299003627;0.44896414217347935;0.0;0.0;0.0;0.3093163030735046;0.45923713473664607;0.0;0.0;0.0;0.0;0.3869086108908294;0.457188067536625;0.0;0.0;0.0;0.421584000527366;0.4047543355424491;0.0;0.6068312712585104;0.4469174622365105;0.37706388797495316;0.0;0.0;0.6187224884298501;0.45819031842298885;0.49438935310321697;0.0;0.0;0.0;0.0;0.0;0.0;0.4348202919262755;0.0;0.48422497745424614;0.4305915370119714;0.4623244718340664;0.4715546350970305;0.0;0.0;0.0;0.0;0.6506700233652006;0.37754915982543147;0.0;0.3610819709768755;0.0;0.4375580111711126;0.0;0.0;0.4438316074984697;0.0;0.0;0.0;0.5722697931409021;0.0;0.41614115993097384;0.4786755662752293;0.5010546424391631;0.0;0.0;0.0;0.0;0.0;0.44114039579185704;0.0;0.0;0.6525040551486587;0.0;0.0;0.6752755091461577;0.6960081080343689;0.71753415703748;0.0;0.0;0.0;0.36735556730423263;0.0;0.0;0.8701854554157495;0.4848048540030996;0.0;0.8025357303101776;0.35560174658177307;0.0
GO:2000078;0.0;0.0;0.0;0.0;0.0;0.293006542549582;0.29924073570943865;0.457188067536625;1.0;0.0;0.4290254066862661;0.31655567254483385;0.0;0.35884696589976284;0.0;0.293006542549582;0.0;0.0;0.0;0.43086762018772434;0.22374314557048924;0.0;0.0;0.0;0.0;0.0;0.4959610549490293;0.3206233290160566;0.27617687756466514;0.4968283017255919;0.0;0.0;0.0;0.2178139717893584;0.375179789311275;0.0;0.0;0.0;0.0;0.3028512654654583;0.3856495204614234;0.0;0.0;0.0;0.33338533752975075;0.31655567254483385;0.0;0.3260031452521032;0.36286011681113944;0.293006542549582;0.0;0.0;0.2864787271957445;0.2864787271957445;0.46097766130876217;0.0;0.0;0.0;0.0;0.0;0.0;0.35610924665492577;0.0;0.33618572891034626;0.2574024755403231;0.3782671264086953;0.31607040069435555;0.0;0.0;0.0;0.0;0.3269052392618406;0.27617687756466514;0.0;0.28237092570552574;0.0;0.35884696589976284;0.0;0.0;0.5003457354911346;0.0;0.0;0.0;0.4063641696968495;0.0;0.33208381450560276;0.5351896942678942;0.286570393352223;0.0;0.0;0.0;0.0;0.0;0.42504364083279744;0.0;0.0;0.33618572891034626;0.0;0.0;0.33208381450560276;0.360059725430544;0.32190873040274914;0.0;0.0;0.0;0.27915690430661744;0.0;0.0;0.40546618086442887;0.40609380873174983;0.0;0.3801077491137859;0.2556362411031697;0.0
GO:0034504;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5967702925785421;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3927881598903063;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.39267003563015196;0.0;0.0;0.0;0.5183347967672804;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6095868391953971;0.6607292169775092;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.36268475643754117
