;GO:0042416;GO:0015031;GO:1901223;GO:0006366;GO:0008543;GO:0021952;GO:0008344;GO:0045444;GO:0006886;GO:0006367;GO:0001672;GO:0001666;GO:0045892;GO:1990126;GO:0071376;GO:0045893;GO:0016055;GO:0035556;GO:0051403;GO:0038061;GO:0042147;GO:1904948;GO:0006974;GO:0009967;GO:0048846;GO:0031668;GO:0016241;GO:0031146;GO:0008284;GO:0042551;GO:0045862;GO:0045944;GO:0006468;GO:0042753;GO:0043687;GO:0043401;GO:0043524;GO:0000122;GO:0007229;GO:0000086;GO:0060070;GO:0016236;GO:0050852;GO:0030522;GO:0007281;GO:0006351;GO:0000209;GO:0006470;GO:0046600;GO:0007169;GO:0009267;GO:0006357;GO:0010923;GO:0001975;GO:0042053;GO:0034599;GO:0070498;GO:0050868;GO:2001234
GO:0042416;1.0;0.0;0.0;0.5356143810225276;0.5356143810225276;0.5356143810225276;0.0;0.43852901558847923;0.0;0.6000000000000001;0.0;0.0;0.0;0.0;0.3356143810225276;0.0;0.5356143810225276;0.5356143810225276;0.5356143810225276;0.5356143810225276;0.0;0.5356143810225276;0.43852901558847923;0.0;0.5356143810225276;0.48300749985576874;0.0;0.6000000000000001;0.0;0.5356143810225276;0.0;0.0;0.43852901558847923;0.0;0.43852901558847923;0.5356143810225276;0.0;0.0;0.5356143810225276;0.5356143810225276;0.5356143810225276;0.48300749985576874;0.5356143810225276;0.5356143810225276;0.5356143810225276;0.5356143810225276;0.3356143810225276;0.43852901558847923;0.0;0.5356143810225276;0.43852901558847923;0.0;0.0;0.0;0.0;0.43852901558847923;0.5356143810225276;0.0;0.0
GO:0015031;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.6000000000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.6000000000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:1901223;0.0;0.0;1.0;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.3356143810225276;0.0;0.4;0.0;0.0;0.3356143810225276;0.4;0.43852901558847923;0.4;0.4;0.0;0.0;0.0;0.6000000000000001;0.0;0.0;0.3660149997115376;0.0;0.43852901558847923;0.0;0.3660149997115376;0.3081136762725405;0.0;0.43852901558847923;0.0;0.4;0.43852901558847923;0.3660149997115376;0.4;0.0;0.4;0.0;0.4;0.43852901558847923;0.0;0.0;0.0;0.0;0.4;0.4;0.0;0.3356143810225276;0.3660149997115376;0.0;0.3660149997115376;0.0;0.4;0.4;0.6830074998557688
GO:0006366;0.5356143810225276;0.0;0.0;1.0;0.8;0.8;0.0;0.5356143810225276;0.0;0.8;0.0;0.0;0.0;0.0;0.43852901558847923;0.0;0.8;0.8;0.8;0.8;0.0;0.8;0.5356143810225276;0.0;0.8;0.6000000000000001;0.0;0.8;0.0;0.8;0.0;0.0;0.5356143810225276;0.0;0.5356143810225276;0.8;0.0;0.0;0.8;0.8;0.8;0.5356143810225276;0.8;0.8;0.8;1.0;0.4;0.5356143810225276;0.0;0.8;0.5356143810225276;0.0;0.0;0.0;0.0;0.5356143810225276;0.8;0.0;0.0
GO:0008543;0.5356143810225276;0.0;0.4;0.8;1.0;0.8;0.0;0.6000000000000001;0.0;0.8;0.3660149997115376;0.0;0.4;0.0;0.43852901558847923;0.4;0.8;0.8;0.8;0.8;0.0;0.8;0.6000000000000001;0.48300749985576874;0.8;0.6830074998557688;0.4;0.8;0.48300749985576874;0.8;0.4;0.3660149997115376;0.48300749985576874;0.5356143810225276;0.48300749985576874;0.8;0.4;0.3660149997115376;0.8;0.8;0.8;0.6000000000000001;0.8;0.8;0.8;0.8;0.3660149997115376;0.48300749985576874;0.43852901558847923;1.0;0.6000000000000001;0.4;0.43852901558847923;0.0;0.43852901558847923;0.6000000000000001;0.8;0.4;0.43852901558847923
GO:0021952;0.5356143810225276;0.0;0.0;0.8;0.8;1.0;0.0;0.6830074998557688;0.0;0.8;0.0;0.0;0.0;0.0;0.43852901558847923;0.0;0.8;0.8;0.8;0.8;0.0;0.8;0.6000000000000001;0.0;0.8;0.6830074998557688;0.0;0.8;0.0;0.8;0.0;0.0;0.48300749985576874;0.0;0.48300749985576874;0.8;0.0;0.0;0.8;0.8;0.8;0.6000000000000001;0.8;0.8;0.8;0.8;0.3660149997115376;0.48300749985576874;0.0;0.8;0.6000000000000001;0.0;0.0;0.0;0.0;0.6000000000000001;0.8;0.0;0.0
GO:0008344;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0045444;0.43852901558847923;0.0;0.0;0.5356143810225276;0.6000000000000001;0.6830074998557688;0.0;1.0;0.0;0.6000000000000001;0.0;0.0;0.0;0.0;0.3660149997115376;0.0;0.6000000000000001;0.6000000000000001;0.6000000000000001;0.6000000000000001;0.0;0.8;0.48300749985576874;0.0;0.6000000000000001;0.5356143810225276;0.0;0.6000000000000001;0.0;0.6830074998557688;0.0;0.0;0.4;0.0;0.4;0.6000000000000001;0.0;0.0;0.6000000000000001;0.6000000000000001;0.6000000000000001;0.48300749985576874;0.6000000000000001;0.6000000000000001;0.6830074998557688;0.5356143810225276;0.3081136762725405;0.4;0.0;0.6000000000000001;0.48300749985576874;0.0;0.0;0.0;0.0;0.48300749985576874;0.6000000000000001;0.0;0.0
GO:0006886;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0006367;0.6000000000000001;0.0;0.0;0.8;0.8;0.8;0.0;0.6000000000000001;0.0;1.0;0.0;0.0;0.0;0.0;0.43852901558847923;0.0;0.8;0.8;0.8;0.8;0.0;0.8;0.6000000000000001;0.0;0.8;0.6830074998557688;0.0;0.8;0.0;0.8;0.0;0.0;0.5356143810225276;0.0;0.5356143810225276;0.8;0.0;0.0;0.8;0.8;0.8;0.6000000000000001;0.8;0.8;0.8;0.8;0.4;0.5356143810225276;0.0;0.8;0.6000000000000001;0.0;0.0;0.0;0.0;0.6000000000000001;0.8;0.0;0.0
GO:0001672;0.0;0.0;0.3356143810225276;0.0;0.3660149997115376;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.3356143810225276;0.0;0.0;0.3356143810225276;0.3660149997115376;0.43852901558847923;0.3660149997115376;0.4;0.0;0.0;0.0;0.4;0.0;0.0;0.3660149997115376;0.0;0.43852901558847923;0.0;0.3660149997115376;0.3081136762725405;0.0;0.4;0.0;0.4;0.3660149997115376;0.3081136762725405;0.4;0.0;0.3660149997115376;0.0;0.3660149997115376;0.43852901558847923;0.0;0.0;0.0;0.0;0.48300749985576874;0.3660149997115376;0.0;0.3356143810225276;0.3081136762725405;0.0;0.3660149997115376;0.0;0.3660149997115376;0.3356143810225276;0.3660149997115376
GO:0001666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.43852901558847923;0.0;0.0;0.0;0.6830074998557688;0.0;0.0;0.0;0.6830074998557688;0.0;0.0;0.6000000000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6830074998557688;0.0;0.0;0.5356143810225276;0.0;0.6830074998557688;0.0;0.0;0.0
GO:0045892;0.0;0.0;0.4;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.3356143810225276;0.0;1.0;0.0;0.0;0.8;0.4;0.43852901558847923;0.4;0.4;0.0;0.0;0.0;0.4;0.0;0.0;0.43852901558847923;0.0;0.43852901558847923;0.0;0.48300749985576874;0.6830074998557688;0.0;0.43852901558847923;0.0;0.4;0.43852901558847923;1.0;0.4;0.0;0.4;0.0;0.4;0.43852901558847923;0.0;0.0;0.0;0.0;0.4;0.4;0.0;0.8;0.43852901558847923;0.0;0.43852901558847923;0.0;0.4;0.4;0.43852901558847923
GO:1990126;0.0;0.6000000000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0071376;0.3356143810225276;0.0;0.0;0.43852901558847923;0.43852901558847923;0.43852901558847923;0.0;0.3660149997115376;0.0;0.43852901558847923;0.0;0.43852901558847923;0.0;0.0;1.0;0.0;0.43852901558847923;0.43852901558847923;0.48300749985576874;0.43852901558847923;0.0;0.43852901558847923;0.43852901558847923;0.0;0.43852901558847923;0.48300749985576874;0.0;0.43852901558847923;0.0;0.43852901558847923;0.0;0.0;0.3081136762725405;0.0;0.3081136762725405;0.43852901558847923;0.0;0.0;0.43852901558847923;0.43852901558847923;0.43852901558847923;0.3660149997115376;0.43852901558847923;0.43852901558847923;0.43852901558847923;0.43852901558847923;0.23852901558847928;0.3081136762725405;0.0;0.43852901558847923;0.43852901558847923;0.0;0.0;0.48300749985576874;0.0;0.5356143810225276;0.43852901558847923;0.0;0.0
GO:0045893;0.0;0.0;0.3356143810225276;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.3356143810225276;0.0;0.8;0.0;0.0;1.0;0.4;0.43852901558847923;0.4;0.4;0.0;0.0;0.0;0.48300749985576874;0.0;0.0;0.43852901558847923;0.0;0.48300749985576874;0.0;0.5356143810225276;1.0;0.0;0.5356143810225276;0.0;0.4;0.3660149997115376;0.6830074998557688;0.4;0.0;0.4;0.0;0.4;0.43852901558847923;0.0;0.0;0.0;0.0;0.3660149997115376;0.4;0.0;0.8;0.3660149997115376;0.0;0.43852901558847923;0.0;0.4;0.3356143810225276;0.3660149997115376
GO:0016055;0.5356143810225276;0.0;0.4;0.8;0.8;0.8;0.0;0.6000000000000001;0.0;0.8;0.3660149997115376;0.0;0.4;0.0;0.43852901558847923;0.4;1.0;0.8;0.8;0.8;0.0;0.8;0.6000000000000001;0.48300749985576874;0.8;0.6830074998557688;0.4;0.8;0.48300749985576874;0.8;0.4;0.3660149997115376;0.48300749985576874;0.5356143810225276;0.48300749985576874;0.8;0.4;0.3660149997115376;0.8;0.8;1.0;0.6000000000000001;0.8;0.8;0.8;0.8;0.3660149997115376;0.48300749985576874;0.43852901558847923;0.8;0.6000000000000001;0.4;0.43852901558847923;0.0;0.43852901558847923;0.6000000000000001;0.8;0.4;0.43852901558847923
