;GO:0060088;GO:0060087;GO:0006283;GO:0006123;GO:0008543;GO:0006367;GO:0006368;GO:0060964;GO:0006637;GO:0006879;GO:0000187;GO:0035914;GO:0001193;GO:0032287;GO:0034465;GO:0065003;GO:0006370;GO:1902600;GO:0046620;GO:0000303;GO:0042542;GO:0006379;GO:0014908;GO:0045541;GO:0019430;GO:0035865;GO:0040014;GO:0046716;GO:0008089;GO:1902177;GO:0006783;GO:0042795;GO:0001890;GO:0033081;GO:0045944;GO:1904837;GO:0043524;GO:0048538;GO:0000398;GO:0002576;GO:0045471;GO:0071276;GO:0060070;GO:0071318;GO:0019226;GO:0060052;GO:0006633;GO:0007569;GO:0001541;GO:0001975;GO:0006749;GO:0034599;GO:0001819;GO:0008090;GO:0050665;GO:0032930;GO:0035722
GO:0060088;1.0;0.0;0.1720364450031674;0.2701876483839691;0.2869155213056863;0.15756799626403428;0.1576810925854835;0.0;0.28416590771615113;0.21829967321684798;0.0;0.37559108265208496;0.15793305153051865;0.5769843464850433;0.0;0.595086142945494;0.1893566093583441;0.0;0.0;0.0;0.0;0.19994569993393432;0.32630650774863734;0.0;0.30508984289550983;0.2846003452999221;0.0;0.3321016132930594;0.23472754163719556;0.0;0.15670490073158014;0.13237342816009343;0.0;0.0;0.0;0.5682157525867159;0.0;0.0;0.1839318062364238;0.29234144914667387;0.0;0.2842794057740145;0.28736765213869053;0.1530486919302978;0.0;0.5475851885159023;0.18557267356224835;0.3773925264954198;0.0;0.0;0.24661291653141695;0.30532531387111916;0.0;0.23479882590794976;0.2479171058027786;0.0;0.2992692704530671
GO:0060087;0.0;1.0;0.0;0.0;0.2974736226125146;0.0;0.0;0.2926777341944285;0.0;0.16446023859596656;0.11941684693462283;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4044086789864725;0.0;0.0;0.0;0.0;0.25196957337848075;0.0;0.0;0.4044523644380371;0.2239821082153603;0.0;0.16789918285917893;0.0;0.0;0.0;0.2993229067831783;0.1583076077806118;0.0;0.31731947818691864;0.0;0.0;0.0;0.0;0.0;0.29781304635246075;0.0;0.28190419437844977;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.40109359309065723;0.0;0.0;0.2590317373258719;0.3066430459540667
GO:0006283;0.1720364450031674;0.0;1.0;0.2852072912173284;0.1610406345488176;0.603632714302267;0.6039357886898162;0.0;0.35988507242228257;0.1368901910871644;0.0;0.18564115960667554;0.6046105162529695;0.17654957494636675;0.15296985573116245;0.17938171072398915;0.6839701303774981;0.0;0.0;0.2003505360403491;0.19067715489826748;0.7087312158034222;0.1727452938320968;0.0;0.3053271482911153;0.26733031186342676;0.0;0.17435596791697822;0.1431736609969221;0.0;0.44085420382090423;0.5679468218145522;0.0;0.0;0.0;0.17514672000820142;0.0;0.0;0.6709163281249297;0.1627359422362784;0.14555717121366146;0.26716042041146193;0.1611829745094088;0.18012238268976558;0.0;0.17176319276946594;0.32714062729694887;0.18608018188033207;0.0;0.1391773809215154;0.4409685978482549;0.3812946874059313;0.0;0.14320017897643586;0.2711756190478005;0.0;0.164860379620082
GO:0006123;0.2701876483839691;0.0;0.2852072912173284;1.0;0.24402013436952533;0.2633327781209275;0.2635051372162792;0.0;0.4435340099977067;0.1925470831681187;0.0;0.3053298950997789;0.26388904501454274;0.28148865392144456;0.0;0.28875746441523126;0.310936263042638;0.0;0.0;0.0;0.0;0.3264266572687135;0.27194017980759605;0.0;0.4710494474173383;0.2423434493114815;0.0;0.2759532196851902;0.20521515302600288;0.0;0.26201670044049724;0.22438549698565202;0.0;0.0;0.0;0.27793925459148433;0.0;0.0;0.30293054177316703;0.24793386643461635;0.0;0.24211070040235377;0.24434710222356587;0.13992776810941918;0.0;0.26951426807905465;0.30535711309894786;0.3065193263676835;0.0;0.0;0.3926139664295254;0.25721016582358086;0.0;0.20526963688743294;0.3944164796545287;0.0;0.25289895552460306
GO:0008543;0.2869155213056863;0.2974736226125146;0.1610406345488176;0.24402013436952533;1.0;0.1482940806392655;0.14839425157720132;0.4743246579094924;0.2553650904234562;0.29555934481558443;0.16993326977207782;0.32686563398280083;0.14861738458821555;0.2996922679590449;0.0;0.3079453941150019;0.17612046191259947;0.0;0.4219980458083695;0.0;0.0;0.18524525520256546;0.28889256996048224;0.23385122770439734;0.27213742189377443;0.2557158739656127;0.42205612176740265;0.4316939244753716;0.2147236183942617;0.2473650129827966;0.14752934644066673;0.12576595769428134;0.0;0.3827636499030829;0.23161511557209982;0.2956722299861383;0.4024401333241999;0.0;0.17141813036230913;0.2619482002589721;0.0;0.25545674411413843;0.7830713065131301;0.1442843338504725;0.0;0.2861562962956324;0.17284245764634268;0.3282291447235469;0.0;0.0;0.22462679187423104;0.2723247583129632;0.417600936514033;0.21478326888277002;0.2257082940148958;0.4087732657439519;0.8120598105925855
GO:0006367;0.15756799626403428;0.0;0.603632714302267;0.2633327781209275;0.1482940806392655;1.0;0.9426471828784945;0.0;0.331541499834107;0.12756940866597027;0.0;0.16890519397602521;0.9436417094731457;0.16134559502584034;0.0;0.16370767935178893;0.6792858285454884;0.0;0.0;0.0;0.0;0.7022881578602869;0.15816242290267366;0.0;0.2803924252549529;0.14767318301365015;0.0;0.1595115725849124;0.1330093314176559;0.0;0.6544477048949556;0.8369413842400404;0.0;0.0;0.0;0.16017315423059783;0.0;0.0;0.6671172680693848;0.14973044127932794;0.0;0.1475867277728161;0.14841477115544216;0.10212544138219258;0.0;0.1573387423054519;0.42364240850175555;0.16926854922370937;0.0;0.0;0.4087839592657615;0.15306420266886306;0.0;0.133032217564536;0.34354847049144216;0.0;0.15152701201283497
GO:0006368;0.1576810925854835;0.0;0.6039357886898162;0.2635051372162792;0.14839425157720132;0.9426471828784945;1.0;0.0;0.3317643370920082;0.12764353050684665;0.0;0.1690351573248234;0.944089839725758;0.16146418122626177;0.0;0.1638297644636881;0.679648134374248;0.0;0.0;0.0;0.0;0.7026754233048097;0.15827637445595935;0.0;0.28058784810106674;0.14777251660834365;0.0;0.15962747719042347;0.13308991157173883;0.0;0.6547568977630861;0.8372938823331959;0.0;0.0;0.0;0.1602900226215767;0.0;0.0;0.6674667063080159;0.14983256277313514;0.0;0.1476859450528103;0.14851510526498501;0.10217293887422631;0.0;0.1574515096489857;0.4238655481751451;0.16939907255415737;0.0;0.0;0.40903856757929846;0.15317092389641196;0.0;0.1331128254593299;0.34376307369581505;0.0;0.15163159971530563
GO:0060964;0.0;0.2926777341944285;0.0;0.0;0.4743246579094924;0.0;0.0;1.0;0.0;0.19211684085430122;0.234514150598484;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.41241128473471356;0.0;0.0;0.0;0.0;0.2905616314720264;0.0;0.0;0.412466751805749;0.2786050027258908;0.0;0.2448237145116379;0.0;0.0;0.0;0.37671295627757967;0.36034950081116396;0.0;0.3957567929306893;0.0;0.0;0.0;0.0;0.0;0.4749822189627719;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.40821069491125767;0.0;0.0;0.4810221767140818;0.49220240846428853
GO:0006637;0.28416590771615113;0.0;0.35988507242228257;0.4435340099977067;0.2553650904234562;0.331541499834107;0.3317643370920082;0.0;1.0;0.19954207242006602;0.0;0.32330175479427326;0.33226070669694374;0.2966935932540011;0.0;0.30478015843351014;0.3933856916646625;0.0;0.0;0.0;0.0;0.4136404491768011;0.2861051163645976;0.0;0.49417556599311435;0.25352946311147645;0.0;0.29055052738456494;0.21317988714845434;0.0;0.3716571210456577;0.2813880316767454;0.0;0.0;0.0;0.2927530716834396;0.0;0.0;0.382942853040914;0.2596543939403087;0.0;0.2532747433110914;0.2557231900288065;0.14358565774586388;0.0;0.2834211459389796;0.3861063166537277;0.3246356337183692;0.0;0.0;0.6272932254666337;0.2698464830687639;0.0;0.21323868290178272;0.4743107487471952;0.0;0.2651051660338524
GO:0006879;0.21829967321684798;0.16446023859596656;0.1368901910871644;0.1925470831681187;0.29555934481558443;0.12756940866597027;0.12764353050684665;0.19211684085430122;0.19954207242006602;1.0;0.07994316853014084;0.2406812140968935;0.12780858827927458;0.22561809987708364;0.0;0.23026399285380456;0.1476353747006042;0.0;0.2164965378082326;0.0;0.0;0.15399395606333896;0.21944228935338259;0.1346262423577732;0.2096380464821811;0.1997561911806928;0.21651905746277247;0.5296953746422527;0.17383256774729325;0.11177834694660227;0.1270030793139172;0.11053644823560062;0.0;0.1617982312430224;0.1055081368552201;0.22333213665705232;0.16853489733874777;0.0;0.14431678207094298;0.20353909379058324;0.0;0.19959803036903725;0.2958853034724785;0.12459084674216397;0.0;0.21785988507749549;0.14532501252718438;0.24141967416016077;0.0;0.0;0.18026654153821553;0.20974919847044074;0.2147870996267963;0.17387166026903106;0.18096240140270525;0.17067662669969902;0.30435628852807306
