;GO:0031295;GO:0051918;GO:1901224;GO:1901741;GO:0007565;GO:0051591;GO:0045663;GO:0043312;GO:0006468;GO:0043029;GO:0030216;GO:0033209;GO:0071260;GO:0043154;GO:0051262;GO:0042098;GO:0010820;GO:0070588;GO:0010544;GO:0031069;GO:0032496;GO:0010469;GO:0018149
GO:0031295;1.0;0.1;0.42105263157894735;0.4;0.0;0.0;0.5882352941176471;0.2;0.0;0.2222222222222222;0.0;0.1111111111111111;0.0;0.34782608695652173;0.0;0.23529411764705882;0.45454545454545453;0.0;0.5;0.0;0.0;0.11764705882352941;0.0
GO:0051918;0.1;1.0;0.5263157894736842;0.4;0.0;0.0;0.47058823529411764;0.0;0.0;0.1111111111111111;0.0;0.1111111111111111;0.0;0.34782608695652173;0.0;0.0;0.5454545454545454;0.0;0.8;0.0;0.0;0.47058823529411764;0.0
GO:1901224;0.42105263157894735;0.5263157894736842;1.0;0.42105263157894735;0.0;0.0;0.625;0.0;0.0;0.11764705882352941;0.0;0.11764705882352941;0.0;0.36363636363636365;0.0;0.0;0.47619047619047616;0.0;0.42105263157894735;0.0;0.0;0.75;0.0
GO:1901741;0.4;0.4;0.42105263157894735;1.0;0.0;0.0;0.5882352941176471;0.0;0.0;0.1111111111111111;0.0;0.1111111111111111;0.0;0.34782608695652173;0.0;0.0;0.36363636363636365;0.0;0.4;0.0;0.0;0.23529411764705882;0.0
GO:0007565;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2222222222222222;0.0;0.0;0.0
GO:0051591;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3076923076923077;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6153846153846154;0.0;0.0
GO:0045663;0.5882352941176471;0.47058823529411764;0.625;0.5882352941176471;0.0;0.0;1.0;0.0;0.0;0.13333333333333333;0.0;0.13333333333333333;0.0;0.4;0.0;0.0;0.42105263157894735;0.0;0.47058823529411764;0.0;0.0;0.5714285714285714;0.0
GO:0043312;0.2;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.1111111111111111;0.2222222222222222;0.11764705882352941;0.1111111111111111;0.125;0.0;0.11764705882352941;0.23529411764705882;0.0;0.1;0.0;0.0;0.0;0.0;0.1111111111111111
GO:0006468;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1111111111111111;1.0;0.0;0.13333333333333333;0.25;0.2857142857142857;0.0;0.13333333333333333;0.26666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.875
GO:0043029;0.2222222222222222;0.1111111111111111;0.11764705882352941;0.1111111111111111;0.0;0.0;0.13333333333333333;0.2222222222222222;0.0;1.0;0.0;0.125;0.0;0.09523809523809523;0.0;0.26666666666666666;0.1;0.0;0.1111111111111111;0.0;0.0;0.13333333333333333;0.0
