id	name	nbGenes	ICSeco	ICZhou	ICSanchez	ICMazandu
GO:0008150	biological_process	2939	0.00	0.00	0.00	0.00
GO:0051179	localization	912	0.26	0.13	2.57	3.37
GO:0032502	developmental process	541	0.22	0.11	1.89	3.37
GO:0009987	cellular process	2598	0.09	0.05	0.84	3.37
GO:0050896	response to stimulus	823	0.25	0.12	2.65	3.37
GO:1900827	positive regulation of membrane depolarization during cardiac muscle cell action potential	1	0.93	0.86	9.57	176.31
GO:0043086	negative regulation of catalytic activity	169	0.49	0.49	6.28	18.42
GO:0048878	chemical homeostasis	145	0.48	0.49	6.42	10.43
GO:0050789	regulation of biological process	2053	0.09	0.17	1.80	4.47
GO:0043536	positive regulation of blood vessel endothelial cell migration	14	0.93	0.88	9.58	355.43
GO:1900827	positive regulation of membrane depolarization during cardiac muscle cell action potential	1	0.93	0.86	9.57	176.31
GO:0043086	negative regulation of catalytic activity	169	0.49	0.49	6.28	18.42
GO:0048878	chemical homeostasis	145	0.48	0.49	6.42	10.43
GO:0050789	regulation of biological process	2053	0.09	0.17	1.80	4.47
GO:0043536	positive regulation of blood vessel endothelial cell migration	14	0.93	0.88	9.58	355.43
