;GO:0014068;GO:0014067;GO:0034112;GO:0061098;GO:0051928;GO:0042531;GO:0006887;GO:0043547;GO:0002676;GO:0050796;GO:0048247;GO:0048246;GO:0048245;GO:0032729;GO:0010536;GO:2000110;GO:0019886;GO:0050679;GO:0007186;GO:0090026;GO:0042102;GO:0043553;GO:0070233;GO:0002407;GO:0010820;GO:0031663;GO:0070234;GO:0010469;GO:0031584;GO:0071407;GO:0045948;GO:0042119;GO:0043922;GO:2001190;GO:0009615;GO:0045744;GO:0048661;GO:0000165;GO:0043491;GO:0070100;GO:0051262;GO:0006816;GO:0010759;GO:0071356;GO:0014911;GO:0045070;GO:0045071;GO:0033634;GO:0050852;GO:0060333;GO:0006351;GO:0044344;GO:0006357;GO:0002399;GO:0006874;GO:0002503;GO:0045089;GO:2000503;GO:0002548;GO:0070098;GO:0070374;GO:0071347;GO:0030593;GO:0071346
GO:0014068;1.0;0.7851474704628364;0.33064761828491374;0.29602671431053035;0.3709095190478601;0.5407545759830484;0.0;0.19235234341934632;0.3774205542553593;0.3895920733790265;0.0;0.0;0.0;0.3236626762158731;0.5407545759830484;0.19694059100882855;0.0;0.4063641696968495;0.36884150434140267;0.367972541167917;0.339658933857108;0.22656154200654188;0.22867780141355054;0.0;0.3506576043325218;0.23923188436375753;0.31324478125301625;0.5300013685947074;0.15286144144501296;0.0;0.3595744535800657;0.0;0.23923188436375753;0.410263834522846;0.0;0.4894294271054002;0.35301539389526315;0.3033083921806614;0.23923188436375753;0.395276993184517;0.0;0.0;0.367972541167917;0.0;0.32591512361023184;0.3063477393804779;0.2199390760738622;0.2969882883150799;0.3506576043325218;0.23923188436375753;0.0;0.0;0.3506077417716534;0.0;0.23459940795549433;0.0;0.5250451615974718;0.3506576043325218;0.0;0.3065505443034252;0.5903879165966288;0.0;0.0;0.0
GO:0014067;0.7851474704628364;1.0;0.24093528669176711;0.21335662597543276;0.2811971874547135;0.43860722654569734;0.0;0.19235234341934632;0.3774205542553593;0.3895920733790265;0.0;0.0;0.0;0.23395034462272646;0.43860722654569734;0.2834078126429887;0.0;0.3094103251502608;0.36884150434140267;0.2842831607560688;0.25284752794976617;0.3157262164211739;0.3129005969798346;0.0;0.27027189220720454;0.23923188436375753;0.22867780141355054;0.5300013685947074;0.15286144144501296;0.0;0.270065594892252;0.0;0.28093901339472765;0.3170868363847323;0.0;0.6027740853258206;0.2560615493486744;0.3033083921806614;0.23923188436375753;0.4984792127656904;0.0;0.0;0.2842831607560688;0.0;0.23640626492241817;0.2199390760738622;0.30761340129552084;0.20727595672193327;0.2997718995493371;0.23923188436375753;0.0;0.0;0.3506077417716534;0.0;0.23459940795549433;0.0;0.43186816345935813;0.27027189220720454;0.0;0.3065505443034252;0.4780981285200308;0.0;0.0;0.0
GO:0034112;0.33064761828491374;0.24093528669176711;1.0;0.31011866005061023;0.4241989053832063;0.29784394265625025;0.0;0.23880295940197666;0.3167577433556624;0.27042807102861294;0.0;0.0;0.0;0.3769520625512193;0.29784394265625025;0.21413273213010642;0.0;0.42045611543692946;0.38603364546268054;0.33064761828491374;0.6487870465035415;0.25776495167668406;0.24586994253482836;0.0;0.31333268144951854;0.2737389623204306;0.32733672699309607;0.3758292111644607;0.19741516592327513;0.0;0.37366639932014556;0.0;0.2737389623204306;0.5928801095626038;0.0;0.344744887401419;0.3671073396353431;0.33781547013733454;0.2737389623204306;0.25776495167668406;0.0;0.0;0.33064761828491374;0.0;0.3573220061857069;0.3573220061857069;0.2676096745925603;0.6679750785461963;0.33064761828491374;0.2737389623204306;0.0;0.0;0.3818111514417955;0.0;0.2784011765645752;0.0;0.465059001725052;0.31333268144951854;0.0;0.3410576222600982;0.3301623464344355;0.0;0.0;0.0
GO:0061098;0.29602671431053035;0.21335662597543276;0.31011866005061023;1.0;0.35038056081355656;0.7708759666172706;0.0;0.5077088406512212;0.26811754950593214;0.2795219158505593;0.0;0.0;0.0;0.3031337179815696;0.7708759666172706;0.20321418733618574;0.0;0.39300770965869436;0.37511510066875986;0.2842598718295422;0.3401668087704798;0.535770834384378;0.23723062249563032;0.0;0.2733654773211139;0.2628204175265099;0.31686953020682396;0.4992147444118671;0.4539341824653967;0.0;0.5484372724770044;0.0;0.3290184089207438;0.29602671431053035;0.0;0.3125718824002447;0.339658933857108;0.32689692534341386;0.2628204175265099;0.2301862909603497;0.0;0.0;0.2842598718295422;0.0;0.32270110221132353;0.29136687550058143;0.22356382502766997;0.2764593300807764;0.3032618846424371;0.2628204175265099;0.0;0.0;0.45588300512190794;0.0;0.2641890621852495;0.0;0.39124065715540224;0.2733654773211139;0.0;0.33013907746617754;0.6109628669390443;0.0;0.0;0.0
GO:0051928;0.3709095190478601;0.2811971874547135;0.4241989053832063;0.35038056081355656;1.0;0.33810584341919664;0.0;0.279064860164923;0.3570196441186088;0.46456982143173736;0.0;0.0;0.0;0.41721396331416566;0.33810584341919664;0.2543946328930528;0.0;0.4607180161998758;0.4262955462256269;0.40462319725887586;0.4095015191534025;0.2980268524396304;0.28613184329777475;0.0;0.38730826042348065;0.314000863083377;0.36759862775604246;0.4160911119274071;0.23767706668622152;0.0;0.41392830008309195;0.0;0.314000863083377;0.39053957541337253;0.0;0.38500678816436534;0.4073692403982894;0.3780773709002809;0.314000863083377;0.2980268524396304;0.0;0.0;0.40462319725887586;0.0;0.431297585159669;0.39758390694865325;0.30787157535550663;0.39053957541337253;0.3709095190478601;0.314000863083377;0.0;0.0;0.42207305220474184;0.0;0.3186630773275216;0.0;0.5053209024879983;0.38730826042348065;0.0;0.3813195230230446;0.3704242471973818;0.0;0.0;0.0
GO:0042531;0.5407545759830484;0.43860722654569734;0.29784394265625025;0.7708759666172706;0.33810584341919664;1.0;0.0;0.16969110642992985;0.3446168786266958;0.35678839775036303;0.0;0.0;0.0;0.2908590005872096;0.7851474704628364;0.17427935401941208;0.0;0.3694191764959419;0.3360378287127392;0.3351688655392535;0.3128563792954473;0.4280878813668749;0.2076409682658752;0.0;0.32115759699038926;0.209731877021625;0.28868665275923167;0.48053757704363026;0.13323138507950044;0.0;0.5093600005209837;0.0;0.27592986841585887;0.367972541167917;0.0;0.44713813375047123;0.31607040069435555;0.2738083848385289;0.209731877021625;0.3583319999836094;0.0;0.0;0.3351688655392535;0.0;0.2964151162680993;0.27684773203834534;0.19538094758007762;0.2641846126864164;0.32115759699038926;0.209731877021625;0.0;0.0;0.41680573316588726;0.0;0.21619954330358776;0.0;0.48275386824254285;0.32115759699038926;0.0;0.27705053696129267;0.5718855949830236;0.0;0.0;0.0
GO:0006887;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.4840884421056318;0.4258673669257372;0.4258673669257372;0.0;0.0;0.0;0.0;0.0;0.5381620500679871;0.0;0.0;0.0;0.0;0.4595266968955711;0.0;0.4258673669257372;0.0;0.0;0.0;0.4608317156140586;0.0;0.35064423128127736;0.0;0.0;0.0;0.0;0.0;0.4899438747426411;0.4258673669257372;0.0;0.37027428764678977;0.5016624102189495;0.0;0.3239698433804841;0.0;0.0;0.0;0.0;0.4258673669257372;0.4258673669257372;0.4508896776412005;0.3239698433804841;0.0;0.34359989974599653;0.3985353116948173;0.4258673669257372;0.0;0.0;0.4258673669257372;0.49318602686540486;0.0;0.3239698433804841;0.4258673669257372;0.34359989974599653
GO:0043547;0.19235234341934632;0.19235234341934632;0.23880295940197666;0.5077088406512212;0.279064860164923;0.16969110642992985;0.0;1.0;0.2654773473027698;0.2486476823178529;0.0;0.0;0.0;0.231818017332936;0.4686315686952005;0.16969110642992985;0.0;0.2753220702186461;0.3642532567519205;0.19235234341934632;0.2364924378792958;0.3978785024743705;0.20305272067639296;0.0;0.18058550093835818;0.2519585736096705;0.20305272067639296;0.5192584307956923;0.5628108019964566;0.0;0.2409192188089852;0.0;0.2519585736096705;0.20514362943214276;0.0;0.29346449134852637;0.2219732944170597;0.31603508142657444;0.2519585736096705;0.20918200840426326;0.0;0.0;0.20514362943214276;0.0;0.21902673132013956;0.21902673132013956;0.21902673132013956;0.20514362943214276;0.2519585736096705;0.2519585736096705;0.0;0.0;0.33322820816937476;0.0;0.26157151157965824;0.0;0.3199249565067686;0.18058550093835818;0.0;0.3192772335493382;0.19741516592327513;0.0;0.0;0.0
GO:0002676;0.3774205542553593;0.3774205542553593;0.3167577433556624;0.26811754950593214;0.3570196441186088;0.3446168786266958;0.0;0.2654773473027698;1.0;0.2971024589294062;0.0;0.0;0.0;0.30977280128662177;0.3446168786266958;0.2408071200308996;0.0;0.35327685417233184;0.4127080333634737;0.4739680155610185;0.30950534298463367;0.2844393395774772;0.2725443304356216;0.0;0.45433795919550607;0.3004133502212238;0.2725443304356216;0.5218020964543184;0.2240895538240683;0.0;0.31393212391432307;0.0;0.3004133502212238;0.3970506106208717;0.0;0.48537147253725527;0.2999280783707455;0.36448985803812767;0.3004133502212238;0.3942502192402762;0.0;0.0;0.4739680155610185;0.0;0.2942840624933535;0.2942840624933535;0.2942840624933535;0.2830984133858286;0.3774205542553593;0.3004133502212238;0.0;0.0;0.4084855393425887;0.0;0.3050755644653684;0.0;0.6367340305502915;0.45433795919550607;0.0;0.36773201016089146;0.376935282404881;0.0;0.0;0.0
GO:0050796;0.3895920733790265;0.3895920733790265;0.27042807102861294;0.2795219158505593;0.46456982143173736;0.35678839775036303;0.0;0.2486476823178529;0.2971024589294062;1.0;0.0;0.0;0.0;0.2634431289595723;0.35678839775036303;0.2672471984561994;0.0;0.3898593712368785;0.45463685058204173;0.327391075234278;0.32315413539713694;0.28407686344111627;0.2967399827930452;0.0;0.3145997892214816;0.31968093045037527;0.2967399827930452;0.5339736155779856;0.20725988883915142;0.0;0.3430696551200947;0.0;0.30005087408486286;0.2672471984561994;0.0;0.4975429916609225;0.33651059543529216;0.38375743826727915;0.31968093045037527;0.4064217383639434;0.0;0.0;0.34140234378314227;0.0;0.3835654704772037;0.25065184294677584;0.25065184294677584;0.23676874105877915;0.30005087408486286;0.30005087408486286;0.0;0.0;0.423611801999496;0.0;0.40847837951904215;0.0;0.351550068133405;0.3145997892214816;0.0;0.3673695340245305;0.3891068015285482;0.0;0.0;0.0
