;GO:0016525;GO:0006281;GO:0007093;GO:0060480;GO:0033540;GO:0008584;GO:0043508;GO:0009312;GO:0051091;GO:0045647;GO:0060644;GO:0007258;GO:0006687;GO:0071493;GO:0110024;GO:0045893;GO:0032287;GO:0034620;GO:0015701;GO:0035556;GO:0065002;GO:0060998;GO:0007268;GO:0006699;GO:0006334;GO:0045898;GO:0048251;GO:0071486;GO:0050680;GO:0048013;GO:0016126;GO:0035264;GO:0007194;GO:0014047;GO:0090314;GO:0043649;GO:0015012;GO:0008286;GO:0031340;GO:0006260;GO:0008285;GO:0008284;GO:0007196;GO:1902177;GO:0043486;GO:0045787;GO:0060548;GO:0043488;GO:0038096;GO:0045944;GO:0043248;GO:0043525;GO:0048814;GO:0009414;GO:0000398;GO:0030888;GO:0006417;GO:0010918;GO:0046360;GO:0002218;GO:0033599;GO:0036109;GO:2000134;GO:0031573;GO:0010870;GO:0016579;GO:0007088;GO:0090200;GO:0000724;GO:0043410;GO:0048666;GO:0048704;GO:0060535;GO:0007127;GO:0097473;GO:0005978;GO:0006548;GO:0006306;GO:0001934;GO:0034314;GO:0030511;GO:2001235;GO:0007050;GO:0060441;GO:0061014;GO:0045727;GO:1902110;GO:0006366;GO:0006487;GO:0045444;GO:0006006;GO:1990173;GO:0045725;GO:0006004;GO:0043547;GO:0006637;GO:0000380;GO:0051607;GO:0016573;GO:0071456;GO:0009071;GO:2001243;GO:0051966;GO:0017148;GO:0016973;GO:0045737;GO:0006493;GO:0032000;GO:0006098;GO:0031670;GO:0009088;GO:0045577;GO:0007188;GO:0043312;GO:0006897;GO:0097186;GO:0060435;GO:0097298;GO:0043161;GO:0007218;GO:0030219;GO:0018063;GO:0032915;GO:0010748;GO:0010469;GO:0030210;GO:0018105;GO:0072659;GO:0016567;GO:0030335;GO:2001275;GO:0090630;GO:0008089;GO:0045225;GO:0043687;GO:0042754;GO:0000079;GO:0001695;GO:0000122;GO:0032869;GO:0051223;GO:0000086;GO:0031658;GO:2000736;GO:0032464;GO:0016311;GO:0045071;GO:2000059;GO:0060574;GO:0045639;GO:0006471;GO:0006351;GO:0007286;GO:0030041;GO:0006355;GO:0007200;GO:0045876;GO:0006357;GO:0006511;GO:0006625;GO:0043066;GO:0045087;GO:0099578;GO:0006508;GO:0043065;GO:0010847;GO:0031124;GO:0070932
GO:0016525;1.0;0.0;0.34457538007293625;0.0;0.0;0.0;0.14083307114154295;0.0;0.21141171756594643;0.5402219085598504;0.0;0.0;0.0;0.0;0.310943539985795;0.17138477871810515;0.0;0.0;0.0;0.3579381974968376;0.0;0.43125345218476047;0.0;0.0;0.0;0.20433686000139456;0.0;0.0;0.40933448536998907;0.3233241934928611;0.0;0.0;0.17096292996392032;0.0;0.22497242388563649;0.0;0.0;0.32331653475816347;0.2733118476948745;0.0;0.4373546016077704;0.3515444251798031;0.2879911756089438;0.17583396151665054;0.0;0.35219280330719993;0.43700409202146484;0.23919202458963862;0.21067813091391915;0.16534270828927214;0.0;0.27476810114236017;0.44950560311647575;0.0;0.0;0.2953180160995597;0.24209548227033964;0.26407338144066567;0.0;0.2630458871884142;0.5475713951868186;0.0;0.3097851347786319;0.2682424411045415;0.2506056164395737;0.0;0.322176314126847;0.19508716248894942;0.0;0.15432838148805267;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.19262860666332945;0.17150594153985627;0.23884538609638717;0.23103097767967226;0.38686924677447526;0.0;0.1973712681336183;0.17698020344544685;0.18032704502354632;0.0;0.0;0.0;0.0;0.0;0.16981058104204955;0.0;0.2332283635944561;0.0;0.0;0.0;0.0;0.0;0.0;0.26299877767471636;0.3434549152059996;0.21657986972645393;0.0;0.1426808281741438;0.0;0.20476090507791914;0.0;0.0;0.0;0.4447784235503919;0.3348116502862486;0.0;0.0;0.0;0.0;0.23438921784810063;0.0;0.34622681304395697;0.0;0.0;0.3878111420442616;0.27112311428949226;0.32686712448603683;0.0;0.0;0.0;0.0;0.28160702276994914;0.24190665305346862;0.2258056155846167;0.0;0.23131600427830729;0.0;0.48735682925468987;0.21297623578852812;0.12157499858849766;0.2026230140978781;0.0;0.35012693208483886;0.0;0.16041342943545472;0.4505493996857533;0.27598591385338883;0.0;0.38491436797243495;0.22572721677517288;0.0;0.41538485951105386;0.0;0.0;0.0;0.0;0.23856043942431032;0.34625847922390657;0.24264965028908028;0.23246293097306292;0.0;0.0;0.3813828131637915;0.0;0.2069902656197459;0.0;0.3072912785395091;0.3238250283870998;0.0;0.0
GO:0006281;0.0;1.0;0.15005415577198494;0.16886060692844254;0.3033617153360335;0.0;0.0;0.3034556701145843;0.0;0.0;0.19040701149096478;0.499144848612203;0.44733997882227555;0.26239942503721736;0.0;0.0;0.18551140894192164;0.36374352816196964;0.0;0.18155731031009656;0.0;0.0;0.18202148705685434;0.34959205095044343;0.16273024741970907;0.0;0.18024316076299932;0.2629332883600684;0.0;0.16846402387056517;0.3138331991900888;0.0;0.0;0.14305510661710655;0.0;0.3276711062970912;0.45732924910005746;0.16846104796089903;0.0;0.7639435835467647;0.0;0.0;0.15434259966230346;0.0;0.1716046963634156;0.0;0.0;0.0;0.120440008237364;0.0;0.1791990188263913;0.0;0.0;0.2098672415118154;0.6941914559714046;0.0;0.0;0.0;0.3171530950036215;0.0;0.0;0.3768910960818039;0.0;0.3169168956192498;0.0;0.5096991623321535;0.0;0.0;0.9354916936420267;0.0;0.18981580818896668;0.0;0.0;0.163601913189729;0.18304491457035454;0.3840526041077298;0.4582470179070395;0.7618514613875149;0.0;0.10147580248526426;0.0;0.0;0.16391570181368523;0.0;0.0;0.0;0.14500240332194295;0.6266611665376534;0.5110799363291751;0.19552290623371194;0.3131630844497542;0.0;0.0;0.31335705147734344;0.0;0.37638075132264237;0.682597301107523;0.18939501974097314;0.4334734386743416;0.3559969454901694;0.3753205479660417;0.0;0.0;0.0;0.0;0.0;0.5110167663466272;0.0;0.5078827851035373;0.2601605387182479;0.36120704734898273;0.0;0.17288765022727048;0.1313668376351097;0.0;0.0;0.0;0.17686985140196593;0.45933102552315147;0.17720566975637989;0.19052458301624667;0.45445270675484273;0.0;0.0;0.0;0.3579414844514949;0.48078751624404864;0.0;0.5195197150873081;0.0;0.0;0.0;0.14901136566341258;0.0;0.5412283968841861;0.0;0.0;0.42256303607518036;0.0;0.21617832846803434;0.0;0.18730903239211988;0.0;0.0;0.0;0.34201679545835606;0.0;0.0;0.17737483770295384;0.0;0.5417402351890735;0.6364942254720125;0.17127704819196207;0.16301521437732466;0.0;0.177217542225571;0.0;0.0;0.49322750862650533;0.11477199552459;0.0;0.22640016042112765;0.0;0.4397927965899279;0.0;0.0;0.720377517434841;0.45593720155571343
GO:0007093;0.34457538007293625;0.15005415577198494;1.0;0.21755345229825007;0.13470821489647872;0.0;0.20024279063367775;0.0;0.2701869236292785;0.4078953117285323;0.2546839813426641;0.15913405782718734;0.18193323340119041;0.19881847372416692;0.3925063237964553;0.22013342985933437;0.24600057075446094;0.2014718885357939;0.0;0.5687128230278962;0.0;0.33169095585887926;0.23990111883201606;0.13793532537910827;0.20748324690874526;0.26137632337858907;0.23682159497915267;0.19932985154998284;0.5664994555228915;0.5159082469074083;0.0;0.0;0.24233820956900423;0.17652748071323784;0.21865629225782318;0.1807775969924141;0.14327103259778678;0.5158965134378679;0.3466140507054409;0.1493410220761349;0.6035992627298057;0.44154368344794964;0.4615399645973952;0.22572196595317853;0.2221297412317203;0.511833820113958;0.6031364444265439;0.30463262446723766;0.34090005500640536;0.21253408635242907;0.23502232827619363;0.34839793601173735;0.3083124254073783;0.0;0.1523934046111283;0.37350269663041535;0.30821895965831664;0.25150911452480873;0.1419848314270677;0.25445185373169704;0.4175014300995257;0.17492961077882233;0.6268622695170178;0.7844542923280069;0.31871570676449945;0.16322691052237592;0.5320516622308138;0.2498337544313861;0.13859619504131682;0.19865119637172993;0.25362736026960364;0.0;0.0;0.27003318830703055;0.24168207601601518;0.1328202818570576;0.12014577735132312;0.14885134781212142;0.24676125592516324;0.2788809354628469;0.3042042851187406;0.29453823514182853;0.824129029198972;0.0;0.2526865443383143;0.22716072779303856;0.264087213199168;0.12515437030911242;0.1637650745020125;0.2639206644958287;0.0;0.0;0.21815461270542522;0.0;0.2233730393387159;0.21532061430494795;0.14934434878231342;0.0;0.13446553673895556;0.19606610531732077;0.14693826098035226;0.3693423569490991;0.431812314059694;0.3055826311682993;0.0;0.2128325188994154;0.1637404398889051;0.26190484290615085;0.12429063160382108;0.19667984442603823;0.14038466236667865;0.341745725098569;0.5334825576571397;0.15906347458975847;0.0;0.0;0.0;0.3398992317453938;0.14401785488565458;0.5508970989069046;0.2548943737562349;0.1422000241638311;0.3052052409368322;0.2637255842823666;0.41179716013128076;0.1401356266962697;0.15210157973921806;0.0;0.1670682925972531;0.3567668853495567;0.3079857976810633;0.2165551814165878;0.18568637793073875;0.3258885743285262;0.1756749902728298;0.4639631530119711;0.31489888580294884;0.17997977036619628;0.2862945913679955;0.15653086617214282;0.33506387804394905;0.3935341524190121;0.3047294891399948;0.4636839807637716;0.34988924086247714;0.24797547969734982;0.370173032578591;0.3181945177897142;0.23189452138942648;0.31986776764409236;0.1758798558008151;0.1274499422975574;0.22158106169991265;0.20794672927026553;0.30385215032128604;0.5509453396555682;0.3574472816641975;0.29631090244403674;0.1568553075968614;0.13536463282645758;0.5292840942254817;0.0;0.2646825418175798;0.0;0.388071044443995;0.40811762488509107;0.1593561567039643;0.14275241928623073
GO:0060480;0.0;0.16886060692844254;0.21755345229825007;1.0;0.14967290569091685;0.2506912001648325;0.0;0.0;0.0;0.0;0.7053488061158751;0.1804469929564739;0.21033565827545486;0.23323629231424187;0.0;0.0;0.30094965223618203;0.23689635448676039;0.0;0.2906796255516952;0.0;0.0;0.2918712871588155;0.1536674696507129;0.24525132390522614;0.0;0.28732563967746916;0.23394035948650224;0.0;0.2585117329641526;0.0;0.28806975577781097;0.0;0.20314368535346744;0.0;0.20879256385482214;0.16031905519958822;0.2585047254848837;0.0;0.16795805335741248;0.0;0.0;0.22668522487336334;0.0;0.2659816936809761;0.0;0.0;0.0;0.1603797862078484;0.0;0.284681413425522;0.0;0.0;0.0;0.1718287609093329;0.0;0.0;0.0;0.15871026753401288;0.0;0.0;0.20103053149144257;0.0;0.1649207494804535;0.0;0.18572776847613592;0.0;0.0;0.15448813495851954;0.0;0.5185743574192713;0.2641807111863589;0.2767263652891261;0.24723658404960178;0.2945116929588222;0.14734583718327396;0.13190861636418846;0.16733893565294092;0.0;0.12842118922463347;0.0;0.0;0.24795390240056206;0.23243202305273275;0.0;0.0;0.20709300531854294;0.13797069001580342;0.1864248478243911;0.6449465161009594;0.0;0.0;0.0;0.0;0.0;0.25627745954499764;0.16796226119605137;0.0;0.14937337453634641;0.22945756274701667;0.16492497358849792;0.0;0.0;0.0;0.0;0.0;0.1863929249692735;0.0;0.13692173420215312;0.23029859973064198;0.1567135536420463;0.0;0.26907658607892104;0.1803562425038093;0.0;0.2643458355880802;0.2755014709600215;0.27884780054651903;0.16125476297320013;0.27968341692761567;0.617742138872074;0.1589791926095286;0.0;0.0;0.0;0.15640327938159357;0.1714578448594589;0.0;0.1907174046479893;0.0;0.0;0.0;0.21536832227324582;0.0;0.20201556504945747;0.0;0.0;0.13455057267345552;0.0;0.17710712950579732;0.0;0.3057092673027996;0.0;0.0;0.0;0.3039106769098897;0.0;0.0;0.4649006185270841;0.0;0.20228651845923623;0.1407657365801772;0.4401544866936081;0.245899162012744;0.0;0.27971299269934413;0.0;0.0;0.17752258715118113;0.15048370582568418;0.0;0.0;0.0;0.0;0.0;0.0;0.18073262082141175;0.1596699573865469
GO:0033540;0.0;0.3033617153360335;0.13470821489647872;0.14967290569091685;1.0;0.0;0.0;0.26809086769242263;0.0;0.0;0.16635892845628178;0.31714567837035207;0.42783848006711084;0.14056042270681762;0.0;0.0;0.16260967257512876;0.14188148327845462;0.0;0.1595635787397743;0.0;0.0;0.15992199602992818;0.4732421477611166;0.14483663145649261;0.0;0.15854764398905605;0.1408158264962564;0.0;0.14936124662763287;0.2753489939051097;0.0;0.0;0.12904050283873922;0.0;0.6803400862523857;0.29280222492219526;0.14935890734803176;0.0;0.30226227148351026;0.0;0.0;0.1381542868388103;0.0;0.15182482873627587;0.0;0.0;0.0;0.11034993603240116;0.0;0.1577391729464755;0.0;0.0;0.0;0.3069507380610694;0.0;0.0;0.0;0.5468364488551409;0.0;0.0;0.6398132518290992;0.0;0.112480889103905;0.0;0.3232316286016492;0.0;0.0;0.2853899019817235;0.0;0.16590745362118714;0.0;0.0;0.1455267354356828;0.16071145908009712;0.30645962152960887;0.5369865420705574;0.3015058921298729;0.0;0.09421733831614486;0.0;0.0;0.14577496527879616;0.0;0.0;0.0;0.1306228389089886;0.2634384525270268;0.3240261030945174;0.17025096323072708;0.32355372727647896;0.0;0.0;0.32373010438508354;0.0;0.33391540818717286;0.3022674060800599;0.0;0.2787465149603989;0.13917913390577427;0.628654866961885;0.0;0.0;0.0;0.0;0.0;0.3239897648179325;0.0;0.2919625500287256;0.13948811560487767;0.4166067943661712;0.0;0.15282820590088622;0.11945343549457366;0.0;0.0;0.0;0.15593164471900697;0.39480223708004375;0.15619260098038232;0.16644867022818605;0.2911138975071061;0.0;0.0;0.0;0.34022771885117514;0.30650445293859496;0.0;0.3288735765377053;0.0;0.0;0.0;0.13386721144505356;0.0;0.3412743785315904;0.0;0.0;0.3077452123147165;0.0;0.11801943347557116;0.0;0.16398920212888082;0.0;0.0;0.0;0.2995707183940052;0.0;0.0;0.1563240128533997;0.0;0.3415655877872008;0.2672561067452502;0.1515683032034283;0.1450623312437864;0.0;0.15620182464044371;0.0;0.0;0.4213222816549455;0.10557300390184378;0.0;0.0;0.0;0.2683571115909986;0.0;0.0;0.3174779331611864;0.2919854134062863
GO:0008584;0.0;0.0;0.0;0.2506912001648325;0.0;1.0;0.0;0.0;0.0;0.0;0.31301069745364835;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3457239436713691;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4303030140370525;0.31187746686706114;0.3295134128944553;0.22459739712182622;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.26856936170313034;0.0;0.0;0.0;0.0;0.0;0.32982365614309367;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.312107624856914;0.5685608658313248;0.0;0.0;0.0;0.3133874629630695;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.27381641488511643;0.0;0.0;0.0;0.5339361414406176;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0043508;0.14083307114154295;0.0;0.20024279063367775;0.0;0.0;0.0;1.0;0.0;0.2786782104566353;0.1864960336299837;0.0;0.0;0.0;0.0;0.15344341151345342;0.23104957970093123;0.0;0.0;0.0;0.1614099652201337;0.0;0.14318061937315546;0.0;0.0;0.0;0.2522953760047204;0.0;0.0;0.21387347408799282;0.15568445518517326;0.0;0.0;0.40785146319203647;0.0;0.10220824407591453;0.0;0.0;0.15568310245670092;0.14589202755597575;0.0;0.21895429453107387;0.16040775780363747;0.14897991027309143;0.2578524536761171;0.0;0.160510471745789;0.21889336437116322;0.27119528934900233;0.15319989027407988;0.22672320338084276;0.0;0.14620712529665586;0.13864252779540767;0.0;0.0;0.15045087765647838;0.3190571210142445;0.08581590427366317;0.0;0.1576425515308842;0.1571207373810067;0.0;0.1915756579488464;0.1796485233189596;0.22270914923323135;0.0;0.1554812565784205;0.21226306932740155;0.0;0.4568597894606059;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.38710582314869363;0.1175241407469876;0.233189186468221;0.22977325935381865;0.20946784094189574;0.0;0.24810771431341988;0.27493364972839035;0.07456284563173207;0.0;0.0;0.0;0.0;0.0;0.20756305613653636;0.0;0.13575991969803555;0.0;0.0;0.0;0.0;0.0;0.0;0.39207214626584536;0.21398124246261213;0.43237109394675166;0.0;0.43148515587098235;0.0;0.2031957045066656;0.0;0.0;0.0;0.14502247221445658;0.15766876295556204;0.0;0.0;0.0;0.0;0.08242369660691308;0.0;0.15955593927644893;0.0;0.0;0.11782667411642372;0.1251517067430075;0.2912060423506425;0.0;0.0;0.0;0.0;0.14766072343612813;0.1631096931163901;0.1342035767062533;0.0;0.40752616625083793;0.0;0.1573854895256356;0.5309588467677219;0.06214499359106427;0.34330919112025815;0.0;0.12202466634940742;0.0;0.7095974979908426;0.163239397761726;0.14646910934434812;0.0;0.14492918110150124;0.44163582302797205;0.0;0.14093195720160664;0.0;0.0;0.0;0.0;0.27088033973555703;0.15956106207701048;0.13876185875906227;0.2677909808688811;0.0;0.0;0.20834290850666434;0.0;0.3415981410525098;0.0;0.15276087879523956;0.15577282743537904;0.0;0.0
GO:0009312;0.0;0.3034556701145843;0.0;0.0;0.26809086769242263;0.0;0.0;1.0;0.0;0.0;0.0;0.32492354130165474;0.3806999447317906;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3817179187081027;0.0;0.0;0.0;0.0;0.0;0.0;0.5468866719217098;0.0;0.0;0.0;0.0;0.2897165910258221;0.3986948403977048;0.0;0.0;0.41823976747372077;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.30894708335720034;0.0;0.0;0.0;0.3945851641188828;0.0;0.0;0.36327358979228624;0.0;0.0;0.0;0.3347364544129164;0.0;0.0;0.2769439625852863;0.0;0.0;0.0;0.0;0.0;0.0;0.45020412818842565;0.23555592255620728;0.3006425790798629;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3418077203306845;0.33603312370672644;0.0;0.6076569656462542;0.0;0.0;0.6082852198644203;0.0;0.3585484575355918;0.3017947340623125;0.0;0.2675406431568771;0.0;0.29618293617494745;0.0;0.0;0.0;0.0;0.0;0.33597373573805744;0.0;0.2447173619922722;0.0;0.3894876737512058;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2894095253898947;0.0;0.0;0.28521421625468846;0.0;0.0;0.0;0.3233014536299724;0.3082605415466821;0.0;0.3440247704358537;0.0;0.0;0.0;0.0;0.0;0.36511568057931193;0.0;0.0;0.18433442527147698;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2961105075926593;0.0;0.0;0.0;0.0;0.3656224947951976;0.3488986653238912;0.0;0.0;0.0;0.0;0.0;0.0;0.31949697829527063;0.0;0.0;0.0;0.0;0.4969637793174747;0.0;0.0;0.3254538484905894;0.2864873848184326
GO:0051091;0.21141171756594643;0.0;0.2701869236292785;0.0;0.0;0.0;0.2786782104566353;0.0;1.0;0.2379153612253319;0.0;0.0;0.0;0.0;0.3488524486988723;0.7273318713026667;0.0;0.0;0.0;0.32407801791383245;0.0;0.25810062699797154;0.0;0.0;0.0;0.7983367580978183;0.0;0.0;0.30608485302563765;0.3017937485947026;0.0;0.0;0.38254310779878714;0.0;0.21881716739795554;0.0;0.0;0.3017886653962379;0.3174273584248031;0.0;0.32060584006755766;0.38044494896129905;0.2775783216891446;0.22470588315500067;0.0;0.3809313369455894;0.3204277223257475;0.6041494411081112;0.2599126749394161;0.7061018741556365;0.0;0.3186845289269517;0.2437201576493097;0.0;0.0;0.2827286628016515;0.6972650129142541;0.1773518857476657;0.0;0.24664811150067756;0.30723810227694487;0.0;0.24942171791726458;0.22311890505931117;0.5325907008967813;0.0;0.3010311095227122;0.24446558141269106;0.0;0.3657144852794654;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4387850406709193;0.2201557053818191;0.2866395673144178;0.27937174494190503;0.29401492498292475;0.0;0.5586775331606937;0.5797032898571164;0.1351869897889079;0.0;0.0;0.0;0.0;0.0;0.4919339158958909;0.0;0.2675492210373518;0.0;0.0;0.0;0.0;0.0;0.0;0.21967465338898118;0.31491855452037654;0.5376296149592046;0.0;0.3950762303763671;0.0;0.3786077673821234;0.0;0.0;0.0;0.2641480714956221;0.3093405908389724;0.0;0.0;0.0;0.0;0.16344971736061775;0.0;0.3166895266680056;0.0;0.0;0.28324214363814687;0.17140096540413835;0.35611265525457847;0.0;0.0;0.0;0.0;0.32454304699922226;0.289456867889301;0.2615447600713481;0.0;0.5313761088198707;0.0;0.2629288069827304;0.47143008251546803;0.09923532211457584;0.6651956458513631;0.0;0.24313681377241564;0.0;0.3120089700042921;0.3315381085092204;0.31973323234473683;0.0;0.22316211679653233;0.3821993293206391;0.0;0.29821568123463915;0.0;0.0;0.0;0.0;0.901204785952953;0.3167097085950883;0.2901381469765566;0.8833784907127212;0.0;0.0;0.2910070302531323;0.0;0.617030367003495;0.0;0.34589651492991874;0.3021260080213599;0.0;0.0
GO:0045647;0.5402219085598504;0.0;0.4078953117285323;0.0;0.0;0.0;0.1864960336299837;0.0;0.2379153612253319;1.0;0.0;0.0;0.0;0.0;0.3278942548944769;0.19822652827967968;0.0;0.0;0.0;0.36655446601247654;0.0;0.4711983481743326;0.0;0.0;0.0;0.23105705851818029;0.0;0.0;0.4687499632011975;0.3383004806948542;0.0;0.0;0.22249063687880066;0.0;0.19111651719127123;0.0;0.0;0.3382940933416491;0.29523891859904616;0.0;0.49386738436003874;0.3614263222252268;0.3081647377933728;0.20274668797983608;0.0;0.3619481976606721;0.49355750378116736;0.30984340945417155;0.2751185424248461;0.192043201547048;0.0;0.29653219289571797;0.4424384841281214;0.0;0.0;0.36479420552411745;0.2669171557376783;0.2696459396832098;0.0;0.2636283734225752;0.5164228558851041;0.0;0.37347690988035415;0.33067725870173637;0.27475346530599004;0.0;0.33734246843664456;0.22199057463564595;0.0;0.18063638948459457;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2195614255423536;0.23259652605759845;0.26390107259078244;0.2565958604887944;0.448094046614237;0.0;0.2242400658762971;0.20390671238407956;0.1989269465034437;0.0;0.0;0.0;0.0;0.0;0.1966205269646939;0.0;0.1835613145206819;0.0;0.0;0.0;0.0;0.0;0.0;0.3251375039455091;0.354879864083065;0.2746842202646952;0.0;0.1683802768779047;0.0;0.2314699778106974;0.0;0.0;0.0;0.5738713426306453;0.3478123468666474;0.0;0.0;0.0;0.0;0.24581540512719074;0.0;0.35713041048573774;0.0;0.0;0.3102174121066713;0.23132956727758908;0.34124870053462075;0.0;0.0;0.0;0.0;0.3025732537870625;0.26674227739356654;0.17893198856028936;0.0;0.29098187110791585;0.0;0.3722508839526585;0.239423155372833;0.1421262168699387;0.2589994270062376;0.0;0.2744592637562467;0.0;0.21002979384895584;0.49903488016933384;0.29761184124456624;0.0;0.3093622837298481;0.28483224611695523;0.0;0.5830649737888368;0.0;0.0;0.0;0.0;0.2636360229567415;0.35715607614540207;0.26743012922756765;0.2579401926490649;0.0;0.0;0.44297745030779584;0.0;0.23363694598795526;0.0;0.3247932398741165;0.3387180416709032;0.0;0.0
