;GO:0016525;GO:0006281;GO:0007093;GO:0060480;GO:0033540;GO:0008584;GO:0043508;GO:0009312;GO:0051091;GO:0045647;GO:0060644;GO:0007258;GO:0006687;GO:0071493;GO:0110024;GO:0045893;GO:0032287;GO:0034620;GO:0015701;GO:0035556;GO:0065002;GO:0060998;GO:0007268;GO:0006699;GO:0006334;GO:0045898;GO:0048251;GO:0071486;GO:0050680;GO:0048013;GO:0016126;GO:0035264;GO:0007194;GO:0014047;GO:0090314;GO:0043649;GO:0015012;GO:0008286;GO:0031340;GO:0006260;GO:0008285;GO:0008284;GO:0007196;GO:1902177;GO:0043486;GO:0045787;GO:0060548;GO:0043488;GO:0038096;GO:0045944;GO:0043248;GO:0043525;GO:0048814;GO:0009414;GO:0000398;GO:0030888;GO:0006417;GO:0010918;GO:0046360;GO:0002218;GO:0033599;GO:0036109;GO:2000134;GO:0031573;GO:0010870;GO:0016579;GO:0007088;GO:0090200;GO:0000724;GO:0043410;GO:0048666;GO:0048704;GO:0060535;GO:0007127;GO:0097473;GO:0005978;GO:0006548;GO:0006306;GO:0001934;GO:0034314;GO:0030511;GO:2001235;GO:0007050;GO:0060441;GO:0061014;GO:0045727;GO:1902110;GO:0006366;GO:0006487;GO:0045444;GO:0006006;GO:1990173;GO:0045725;GO:0006004;GO:0043547;GO:0006637;GO:0000380;GO:0051607;GO:0016573;GO:0071456;GO:0009071;GO:2001243;GO:0051966;GO:0017148;GO:0016973;GO:0045737;GO:0006493;GO:0032000;GO:0006098;GO:0031670;GO:0009088;GO:0045577;GO:0007188;GO:0043312;GO:0006897;GO:0097186;GO:0060435;GO:0097298;GO:0043161;GO:0007218;GO:0030219;GO:0018063;GO:0032915;GO:0010748;GO:0010469;GO:0030210;GO:0018105;GO:0072659;GO:0016567;GO:0030335;GO:2001275;GO:0090630;GO:0008089;GO:0045225;GO:0043687;GO:0042754;GO:0000079;GO:0001695;GO:0000122;GO:0032869;GO:0051223;GO:0000086;GO:0031658;GO:2000736;GO:0032464;GO:0016311;GO:0045071;GO:2000059;GO:0060574;GO:0045639;GO:0006471;GO:0006351;GO:0007286;GO:0030041;GO:0006355;GO:0007200;GO:0045876;GO:0006357;GO:0006511;GO:0006625;GO:0043066;GO:0045087;GO:0099578;GO:0006508;GO:0043065;GO:0010847;GO:0031124;GO:0070932
GO:0016525;1.0;0.0;0.052693550906917914;0.0;0.0;0.0;0.0016126000802902012;0.0;0.01607420616731041;0.0658516969361823;0.0;0.0;0.0;0.0;0.029554417434315347;0.0036965828264998394;0.0;0.0;0.0;0.029554417434315347;0.0;0.15277603671478152;0.0;0.0;0.0;0.00834408123570141;0.0;0.0;0.052693550906917914;0.029554417434315347;0.0;0.0;0.0012668669124361691;0.0;0.008984275281393256;0.0;0.0;0.029554417434315347;0.029554417434315347;0.0;0.052693550906917914;0.029554417434315347;0.029554417434315347;0.0044756574728065275;0.0;0.029554417434315347;0.052693550906917914;0.015823448938401423;0.011610595646515674;0.0030507844279764845;0.0;0.02489867114273423;0.150381222301413;0.0;0.0;0.029554417434315347;0.020984282597757187;0.022284038081440277;0.0;0.01680759375871981;0.15277603671478152;0.0;0.02237380636928302;0.028704939631023146;0.01726828828038654;0.0;0.029554417434315347;0.009457011682041659;0.0;0.004390224708493307;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.006734762386770798;0.009266040764935368;0.012927557205178332;0.015322525485064908;0.052693550906917914;0.0;0.006479901661245286;0.004324555077440436;0.022284038081440277;0.0;0.0;0.0;0.0;0.0;0.004125833477422777;0.0;0.022284038081440277;0.0;0.0;0.0;0.0;0.0;0.0;0.013329114921993348;0.029554417434315347;0.0071432701679223;0.0;0.0015283326934359795;0.0;0.006179946280851444;0.0;0.0;0.0;0.15277603671478152;0.029554417434315347;0.0;0.0;0.0;0.0;0.022284038081440277;0.0;0.029554417434315347;0.0;0.0;0.052693550906917914;0.01220493352994217;0.029554417434315347;0.0;0.0;0.0;0.0;0.028397541039609942;0.02119352998143236;0.022284038081440277;0.0;0.008226308904547598;0.0;0.052693550906917914;0.013108607716313777;0.004213332971363675;0.004334589126298501;0.0;0.029554417434315347;0.0;0.0023908900313938386;0.052693550906917914;0.025481608598583536;0.0;0.052693550906917914;0.004782947801420775;0.0;0.08297996565726103;0.0;0.0;0.0;0.0;0.018202173841719307;0.029554417434315347;0.017242656231040033;0.01796646261110231;0.0;0.0;0.052693550906917914;0.0;0.016038894372766305;0.0;0.029554417434315347;0.029554417434315347;0.0;0.0
GO:0006281;0.0;1.0;0.018671662510121284;0.018671662510121284;0.02374687830173118;0.0;0.0;0.03555354587640775;0.0;0.0;0.018671662510121284;0.16843160713183167;0.07654579203844651;0.07503791901008591;0.0;0.0;0.018671662510121284;0.1412395729111794;0.0;0.018671662510121284;0.0;0.0;0.018671662510121284;0.027981107651472655;0.018671662510121284;0.0;0.018671662510121284;0.07503791901008591;0.0;0.018671662510121284;0.045585842876839824;0.0;0.0;0.018671662510121284;0.0;0.06496711106820192;0.061504330701371575;0.018671662510121284;0.0;0.5714305029949946;0.0;0.0;0.018671662510121284;0.0;0.018671662510121284;0.0;0.0;0.0;0.008754391999442696;0.0;0.018671662510121284;0.0;0.0;0.034045672848047145;0.31163317026989235;0.0;0.0;0.0;0.02483857481275862;0.0;0.0;0.06439454882625498;0.0;0.1045388906582459;0.0;0.15027200014179495;0.0;0.0;0.34639696105847784;0.0;0.018671662510121284;0.0;0.0;0.018671662510121284;0.018671662510121284;0.03814873983103129;0.02774181652572362;0.3729645040594737;0.0;0.00698659703676819;0.0;0.0;0.018671662510121284;0.0;0.0;0.0;0.018671662510121284;0.19036456900037046;0.1688151985619076;0.018671662510121284;0.03555354587640775;0.0;0.0;0.03555354587640775;0.0;0.07654579203844651;0.31067622426146246;0.034045672848047145;0.046263665486164965;0.1412395729111794;0.029357076205854447;0.0;0.0;0.0;0.0;0.0;0.1688151985619076;0.0;0.17511747149701656;0.07503791901008591;0.024545536014946284;0.0;0.018671662510121284;0.018671662510121284;0.0;0.0;0.0;0.018671662510121284;0.08739424272200838;0.018671662510121284;0.018671662510121284;0.15214476601277785;0.0;0.0;0.0;0.03323113797219458;0.0898767774200086;0.0;0.1688151985619076;0.0;0.0;0.0;0.018671662510121284;0.0;0.1688151985619076;0.0;0.0;0.03341146634040978;0.0;0.029246928664387137;0.0;0.018671662510121284;0.0;0.0;0.0;0.07654579203844651;0.0;0.0;0.018671662510121284;0.0;0.1688151985619076;0.19117819692555485;0.018671662510121284;0.018671662510121284;0.0;0.018671662510121284;0.0;0.0;0.1688151985619076;0.014185560839465724;0.0;0.034045672848047145;0.0;0.05666149744573353;0.0;0.0;0.31295289734207443;0.08487357019864712
GO:0007093;0.052693550906917914;0.018671662510121284;1.0;0.025470402488958214;0.005792528700939487;0.0;0.00484730833218671;0.0;0.028659235217474235;0.06654369696141468;0.025470402488958214;0.018629235703855225;0.02283537593488651;0.025470402488958214;0.06022813034453687;0.006590760104905454;0.025470402488958214;0.025470402488958214;0.0;0.06022813034453687;0.0;0.06022813034453687;0.025470402488958214;0.006825375828174302;0.025470402488958214;0.014876939135818777;0.025470402488958214;0.025470402488958214;0.18103950360622761;0.06022813034453687;0.0;0.0;0.0038080703427215423;0.02084715861051987;0.008984275281393256;0.015847297935251074;0.006802634570522786;0.06022813034453687;0.053222029639177514;0.013246612071541642;0.18103950360622761;0.06022813034453687;0.06022813034453687;0.007979798126943582;0.025470402488958214;0.09107083769897623;0.18103950360622761;0.028212151838613534;0.02070091600076522;0.005439344724655555;0.025470402488958214;0.044392666452999496;0.051867562238033654;0.0;0.00944096172201289;0.06022813034453687;0.0374135733098975;0.025470402488958214;0.00605882405532217;0.01680759375871981;0.06022813034453687;0.015707633968585183;0.17207120821870858;0.4766035317187443;0.030788203814207965;0.016620707704463857;0.10769075978749844;0.01686121973483331;0.006467807151415524;0.007827477218386933;0.025470402488958214;0.0;0.0;0.05591837406592018;0.025470402488958214;0.004219409160901019;0.0034983651738740005;0.008645873952889143;0.012007631192934867;0.016520731353878212;0.023048970435878887;0.027319038802380607;0.32030554791793797;0.0;0.011553231553879228;0.007710392655491601;0.02429464023058931;0.00576711589335461;0.019071515051579176;0.025470402488958214;0.0;0.0;0.007356085324951006;0.0;0.025470402488958214;0.025470402488958214;0.009411970935737491;0.0;0.0051169536617405925;0.025470402488958214;0.007161013095590025;0.040065934890952865;0.06022813034453687;0.02147192811611379;0.0;0.004120338685436511;0.019071515051579176;0.011018431159260893;0.006124724384912126;0.025470402488958214;0.00598734368534474;0.06022813034453687;0.06022813034453687;0.02535564089323761;0.0;0.0;0.0;0.025470402488958214;0.009666166431303604;0.06022813034453687;0.025470402488958214;0.016827843392490445;0.03378036353319867;0.01220493352994217;0.06022813034453687;0.008106005261954125;0.009940745085628543;0.0;0.02189487228911387;0.050630917619257816;0.037786647409169885;0.025470402488958214;0.025470402488958214;0.024727430057537497;0.022277141600228655;0.06022813034453687;0.035340409661924;0.004213332971363675;0.013029324657314607;0.007277504342912662;0.03378036353319867;0.0856589096286086;0.012715243477362973;0.06022813034453687;0.04543200497400446;0.025470402488958214;0.06022813034453687;0.014377044261382395;0.025470402488958214;0.02862038536042303;0.022277141600228655;0.005791764842280598;0.025470402488958214;0.025470402488958214;0.032453259350379245;0.06022813034453687;0.04648567933773197;0.03203300198081839;0.021522845044846663;0.014185560839465724;0.18103950360622761;0.0;0.028596276647996095;0.0;0.06022813034453687;0.06022813034453687;0.00948094300115973;0.009387369575003503
GO:0060480;0.0;0.018671662510121284;0.025470402488958214;1.0;0.005792528700939487;0.0443182310189431;0.0;0.0;0.0;0.0;0.2772604214412229;0.018629235703855225;0.02283537593488651;0.04084403161000327;0.0;0.0;0.0443182310189431;0.02733660213232617;0.0;0.0443182310189431;0.0;0.0;0.0443182310189431;0.006825375828174302;0.03221816962578776;0.0;0.0443182310189431;0.04050349384654806;0.0;0.0443182310189431;0.0;0.0443182310189431;0.0;0.02084715861051987;0.0;0.015847297935251074;0.006802634570522786;0.0443182310189431;0.0;0.013246612071541642;0.0;0.0;0.03960560530115825;0.0;0.0443182310189431;0.0;0.0;0.0;0.008754391999442696;0.0;0.0443182310189431;0.0;0.0;0.0;0.00944096172201289;0.0;0.0;0.0;0.00605882405532217;0.0;0.0;0.015707633968585183;0.0;0.01213928378053538;0.0;0.016620707704463857;0.0;0.0;0.006467807151415524;0.0;0.18229796836926648;0.0443182310189431;0.0443182310189431;0.0443182310189431;0.0443182310189431;0.004219409160901019;0.0034983651738740005;0.008645873952889143;0.0;0.00698659703676819;0.0;0.0;0.0443182310189431;0.0443182310189431;0.0;0.0;0.02429464023058931;0.00576711589335461;0.019071515051579176;0.21958694143473925;0.0;0.0;0.0;0.0;0.0;0.04361207239496776;0.009411970935737491;0.0;0.0051169536617405925;0.03261432980414468;0.007161013095590025;0.0;0.0;0.0;0.0;0.0;0.019071515051579176;0.0;0.006124724384912126;0.030226281082682414;0.00598734368534474;0.0;0.0443182310189431;0.02535564089323761;0.0;0.0443182310189431;0.0443182310189431;0.0443182310189431;0.009666166431303604;0.0443182310189431;0.21958694143473925;0.016827843392490445;0.0;0.0;0.0;0.008106005261954125;0.009940745085628543;0.0;0.02189487228911387;0.0;0.0;0.0;0.0443182310189431;0.0;0.022277141600228655;0.0;0.0;0.004213332971363675;0.0;0.007277504342912662;0.0;0.0443182310189431;0.0;0.0;0.0;0.0443182310189431;0.0;0.0;0.18229796836926648;0.0;0.022277141600228655;0.005791764842280598;0.18229796836926648;0.0443182310189431;0.0;0.0443182310189431;0.0;0.0;0.021522845044846663;0.014185560839465724;0.0;0.0;0.0;0.0;0.0;0.0;0.00948094300115973;0.009387369575003503
GO:0033540;0.0;0.02374687830173118;0.005792528700939487;0.005792528700939487;1.0;0.0;0.0;0.011029812412131204;0.0;0.0;0.005792528700939487;0.02374687830173118;0.06540241058424784;0.005792528700939487;0.0;0.0;0.005792528700939487;0.005792528700939487;0.0;0.005792528700939487;0.0;0.0;0.005792528700939487;0.0790793182332995;0.005792528700939487;0.0;0.005792528700939487;0.005792528700939487;0.0;0.005792528700939487;0.031690207200981466;0.0;0.0;0.005792528700939487;0.0;0.2756841849580903;0.02374687830173118;0.005792528700939487;0.0;0.02374687830173118;0.0;0.0;0.005792528700939487;0.0;0.005792528700939487;0.0;0.0;0.0;0.005792528700939487;0.0;0.005792528700939487;0.0;0.0;0.0;0.02374687830173118;0.0;0.0;0.0;0.15658098894660447;0.0;0.0;0.15658098894660447;0.0;0.005792528700939487;0.0;0.02374687830173118;0.0;0.0;0.02374687830173118;0.0;0.005792528700939487;0.0;0.0;0.005792528700939487;0.005792528700939487;0.01729776424463381;0.16649791506234557;0.02374687830173118;0.0;0.005792528700939487;0.0;0.0;0.005792528700939487;0.0;0.0;0.0;0.005792528700939487;0.02364269671193163;0.02374687830173118;0.005792528700939487;0.011029812412131204;0.0;0.0;0.011029812412131204;0.0;0.02374687830173118;0.02374687830173118;0.0;0.020977310973227234;0.005792528700939487;0.2756841849580903;0.0;0.0;0.0;0.0;0.0;0.02374687830173118;0.0;0.02374687830173118;0.005792528700939487;0.07311744980817028;0.0;0.005792528700939487;0.005792528700939487;0.0;0.0;0.0;0.005792528700939487;0.045125874384205115;0.005792528700939487;0.005792528700939487;0.02374687830173118;0.0;0.0;0.0;0.06834795506806919;0.02374687830173118;0.0;0.02374687830173118;0.0;0.0;0.0;0.005792528700939487;0.0;0.02374687830173118;0.0;0.0;0.03282337373205414;0.0;0.005792528700939487;0.0;0.005792528700939487;0.0;0.0;0.0;0.02374687830173118;0.0;0.0;0.005792528700939487;0.0;0.02374687830173118;0.023743746809502336;0.005792528700939487;0.005792528700939487;0.0;0.005792528700939487;0.0;0.0;0.045125874384205115;0.005792528700939487;0.0;0.0;0.0;0.011029812412131204;0.0;0.0;0.02374687830173118;0.02374687830173118
GO:0008584;0.0;0.0;0.0;0.0443182310189431;0.0;1.0;0.0;0.0;0.0;0.0;0.06607111804024644;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.06607111804024644;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.12672175318334397;0.06607111804024644;0.06607111804024644;0.04656913810645916;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.06293476764642246;0.0;0.0;0.0;0.0;0.0;0.06607111804024644;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.06607111804024644;0.23018548011744744;0.0;0.0;0.0;0.06607111804024644;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.06607111804024644;0.0;0.0;0.0;0.19907273819633037;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0043508;0.0016126000802902012;0.0;0.00484730833218671;0.0;0.0;0.0;1.0;0.0;0.00461253215244131;0.00484730833218671;0.0;0.0;0.0;0.0;0.0016126000802902012;0.00461253215244131;0.0;0.0;0.0;0.0016126000802902012;0.0;0.0016126000802902012;0.0;0.0;0.0;0.00461253215244131;0.0;0.0;0.00484730833218671;0.0016126000802902012;0.0;0.0;0.023304692078364747;0.0;9.044646850939408E-4;0.0;0.0;0.0016126000802902012;0.0016126000802902012;0.0;0.00484730833218671;0.0016126000802902012;0.0016126000802902012;0.008475984234954938;0.0;0.0016126000802902012;0.00484730833218671;0.00461253215244131;0.0016126000802902012;0.00461253215244131;0.0;0.0016126000802902012;0.0016126000802902012;0.0;0.0;0.0016126000802902012;0.014330675424007096;6.819665970661072E-4;0.0;0.002359695879211997;0.0016126000802902012;0.0;0.00484730833218671;0.00484730833218671;0.00461253215244131;0.0;0.0016126000802902012;0.007612678651809766;0.0;0.03180493813529565;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.02208071940127385;0.0016126000802902012;0.007612678651809766;0.007612678651809766;0.00484730833218671;0.0;0.00461253215244131;0.014330675424007096;6.819665970661072E-4;0.0;0.0;0.0;0.0;0.0;0.00461253215244131;0.0;0.001370799156315836;0.0;0.0;0.0;0.0;0.0;0.0;0.0384679014521214;0.002438409416751657;0.058609504581623124;0.0;0.032735361586456756;0.0;0.00461253215244131;0.0;0.0;0.0;0.0016126000802902012;0.0016126000802902012;0.0;0.0;0.0;0.0;6.819665970661072E-4;0.0;0.0016126000802902012;0.0;0.0;9.044646850939408E-4;0.0016126000802902012;0.007612678651809766;0.0;0.0;0.0;0.0;0.0016126000802902012;0.0016126000802902012;0.001370799156315836;0.0;0.026233387702544717;0.0;0.0016126000802902012;0.032735361586456756;6.819665970661072E-4;0.016273677988950085;0.0;9.044646850939408E-4;0.0;0.25576131963319637;0.0016126000802902012;0.0016126000802902012;0.0;0.0016126000802902012;0.058609504581623124;0.0;0.0016126000802902012;0.0;0.0;0.0;0.0;0.00461253215244131;0.0016126000802902012;0.0016126000802902012;0.00461253215244131;0.0;0.0;0.00484730833218671;0.0;0.014330675424007096;0.0;0.0016126000802902012;0.0016126000802902012;0.0;0.0
GO:0009312;0.0;0.03555354587640775;0.0;0.0;0.011029812412131204;0.0;0.0;1.0;0.0;0.0;0.0;0.03547275910114592;0.043481858429366575;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.039677221831232005;0.0;0.0;0.0;0.0;0.0;0.0;0.08732520539990017;0.0;0.0;0.0;0.0;0.030175547241850346;0.0395450225286184;0.0;0.0;0.0770051025623041;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.017976956552157305;0.0;0.0;0.0;0.03522110901015769;0.0;0.0;0.02990960684990907;0.0;0.0;0.0;0.031648231299633796;0.0;0.0;0.01231564024644082;0.0;0.0;0.0;0.0;0.0;0.0;0.05478407243027699;0.006661393254849941;0.016462994447283753;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.03352535338530387;0.03631492294547244;0.0;0.26735828188689625;0.0;0.0;0.26735828188689625;0.0;0.08304369339469334;0.017921753902190984;0.0;0.009743419829998044;0.0;0.013635604621581327;0.0;0.0;0.0;0.0;0.0;0.03631492294547244;0.0;0.011662361039424767;0.0;0.03480557987775947;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.018405778889697428;0.0;0.0;0.03204264760738907;0.0;0.0;0.0;0.04712176692396406;0.01892861635946919;0.0;0.0416910034640532;0.0;0.0;0.0;0.0;0.0;0.04241889951950595;0.0;0.0;0.008022795346089764;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.048869371899081575;0.0;0.0;0.0;0.0;0.04241889951950595;0.03366864246403945;0.0;0.0;0.0;0.0;0.0;0.0;0.04098260978517442;0.0;0.0;0.0;0.0;0.09305435200659817;0.0;0.0;0.01805308669009088;0.01787490935329215
GO:0051091;0.01607420616731041;0.0;0.028659235217474235;0.0;0.0;0.0;0.00461253215244131;0.0;1.0;0.022137723393876898;0.0;0.0;0.0;0.0;0.028659235217474235;0.20308468969938562;0.0;0.0;0.0;0.028659235217474235;0.0;0.028659235217474235;0.0;0.0;0.0;0.4584112484727956;0.0;0.0;0.028659235217474235;0.028659235217474235;0.0;0.0;0.008613736697777905;0.0;0.016018362329557684;0.0;0.0;0.028659235217474235;0.028659235217474235;0.0;0.028659235217474235;0.028659235217474235;0.028659235217474235;0.007979798126943582;0.0;0.028659235217474235;0.028659235217474235;0.25006662457710094;0.02070091600076522;0.16760549890937199;0.0;0.028659235217474235;0.028659235217474235;0.0;0.0;0.028659235217474235;0.26931299672090747;0.012119955440074649;0.0;0.028659235217474235;0.028659235217474235;0.0;0.02237380636928302;0.028659235217474235;0.09825751221882538;0.0;0.028659235217474235;0.01686121973483331;0.0;0.022388992028212155;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.03434551791793423;0.016520731353878212;0.023048970435878887;0.027319038802380607;0.028659235217474235;0.0;0.10240543274270905;0.07245514181338727;0.012119955440074649;0.0;0.0;0.0;0.0;0.0;0.06912568908291479;0.0;0.024361933213906894;0.0;0.0;0.0;0.0;0.0;0.0;0.013329114921993348;0.028659235217474235;0.0671258489876674;0.0;0.007794095009213655;0.0;0.031516101612996346;0.0;0.0;0.0;0.028659235217474235;0.028659235217474235;0.0;0.0;0.0;0.0;0.012119955440074649;0.0;0.028659235217474235;0.0;0.0;0.028659235217474235;0.006845424043241443;0.028659235217474235;0.0;0.0;0.0;0.0;0.028659235217474235;0.028659235217474235;0.024361933213906894;0.0;0.07730324575042338;0.0;0.01607420616731041;0.06685045371225033;0.004213332971363675;0.13356406145528946;0.0;0.01607420616731041;0.0;0.006838680760062285;0.028659235217474235;0.028659235217474235;0.0;0.01607420616731041;0.013680701611729825;0.0;0.02862038536042303;0.0;0.0;0.0;0.0;0.8830926628372483;0.028659235217474235;0.028659235217474235;0.8830926628372483;0.0;0.0;0.028659235217474235;0.0;0.26872137029100607;0.0;0.028659235217474235;0.028659235217474235;0.0;0.0
GO:0045647;0.0658516969361823;0.0;0.06654369696141468;0.0;0.0;0.0;0.00484730833218671;0.0;0.022137723393876898;1.0;0.0;0.0;0.0;0.0;0.022137723393876898;0.006590760104905454;0.0;0.0;0.0;0.022137723393876898;0.0;0.06487658397895092;0.0;0.0;0.0;0.014876939135818777;0.0;0.0;0.06654369696141468;0.022137723393876898;0.0;0.0;0.0038080703427215423;0.0;0.008984275281393256;0.0;0.0;0.022137723393876898;0.022137723393876898;0.0;0.06654369696141468;0.022137723393876898;0.022137723393876898;0.007979798126943582;0.0;0.022137723393876898;0.06654369696141468;0.022137723393876898;0.02070091600076522;0.005439344724655555;0.0;0.022137723393876898;0.06487658397895092;0.0;0.0;0.022137723393876898;0.022137723393876898;0.012416462868175203;0.0;0.022137723393876898;0.06418458395371854;0.0;0.06654369696141468;0.06654369696141468;0.022137723393876898;0.0;0.022137723393876898;0.01686121973483331;0.0;0.007827477218386933;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.012007631192934867;0.016520731353878212;0.022137723393876898;0.022137723393876898;0.06654369696141468;0.0;0.011553231553879228;0.007710392655491601;0.012416462868175203;0.0;0.0;0.0;0.0;0.0;0.007356085324951006;0.0;0.009362016084605497;0.0;0.0;0.0;0.0;0.0;0.0;0.040065934890952865;0.022137723393876898;0.02147192811611379;0.0;0.0027249150406453066;0.0;0.011018431159260893;0.0;0.0;0.0;0.1061280929286012;0.022137723393876898;0.0;0.0;0.0;0.0;0.012416462868175203;0.0;0.022137723393876898;0.0;0.0;0.022137723393876898;0.01220493352994217;0.022137723393876898;0.0;0.0;0.0;0.0;0.022137723393876898;0.022137723393876898;0.009362016084605497;0.0;0.024727430057537497;0.0;0.022137723393876898;0.022137723393876898;0.005587972923505165;0.013029324657314607;0.0;0.012416462868175203;0.0;0.007186767080175197;0.06487658397895092;0.022137723393876898;0.0;0.022137723393876898;0.014377044261382395;0.0;0.18673960671758658;0.0;0.0;0.0;0.0;0.022137723393876898;0.022137723393876898;0.022137723393876898;0.022137723393876898;0.0;0.0;0.06654369696141468;0.0;0.022137723393876898;0.0;0.022137723393876898;0.022137723393876898;0.0;0.0
