id	name	nbGenes	ICSeco	ICZhou	ICSanchez	ICMazandu
GO:0010628	positive regulation of gene expression	277	0.47	0.56	6.67	58.80
GO:0006355	regulation of transcription, DNA-templated	514	0.40	0.60	6.84	245.35
GO:0016070	RNA metabolic process	503	0.39	0.52	6.45	112.25
GO:0051128	regulation of cellular component organization	382	0.30	0.40	4.57	12.04
GO:0032879	regulation of localization	356	0.27	0.33	4.05	7.96
GO:0033036	macromolecule localization	312	0.39	0.32	4.60	5.67
GO:0006637	acyl-CoA metabolic process	14	0.59	0.59	7.98	77.21
GO:0006796	phosphate-containing compound metabolic process	297	0.36	0.43	5.28	20.85
GO:0007166	cell surface receptor signaling pathway	290	0.43	0.51	5.91	23.17
GO:0016192	vesicle-mediated transport	276	0.52	0.51	6.57	10.99
GO:0010033	response to organic substance	269	0.35	0.37	4.75	9.28
GO:0044248	cellular catabolic process	266	0.31	0.36	4.57	26.23
GO:0035556	intracellular signal transduction	261	0.51	0.55	6.92	23.17
GO:0051049	regulation of transport	252	0.31	0.40	4.67	10.45
GO:0019220	regulation of phosphate metabolic process	250	0.41	0.53	6.26	28.98
GO:0070887	cellular response to chemical stimulus	237	0.40	0.40	5.31	25.21
GO:0009967	positive regulation of signal transduction	213	0.44	0.54	6.71	140.23
GO:0051726	regulation of cell cycle	182	0.41	0.45	5.89	12.04
GO:0009968	negative regulation of signal transduction	170	0.44	0.54	6.68	140.65
GO:0070647	protein modification by small protein conjugation or removal	158	0.61	0.66	8.44	151.15
GO:0045321	leukocyte activation	145	0.52	0.46	6.78	16.27
GO:0034622	cellular protein-containing complex assembly	129	0.48	0.53	6.52	40.42
GO:0008284	positive regulation of cell proliferation	117	0.56	0.57	7.27	43.45
GO:0050778	positive regulation of immune response	117	0.46	0.52	6.76	78.39
GO:0006952	defense response	108	0.56	0.48	6.67	9.54
GO:0031329	regulation of cellular catabolic process	106	0.43	0.51	6.41	39.60
GO:0050996	positive regulation of lipid catabolic process	1	0.72	0.71	8.86	114.23
GO:0019221	cytokine-mediated signaling pathway	94	0.60	0.63	7.60	26.50
GO:0032989	cellular component morphogenesis	62	0.56	0.48	7.27	42.57
GO:0048598	embryonic morphogenesis	21	0.54	0.47	6.15	10.94
