;GO:1903361;GO:0050718;GO:0032570;GO:0046854;GO:1900016;GO:0048754;GO:0042532;GO:0003057;GO:0002244;GO:0000188;GO:0001666;GO:0045892;GO:0051001;GO:0071375;GO:0072584;GO:0033137;GO:0050713;GO:0030301;GO:0031116;GO:0032206;GO:0035556;GO:0015787;GO:0033138;GO:0070836;GO:0071805;GO:0060355;GO:0098909;GO:0051260;GO:1900027;GO:0006730;GO:0045019;GO:0032836;GO:0048012;GO:0051497;GO:0071360;GO:0015718;GO:0098903;GO:0086091;GO:0086098;GO:0051897;GO:0071526;GO:0035024;GO:2000382;GO:0009258;GO:0097190;GO:0007595;GO:0042310;GO:0045944;GO:0060546;GO:0000165;GO:0001886;GO:0019065;GO:2000811;GO:0006816;GO:0033235;GO:0031295;GO:0044860;GO:1904886;GO:1901533;GO:0048550;GO:0001937;GO:0050900;GO:2001238;GO:0010524;GO:0034157;GO:0030512;GO:0019217;GO:0018108;GO:0032092;GO:0030193;GO:0061099;GO:0046655;GO:0006641;GO:1903206;GO:0008543;GO:0009236;GO:0006366;GO:1904816;GO:0032091;GO:0006488;GO:0043547;GO:0060326;GO:0006914;GO:0031398;GO:0033577;GO:0035635;GO:0016055;GO:0071455;GO:0031397;GO:0019722;GO:2001244;GO:0055129;GO:2000312;GO:0034141;GO:0007186;GO:0090263;GO:1903609;GO:0071560;GO:0030857;GO:0042074;GO:0010628;GO:0010507;GO:0072657;GO:0035987;GO:2000286;GO:0006065;GO:1905246;GO:0045907;GO:0046952;GO:1902895;GO:0001570;GO:1901844;GO:0061436;GO:0030206;GO:0000122;GO:0001960;GO:0032507;GO:0010955;GO:0010952;GO:0010951;GO:2001028;GO:0098911;GO:0033674;GO:1900085;GO:1905098;GO:1903598;GO:0006351;GO:1901299;GO:0007204;GO:0090090;GO:0009617;GO:0071222;GO:0070098;GO:0045087;GO:0006749;GO:0043066;GO:0070495;GO:0070374;GO:0071347;GO:0006909;GO:0034599;GO:0030036;GO:1903071
GO:1903361;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.16293903342286392;0.0;0.0;0.19060766646364272;0.0;0.0;0.0;0.14804598897878302;0.0;0.0;0.20809959950826223;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.20509420860295263;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.18857204315761297;0.0;0.0;0.0;0.0;0.0;0.15789752373966734;0.0;0.214652657903402;0.0;0.0;0.5598135483739227;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6419426963194749;0.0;0.15789752373966734;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.19594070747197287;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1938255824129849;0.0;0.0;0.0
GO:0050718;0.0;1.0;0.0;0.0;0.4814656965232218;0.0;0.06725216359697771;0.2551120976777673;0.0;0.07168923979923034;0.0;0.10156655100741038;0.057319181108117956;0.0;0.0;0.07168923979923034;0.8873344005456762;0.0;0.1913124784308296;0.2014145466836935;0.10479024166488411;0.0;0.2137183341777067;0.0;0.0;0.16729470744653813;0.05785755914066376;0.0;0.07209905214210022;0.0;0.06767585792175514;0.0;0.06767585792175514;0.07027508608932823;0.0;0.0;0.32380919566313354;0.29106870527406503;0.05990430059695317;0.22102184404976882;0.07368318787380325;0.07000510814587257;0.15327215318010234;0.0;0.08764136329707237;0.05734461880129198;0.055783265539503295;0.27002753352343406;0.06725216359697771;0.08826955140954015;0.0;0.0;0.06942674844363503;0.0;0.17947153761995333;0.20173713359655784;0.0;0.0;0.2578525379614048;0.31344659543893594;0.07352438050185192;0.0;0.2014145466836935;0.4804982774339945;0.15986276668526728;0.07749008013692434;0.07836942625174774;0.0;0.06064913405213474;0.30991826848787707;0.0718973575620459;0.0;0.0;0.06972276648428098;0.07845216839979591;0.0;0.0;0.4288469692476625;0.06137158808521099;0.0;0.06981180940179202;0.0;0.0;0.21442504989441755;0.0;0.0;0.0883247915475695;0.0;0.07730157490010064;0.08231877869728456;0.20327475413625012;0.0;0.3029108361803002;0.17381873827952074;0.10243760127548233;0.21204009607184582;0.2824898413779018;0.0;0.2923119268370974;0.0;0.2567900070683014;0.07776446589311098;0.0;0.0;0.0;0.0;0.06150253728872775;0.3810816445422645;0.0;0.1901451379506284;0.0;0.2624488116167473;0.05394516735490289;0.0;0.09763291839151503;0.07583151987083378;0.05983061744832977;0.07442687208487056;0.22442535258719712;0.0866515508378091;0.357155547839258;0.28168261636731445;0.25120128545084824;0.0573562907887846;0.05600599110815396;0.16412787848557078;0.0;0.06444168885358036;0.06709299360331948;0.08161824605840237;0.0;0.0;0.07802948104606024;0.0;0.0;0.09846474031834439;0.06150253728872775;0.22990610080477442;0.0;0.0;0.0;0.0;0.17381873827952074
GO:0032570;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.22303185791338967;0.0;0.0;0.602255800196336;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.481146353890549;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2748338861135158;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.480888725187361;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.22827912587434923;0.5776952644694587;0.0;0.24078774908609943;0.0;0.0;0.0;0.0;0.3697073162303053;0.0;0.36000686894484285;0.0;0.0
GO:0046854;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.027489303276041148;0.0;0.0;0.0;0.0;0.029367010700682126;0.0;0.0;0.0;0.0;0.0;0.0;0.03853808625661973;0.0;0.0;0.021362239030958803;0.02946207967994224;0.0;0.0;0.0315291360966763;0.0;0.11640355450014438;0.0;0.022925138196927788;0.023263802655009012;0.0;0.023692162428365488;0.0;0.0;0.0;0.020314582176754532;0.0;0.025599365595189733;0.0;0.0;0.0952787905748596;0.0312236354383933;0.0;0.0;0.0;0.0;0.5991828104461956;0.023263802655009012;0.0;0.0;0.0;0.0;0.0;0.0;0.024368753374837914;0.0;0.0;0.0;0.032093802814788124;0.0;0.026400442523724803;0.0;0.0;0.0;0.5704058424576514;0.0;0.0;0.0;0.1142935320633073;0.7106657722513883;0.0;0.027489303276041148;0.09809287937391023;0.16241752076938198;0.0;0.0;0.47703793019003565;0.0;0.030195532111376197;0.14254823139866143;0.0;0.09584664766143203;0.0;0.031506374254368336;0.02229033359681087;0.0;0.029045526443735495;0.0;0.10249121591018674;0.0;0.0;0.03750680325435487;0.0;0.0;0.02649237664524657;0.0;0.02341566422709864;0.0;0.0;0.0;0.024978646799923364;0.09809287937391023;0.31322744249253165;0.0;0.0;0.10019247657329801;0.0;0.026874626862832724;0.0;0.0;0.11601025021025306;0.0;0.0;0.027285637904095442;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.19250822240344617;0.0;0.03112516135749381;0.0;0.0;0.029189598110446753;0.027320488624102704;0.0;0.1250783860438396;0.0;0.0;0.0;0.02735496510724264;0.0;0.03000423289521534;0.03180427839862161;0.0
GO:1900016;0.0;0.4814656965232218;0.0;0.0;1.0;0.0;0.3315637999476378;0.24082931228764246;0.0;0.3520853433535411;0.0;0.24881869360410871;0.16461329802032262;0.0;0.0;0.18015516830426312;0.5833715824419554;0.0;0.059183271437901926;0.06210541267298426;0.08410632407677153;0.0;0.06563881428617166;0.0;0.0;0.05215856160843517;0.05455651972183785;0.0;0.05950054119847291;0.0;0.17066086827339372;0.0;0.05606427273734381;0.17681727681486423;0.0;0.0;0.05455651972183785;0.2726215975522844;0.04996252627028004;0.2402617154086791;0.06072484457855738;0.34431474932176476;0.05290719387587252;0.0;0.07136966915807635;0.053655740275264964;0.05228640577390413;0.08145964929565629;0.16965469682499057;0.07184279192567283;0.0;0.0;0.1748109878373697;0.0;0.05573373257852173;0.062198411061549795;0.0;0.0;0.3687579683713199;0.16105065140265232;0.18447460250589098;0.0;0.2203319427129517;0.06228987439591687;0.38614400349067857;0.3786783580185036;0.06432712175706748;0.0;0.05653809794422376;0.4828242668014518;0.1806457102600726;0.0;0.0;0.3579237704491999;0.06439046468648513;0.0;0.0;0.05606427273734381;0.05716542334377345;0.0;0.06441999339939154;0.0;0.0;0.06584092097632065;0.0;0.0;0.07188437208914152;0.0;0.19332224506879525;0.06734053201808415;0.22223355866036226;0.0;0.18172824623638467;0.4179478191691671;0.08238073682472626;0.23116342141986054;0.14594239672948212;0.0;0.27371193386439413;0.0;0.08544690798073945;0.1944025654052093;0.0;0.0;0.0;0.0;0.1559273081822935;0.2708850218251791;0.0;0.05884437301599645;0.0;0.24735700158836585;0.05066819008535825;0.0;0.2399765381748357;0.37110205142911223;0.05582613375452764;0.18659381932143523;0.06869100794017191;0.21497843619935272;0.42569726364957483;0.25488534486818054;0.07623308252397373;0.14594239672948212;0.16105065140265232;0.051224110257822045;0.0;0.3323310310677561;0.06209794315881036;0.3974424170896451;0.0;0.0;0.06406678357445436;0.0;0.0;0.2418512303787843;0.30473574728001346;0.2492098773720084;0.0;0.0;0.0;0.0;0.33569907203143345
GO:0048754;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.24605748922864096;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.20489824093070177;0.0;0.0;0.0;0.0;0.0;0.28806986442601407;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2842578246427057;0.0;0.0;0.0;0.41356103874827826;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.22340144007736085;0.0;0.0;0.0;0.28583932631494124;0.0;0.0;0.24050724502431456;0.0;0.2736447749449166;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0042532;0.0;0.06725216359697771;0.0;0.0;0.3315637999476378;0.0;1.0;0.05353501298181936;0.0;0.5380861831167696;0.0;0.39911518320037687;0.24190106332317318;0.0;0.0;0.5380861831167696;0.1833663252076294;0.0;0.06725216359697771;0.16094481821328874;0.09557315993061272;0.0;0.4040159868582234;0.0;0.0;0.05926972323512158;0.05455651972183785;0.0;0.06761268908541208;0.0;0.27374689063533514;0.0;0.06370792878581515;0.19110779064494446;0.0;0.0;0.05455651972183785;0.060602260686000275;0.05677428619289395;0.3746021629742057;0.0690039107804846;0.4969058995295152;0.05290719387587252;0.0;0.08110002285218859;0.053655740275264964;0.05228640577390413;0.21110089899315168;0.1833663252076294;0.08163764993826879;0.0;0.0;0.18893935178653057;0.0;0.3103950337540135;0.07067837945680996;0.0;0.0;0.17791747651662207;0.1740668939479032;0.19938398752695569;0.0;0.26381143612497293;0.07078231266253743;0.21223087071648813;0.4157457923966111;0.1628344709935699;0.0;0.05653809794422376;0.22798678552275017;0.855230666055572;0.0;0.0;0.3430098076395816;0.07316929192947007;0.0;0.0;0.05606427273734381;0.05716542334377345;0.0;0.06441999339939154;0.0;0.0;0.3666844825088233;0.0;0.0;0.08168489903227873;0.0;0.5253496837649166;0.0765215637114544;0.34649370424256726;0.0;0.21758982848234645;0.22971075239932062;0.09361231063391284;0.27678035891411834;0.15773757803996816;0.0;0.20018141371624423;0.0;0.21466651596156283;0.3020375760186765;0.0;0.0;0.0;0.0;0.35552295239130466;0.06021622958699745;0.0;0.15249390528652323;0.0;0.22020343209107873;0.05066819008535825;0.0;0.38493201057406484;0.40742786896700683;0.05582613375452764;0.42544430681488193;0.32473526856790114;0.4901628151542648;0.2010117498613792;0.06438441076236054;0.4562075914559662;0.6909348302874633;0.16105065140265232;0.05820787123576413;0.0;0.31848346617535933;0.06209794315881036;0.4363465963293443;0.0;0.0;0.07280148098271656;0.0;0.0;0.2613978403866328;0.33456521092845753;0.43236951217949365;0.0;0.0;0.0;0.0;0.25565054782299906
GO:0003057;0.0;0.2551120976777673;0.0;0.0;0.24082931228764246;0.0;0.05353501298181936;1.0;0.0;0.05670999651689509;0.0;0.07709622311748658;0.05200515089606328;0.0;0.0;0.05670999651689509;0.24082931228764246;0.0;0.05670999651689509;0.2358024774361006;0.07919775051348336;0.0;0.0626103619213055;0.0;0.0;0.05022799301474899;0.20824851898214186;0.0;0.05700123764407563;0.0;0.21377544501850163;0.0;0.05383991633304158;0.05570241043814931;0.0;0.0;0.20824851898214186;0.6353220581280319;0.048188336269153004;0.06450394223649639;0.05812387783839836;0.055509592918402115;0.05092186334953819;0.0;0.06780367425780426;0.23364601739934937;0.22793544262483995;0.07684667111213271;0.05353501298181936;0.0682305575049091;0.0;0.0;0.0550960342349656;0.0;0.05353501298181936;0.059472514351682666;0.0;0.0;0.23394716892974887;0.05092186334953819;0.05801156037177137;0.0;0.059387483231223386;0.2364721063446921;0.048188336269153004;0.06080138999497957;0.061415813871666315;0.0;0.05396074165994504;0.2760188556528467;0.05685794151638186;0.0;0.0;0.05530778776722128;0.06147355044080701;0.0;0.0;0.05383991633304158;0.0545318870697717;0.0;0.06109506598969036;0.0;0.0;0.06279422307085425;0.0;0.0;0.06826806041696976;0.0;0.060669479291596703;0.06415682418127115;0.05987742191607121;0.0;0.04936086100569288;0.05200515089606328;0.07766586735191061;0.062173202468924514;0.046307867842103195;0.0;0.26196616869417644;0.0;0.08038531877211484;0.060993273216225566;0.0;0.0;0.0;0.0;0.04936086100569288;0.5938378867359507;0.0;0.056398756957575444;0.0;0.5787377888297683;0.22117061821492415;0.0;0.07450691462714316;0.059638383735112266;0.2426714237131415;0.05864918612382738;0.0653814626659271;0.06712954730391871;0.24466966296040413;0.595645791390563;0.07217833209343115;0.046307867842103195;0.05092186334953819;0.04936086100569288;0.0;0.05150319009614524;0.2685755009215697;0.06367282296374048;0.0;0.0;0.06117846366953032;0.0;0.0;0.07505676824434146;0.04936086100569288;0.06678805247624074;0.0;0.0;0.0;0.0;0.05200515089606328
GO:0002244;0.0;0.0;0.0;0.027489303276041148;0.0;0.24605748922864096;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.028365038713722448;0.0;0.0;0.0;0.0;0.0;0.0;0.03683077216041623;0.0;0.0;0.020827074288089328;0.028453721257739057;0.0;0.0;0.030377087853457923;0.0;0.024099198191855575;0.0;0.19792070361136566;0.022630534039172655;0.0;0.02303568721655709;0.0;0.0;0.0;0.01983002654283323;0.0;0.024834650414957006;0.0;0.0;0.01983002654283323;0.03009340435798915;0.0;0.0;0.0;0.0;0.03033471880467251;0.29136535575001377;0.0;0.0;0.0;0.0;0.0;0.0;0.02367479721038503;0.0;0.0;0.0;0.030900900785912917;0.0;0.025587877857996946;0.0;0.0;0.0;0.028928527418035255;0.0;0.0;0.0;0.02367479721038503;0.026352129467078548;0.0;0.026609446405460382;0.020401339940053793;0.03305546343668543;0.0;0.0;0.02303568721655709;0.0;0.029137244709379416;0.029321066299008394;0.0;0.01983002654283323;0.0;0.030355958461542966;0.021708291142540363;0.0;0.028065005571747945;0.0;0.02116973712405622;0.0;0.0;0.03588772287244107;0.0;0.0;0.02567423063535463;0.0;0.022774214900071033;0.0;0.0;0.0;0.3766195510263822;0.020401339940053793;0.020401339940053793;0.0;0.0;0.020827074288089328;0.0;0.40431132403908404;0.0;0.0;0.024020124454502058;0.0;0.0;0.026418564655346078;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.038893067485860244;0.0;0.030001919919855992;0.0;0.0;0.028199491741890008;0.02645123429480933;0.0;0.025839341070215228;0.0;0.0;0.0;0.026483550509237536;0.0;0.028959080190098376;0.030632409149451034;0.0
GO:0000188;0.0;0.07168923979923034;0.0;0.0;0.3520853433535411;0.0;0.5380861831167696;0.05670999651689509;0.0;1.0;0.0;0.4364217776457416;0.4282409998836356;0.0;0.0;0.5735873368369104;0.19471545319603947;0.0;0.07168923979923034;0.17212413236526;0.10479024166488411;0.0;0.4337934475111982;0.0;0.0;0.06268922183041602;0.05785755914066376;0.0;0.07209905214210022;0.0;0.29079670349107456;0.0;0.06767585792175514;0.20346773255171782;0.0;0.0;0.05785755914066376;0.0647029498503783;0.05990430059695317;0.40315523279581467;0.07368318787380325;0.5289199433658892;0.05600599110815396;0.0;0.08764136329707237;0.05734461880129198;0.055783265539503295;0.23075917647320118;0.19471545319603947;0.08826955140954015;0.0;0.0;0.2010115372368085;0.0;0.3296063745552884;0.07559560079632746;0.0;0.0;0.18858251757853;0.1842620672255314;0.21287542741627893;0.0;0.2821359212128704;0.07571451086651568;0.2239313380736943;0.4453948315832586;0.1745788394074085;0.0;0.28977008553459355;0.24441269267550572;0.6528637432402113;0.0;0.0;0.36501969400252915;0.07845216839979591;0.0;0.0;0.05955613105889897;0.47301113478310164;0.0;0.3961174323193292;0.0;0.0;0.3937998428430368;0.0;0.0;0.0883247915475695;0.0;0.5627240183101665;0.08231877869728456;0.37078362628654227;0.0;0.2299057886119877;0.24348047673818649;0.10243760127548233;0.2970198966475102;0.339340909197355;0.0;0.2137846674575759;0.0;0.2357313285776084;0.32365374970134814;0.0;0.0;0.0;0.0;0.4043654181772517;0.0642630987796634;0.0;0.16249356082816777;0.0;0.23363854144062732;0.05394516735490289;0.0;0.41951933366387334;0.43586181562714155;0.05983061744832977;0.45458562113856;0.36629316315767585;0.5697145538198799;0.21367270360474805;0.06843973612029836;0.6023128059557821;0.45890906608184706;0.37652770861509854;0.06150253728872775;0.0;0.3373716611150713;0.06709299360331948;0.46912256243726663;0.0;0.0;0.07802948104606024;0.0;0.0;0.2850853490723736;0.3535021797532397;0.5869549513578879;0.0;0.0;0.0;0.0;0.270975200821755
