;GO:0008584;GO:0051491;GO:0045963;GO:0046777;GO:0043542;GO:0002286;GO:0051092;GO:0045766;GO:0043547;GO:0060964;GO:0000187;GO:0030307;GO:0002315;GO:0045892;GO:0000183;GO:0045893;GO:0010737;GO:0016055;GO:0010976;GO:0032200;GO:0035556;GO:0007264;GO:0034142;GO:0043312;GO:0045652;GO:0045333;GO:0046500;GO:0043113;GO:0000226;GO:0006336;GO:0000422;GO:0043315;GO:0002523;GO:0031509;GO:0031508;GO:0035987;GO:2000363;GO:0031100;GO:0018105;GO:0031623;GO:0071803;GO:0071404;GO:0072659;GO:1905150;GO:0051017;GO:0018107;GO:0008360;GO:0035264;GO:0045429;GO:0090314;GO:0070507;GO:1903980;GO:0008284;GO:0045742;GO:0090230;GO:0045787;GO:0006744;GO:0045745;GO:0000079;GO:1900825;GO:0050730;GO:0007229;GO:0050770;GO:0019221;GO:0001649;GO:0032147;GO:0033157;GO:1902340;GO:0007286;GO:0006351;GO:0007088;GO:0022617;GO:0008295;GO:0044267;GO:0006597;GO:0006355;GO:0006557;GO:1901216;GO:0001782;GO:0006357;GO:0001774;GO:0045123;GO:0048477;GO:0042692;GO:0030593;GO:0070895;GO:0032930;GO:0035722
GO:0008584;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.02247754451120141;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.06607111804024644;0.0;0.23018548011744744;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.06607111804024644;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.06607111804024644;0.0;0.0;0.0;0.19907273819633037;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1710942521006168;0.06607111804024644;0.0;0.0;0.0;0.0
GO:0051491;0.0;1.0;0.027598937752412452;0.0;0.0;0.0;0.02849417210833194;0.03975112831612477;0.01681070343392721;0.03975112831612477;0.006435763527272785;0.11907999762923722;0.0;0.00503549750813152;0.004538030814406289;0.01974353259675029;0.03975112831612477;0.03975112831612477;0.13184575697238193;0.0;0.03975112831612477;0.03975112831612477;0.019295575792472548;0.0;0.03975112831612477;0.0;0.0;0.0;0.0;0.0;0.0;0.02986146050124605;0.0;0.0;0.0;0.0;0.01681070343392721;0.0;0.0;0.0;0.1430923102883453;0.0;0.0;0.019496417770001533;0.0;0.0;0.060107603117010126;0.0;0.036214832391062296;0.016018362329557684;0.060107603117010126;0.11907999762923722;0.11907999762923722;0.10229057422194507;0.060107603117010126;0.11907999762923722;0.0;0.11907999762923722;0.023371771396054876;0.03975112831612477;0.03975112831612477;0.03975112831612477;0.08624972941970876;0.03975112831612477;0.0;0.02174601615092366;0.022295355304771215;0.060107603117010126;0.0;0.0;0.060107603117010126;0.0;0.0;0.0;0.0;0.032453259350379245;0.0;0.11907999762923722;0.01681070343392721;0.03203300198081839;0.0;0.0;0.0;0.0;0.0;0.01828626667823045;0.11907999762923722;0.03975112831612477
GO:0045963;0.0;0.027598937752412452;1.0;0.0;0.0;0.0;0.07894144947166308;0.015479513394710256;0.011671556941920116;0.027598937752412452;0.006145022122173749;0.027598937752412452;0.0;0.050816111175404396;0.04579588769727137;0.018851600756111284;0.027598937752412452;0.027598937752412452;0.01614463039089677;0.0;0.027598937752412452;0.027598937752412452;0.019295575792472548;0.0;0.027598937752412452;0.0;0.0;0.0;0.0;0.0;0.0;0.00996831350121288;0.0;0.0;0.0;0.0;0.011671556941920116;0.0;0.0;0.0;0.025990862758751034;0.0;0.0;0.015479513394710256;0.0;0.0;0.027598937752412452;0.0;0.03457879476939018;0.008984275281393256;0.027598937752412452;0.027598937752412452;0.027598937752412452;0.027598937752412452;0.027598937752412452;0.027598937752412452;0.0;0.027598937752412452;0.06685045371225033;0.027598937752412452;0.07894144947166308;0.027598937752412452;0.027598937752412452;0.027598937752412452;0.0;0.020763620314868902;0.015479513394710256;0.08295954003840572;0.0;0.0;0.027598937752412452;0.0;0.0;0.0;0.0;0.07894144947166308;0.0;0.027598937752412452;0.011671556941920116;0.07894144947166308;0.0;0.0;0.0;0.0;0.0;0.1845372694561923;0.07894144947166308;0.027598937752412452
GO:0046777;0.0;0.0;0.0;1.0;0.018629235703855225;0.018629235703855225;0.0;0.0;0.0;0.0;0.0;0.0;0.018629235703855225;0.0;0.001919127668234308;0.0;0.018629235703855225;0.018629235703855225;0.0;0.018629235703855225;0.018629235703855225;0.018629235703855225;0.008160075348164186;0.018629235703855225;0.0;0.07637186036591671;0.07637186036591671;0.0;0.018629235703855225;0.018629235703855225;0.07637186036591671;0.0;0.018629235703855225;0.018629235703855225;0.018629235703855225;0.018629235703855225;0.0;0.0;0.5247660903724881;0.16843160713183167;0.0;0.018629235703855225;0.0;0.0;0.018629235703855225;0.5259180120235651;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.03860949888261001;0.0;0.0;0.0;0.0;0.018629235703855225;0.0;0.018629235703855225;0.018629235703855225;0.0;0.0;0.0;0.018629235703855225;0.052364803152556746;0.0;0.018629235703855225;0.05692994982259712;0.4473924601719078;0.05345978771565589;0.0;0.006127043137803614;0.0;0.0;0.0;0.018629235703855225;0.018629235703855225;0.018629235703855225;0.018629235703855225;0.018629235703855225;0.0;0.0;0.018629235703855225
GO:0043542;0.0;0.0;0.0;0.018629235703855225;1.0;0.04103932917437334;0.0;0.0;0.0;0.0;0.0;0.0;0.02247754451120141;0.0;0.001919127668234308;0.0;0.12741218007660887;0.1178121086385134;0.0;0.13484356899313144;0.13484356899313144;0.12741218007660887;0.008160075348164186;0.02535564089323761;0.0;0.10912436884078743;0.04328700377885295;0.0;0.1111033070426179;0.020605771409941756;0.03383086788199859;0.0;0.5879652049601457;0.04285702736989175;0.034108160508614836;0.13484356899313144;0.0;0.0;0.009940745085628543;0.051925829547280054;0.0;0.05933604448260999;0.0;0.0;0.08462108541438568;0.00996256615924983;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.009417938120738396;0.0;0.0;0.0;0.0;0.12705590171490894;0.0;0.12705590171490894;0.13484356899313144;0.0;0.0;0.0;0.04626498821526307;0.005791764842280598;0.0;0.0907819473582988;0.009879971741031342;0.041639583502808816;0.009277738581504326;0.0;0.0010633245461521843;0.0;0.0;0.0;0.10793742002122277;0.5879652049601457;0.03976272004320178;0.13484356899313144;0.13148051066350178;0.0;0.0;0.11153179167231024
GO:0002286;0.0;0.0;0.0;0.018629235703855225;0.04103932917437334;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3958906900092112;0.0;0.001919127668234308;0.0;0.04103932917437334;0.04103932917437334;0.0;0.04103932917437334;0.04103932917437334;0.04103932917437334;0.008160075348164186;0.2888178806927632;0.0;0.04103932917437334;0.04103932917437334;0.0;0.04103932917437334;0.020605771409941756;0.03383086788199859;0.0;0.04103932917437334;0.04103932917437334;0.034108160508614836;0.04103932917437334;0.0;0.0;0.009940745085628543;0.04103932917437334;0.0;0.04103932917437334;0.0;0.0;0.04103932917437334;0.00996256615924983;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.009417938120738396;0.0;0.0;0.0;0.0;0.04103932917437334;0.0;0.04103932917437334;0.04103932917437334;0.0;0.0;0.0;0.04103932917437334;0.005791764842280598;0.0;0.04103932917437334;0.009879971741031342;0.04103932917437334;0.009277738581504326;0.0;0.0010633245461521843;0.0;0.04103932917437334;0.0;0.19828446690599108;0.04103932917437334;0.03976272004320178;0.04103932917437334;0.02584317478281109;0.0;0.0;0.04103932917437334
GO:0051092;0.0;0.02849417210833194;0.07894144947166308;0.0;0.0;0.0;1.0;0.02849417210833194;0.024221620452226755;0.04913659242816378;0.006145022122173749;0.02849417210833194;0.0;0.155161534124081;0.13983282127110164;0.20308468969938562;0.02849417210833194;0.02849417210833194;0.01614463039089677;0.0;0.02849417210833194;0.02849417210833194;0.019295575792472548;0.0;0.02849417210833194;0.0;0.0;0.0;0.0;0.0;0.0;0.00996831350121288;0.0;0.0;0.0;0.0;0.024221620452226755;0.0;0.0;0.0;0.025990862758751034;0.0;0.0;0.015981626640088665;0.0;0.0;0.02849417210833194;0.0;0.061263427130196925;0.016018362329557684;0.02849417210833194;0.02849417210833194;0.02849417210833194;0.02849417210833194;0.02849417210833194;0.02849417210833194;0.0;0.02849417210833194;0.06685045371225033;0.02849417210833194;0.08150209504096358;0.02849417210833194;0.02849417210833194;0.02849417210833194;0.0;0.020763620314868902;0.015981626640088665;0.02849417210833194;0.0;0.0;0.02849417210833194;0.0;0.0;0.0;0.0;0.8780064831299897;0.0;0.02849417210833194;0.012050150453569459;0.8780064831299897;0.0;0.0;0.0;0.0;0.0;0.12433278097754659;0.08150209504096358;0.02849417210833194
GO:0045766;0.0;0.03975112831612477;0.015479513394710256;0.0;0.0;0.0;0.02849417210833194;1.0;0.02503693274896002;0.033205470168080946;0.0021483781229270334;0.059203133899649846;0.0;0.002824277217674385;0.0025452613215546575;0.006590760104905454;0.033205470168080946;0.033205470168080946;0.04785880841733588;0.0;0.033205470168080946;0.033205470168080946;0.019295575792472548;0.0;0.17164947137953412;0.0;0.0;0.0;0.0;0.0;0.0;0.00996831350121288;0.0;0.0;0.0;0.0;0.02503693274896002;0.0;0.0;0.0;0.025990862758751034;0.0;0.0;0.019496417770001533;0.0;0.0;0.08397915134489903;0.0;0.012089187756001556;0.016018362329557684;0.033205470168080946;0.0512047729990028;0.059203133899649846;0.0341465050586151;0.033205470168080946;0.059203133899649846;0.0;0.04204176424227183;0.013108607716313777;0.033205470168080946;0.033205470168080946;0.033205470168080946;0.1517515982282785;0.033205470168080946;0.0;0.007259226533337186;0.033205470168080946;0.033205470168080946;0.0;0.0;0.033205470168080946;0.0;0.0;0.0;0.0;0.018202173841719307;0.0;0.059203133899649846;0.02503693274896002;0.01796646261110231;0.0;0.0;0.0;0.0;0.0;0.010256282778860547;0.05507457349511269;0.033205470168080946
GO:0043547;0.0;0.01681070343392721;0.011671556941920116;0.0;0.0;0.0;0.024221620452226755;0.02503693274896002;1.0;0.05328119566975111;0.004944216628169998;0.04175361312747613;0.0;0.002129505723165616;0.001919127668234308;0.002787224368742792;0.06825029425055588;0.06825029425055588;0.006827544400586017;0.0;0.06825029425055588;0.06825029425055588;0.008160075348164186;0.0;0.04883140902369964;0.0;0.0;0.0;0.0;0.0;0.0;0.004215587559493927;0.0;0.0;0.0;0.0;0.37141109363934954;0.0;0.0;0.0;0.010991503998442011;0.0;0.0;0.019496417770001533;0.0;0.0;0.06825029425055588;0.0;0.005112502681861441;0.006774145792237904;0.06825029425055588;0.021654435729277825;0.06825029425055588;0.014440515129041601;0.06382528973216789;0.06825029425055588;0.0;0.017779410559001126;0.019867296859834647;0.038973833771129375;0.030072990480212954;0.06825029425055588;0.022134612643156755;0.06825029425055588;0.0;0.016706178558958246;0.036947777482564184;0.02886166893511049;0.0;0.0;0.061253058479543404;0.0;0.0;0.0;0.0;0.013724443594780863;0.0;0.0576760880153755;0.06825029425055588;0.013546717268387652;0.0;0.0;0.0;0.0;0.0;0.00773323976106461;0.023290969615089037;0.06825029425055588
GO:0060964;0.0;0.03975112831612477;0.027598937752412452;0.0;0.0;0.0;0.04913659242816378;0.033205470168080946;0.05328119566975111;1.0;0.002896463778591259;0.09873193228442995;0.0;0.008683431397459099;0.007825578146512555;0.011365394012337195;0.1259904235554072;0.1259904235554072;0.01614463039089677;0.0;0.1259904235554072;0.1259904235554072;0.019295575792472548;0.0;0.11546831538534785;0.0;0.0;0.0;0.0;0.0;0.0;0.00996831350121288;0.0;0.0;0.0;0.0;0.05328119566975111;0.0;0.0;0.0;0.025990862758751034;0.0;0.0;0.019496417770001533;0.0;0.0;0.1259904235554072;0.0;0.012089187756001556;0.008984275281393256;0.1259904235554072;0.0512047729990028;0.1259904235554072;0.0341465050586151;0.1259904235554072;0.1259904235554072;0.0;0.04204176424227183;0.031510044050326334;0.09215877689453437;0.09587327680635886;0.1259904235554072;0.052340214724749964;0.1259904235554072;0.0;0.009786958119715444;0.04900234127222071;0.06824722771217598;0.0;0.0;0.1259904235554072;0.0;0.0;0.0;0.0;0.05596381504268353;0.0;0.1259904235554072;0.05328119566975111;0.055239104915836015;0.0;0.0;0.0;0.0;0.0;0.024653718316118647;0.05507457349511269;0.1259904235554072
