;GO:0015031;GO:0031954;GO:0045892;GO:0051683;GO:0006958;GO:0070327;GO:0007186;GO:1900740;GO:0030819;GO:0060316;GO:1900425;GO:0042147;GO:0000027;GO:0048209;GO:0006412;GO:0060315;GO:0005513;GO:0006888;GO:0031427;GO:0032516;GO:0070236;GO:0033762;GO:1901086;GO:0015694;GO:0043488;GO:1901844;GO:0006855;GO:0051343;GO:0030449;GO:0071354;GO:0019221;GO:0032465;GO:0071356;GO:0015723;GO:0015722;GO:0030644;GO:0090168;GO:0006351;GO:0007565;GO:0006357;GO:0002027;GO:2000427;GO:0071222;GO:0006906;GO:0010801;GO:0043066;GO:0045087;GO:0006749;GO:0006508;GO:0071347;GO:0010800;GO:0071549;GO:0010881;GO:0071902;GO:0015732
GO:0015031;1.0;0.0;0.0;0.3333333333333333;0.0;0.2857142857142857;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2
GO:0031954;0.0;1.0;0.3076923076923077;0.0;0.0;0.07692307692307693;0.2727272727272727;0.25;0.5;0.2857142857142857;0.16666666666666666;0.0;0.0;0.2727272727272727;0.0;0.3333333333333333;0.0;0.0;0.0;0.6363636363636364;0.16666666666666666;0.0;0.0;0.0;0.3333333333333333;0.25;0.0;0.07142857142857142;0.4166666666666667;0.0;0.25;0.2727272727272727;0.0;0.0;0.0;0.058823529411764705;0.0;0.0;0.0;0.3076923076923077;0.09090909090909091;0.3076923076923077;0.0;0.0;0.6363636363636364;0.23076923076923078;0.0;0.0;0.0;0.0;0.8;0.0;0.0;0.7272727272727273;0.0
GO:0045892;0.0;0.3076923076923077;1.0;0.0;0.0;0.09090909090909091;0.3;0.0;0.4166666666666667;0.21428571428571427;0.3333333333333333;0.0;0.0;0.3;0.0;0.25;0.0;0.0;0.0;0.3076923076923077;0.3333333333333333;0.0;0.0;0.0;0.5;0.2727272727272727;0.0;0.08333333333333333;0.5;0.0;0.2727272727272727;0.3;0.0;0.0;0.0;0.06666666666666667;0.0;0.0;0.0;0.75;0.1111111111111111;0.23076923076923078;0.0;0.0;0.4166666666666667;0.36363636363636365;0.0;0.0;0.0;0.0;0.3076923076923077;0.0;0.0;0.2857142857142857;0.0
GO:0051683;0.3333333333333333;0.0;0.0;1.0;0.0;0.2857142857142857;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2857142857142857;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0006958;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.25;0.3333333333333333;0.0;0.2;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.4;0.14285714285714285;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.0;0.0;0.0;0.5;0.0;0.42857142857142855;0.14285714285714285;0.0;0.16666666666666666;0.0;0.0;0.0
GO:0070327;0.2857142857142857;0.07692307692307693;0.09090909090909091;0.2857142857142857;0.0;1.0;0.0;0.0;0.07692307692307693;0.2222222222222222;0.1111111111111111;0.16666666666666666;0.0;0.1111111111111111;0.0;0.2222222222222222;0.0;0.42857142857142855;0.0;0.07692307692307693;0.2857142857142857;0.0;0.0;0.0;0.2857142857142857;0.1;0.42857142857142855;0.1;0.1111111111111111;0.0;0.0;0.1111111111111111;0.0;0.42857142857142855;0.16666666666666666;0.16666666666666666;0.0;0.0;0.0;0.09090909090909091;0.3333333333333333;0.09090909090909091;0.0;0.0;0.07142857142857142;0.09090909090909091;0.0;0.0;0.0;0.0;0.07142857142857142;0.0;0.0;0.08333333333333333;0.16666666666666666
GO:0007186;0.0;0.2727272727272727;0.3;0.0;0.0;0.0;1.0;0.0;0.2727272727272727;0.2727272727272727;0.0;0.0;0.0;0.42857142857142855;0.0;0.2727272727272727;0.0;0.0;0.0;0.2727272727272727;0.0;0.0;0.0;0.0;0.0;0.375;0.0;0.0;0.0;0.14285714285714285;0.0;0.42857142857142855;0.14285714285714285;0.0;0.0;0.125;0.0;0.0;0.0;0.3;0.0;0.3;0.0;0.0;0.25;0.3333333333333333;0.0;0.2;0.0;0.14285714285714285;0.25;0.16666666666666666;0.0;0.0;0.0
GO:1900740;0.0;0.25;0.0;0.0;0.0;0.0;0.0;1.0;0.25;0.45454545454545453;0.0;0.0;0.0;0.4444444444444444;0.0;0.3;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4444444444444444;0.0;0.0;0.0;0.5454545454545454;0.0;0.0;0.0;0.0;0.23076923076923078;0.0;0.0;0.0;0.0
GO:0030819;0.0;0.5;0.4166666666666667;0.0;0.0;0.07692307692307693;0.2727272727272727;0.25;1.0;0.2857142857142857;0.16666666666666666;0.0;0.0;0.2727272727272727;0.0;0.3333333333333333;0.0;0.0;0.0;0.5;0.16666666666666666;0.0;0.0;0.0;0.38461538461538464;0.25;0.0;0.07142857142857142;0.3076923076923077;0.0;0.25;0.2727272727272727;0.0;0.0;0.0;0.058823529411764705;0.0;0.0;0.0;0.4166666666666667;0.09090909090909091;0.3076923076923077;0.0;0.0;0.4;0.23076923076923078;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.4666666666666667;0.0
GO:0060316;0.0;0.2857142857142857;0.21428571428571427;0.0;0.3333333333333333;0.2222222222222222;0.2727272727272727;0.45454545454545453;0.2857142857142857;1.0;0.2727272727272727;0.0;0.0;0.4444444444444444;0.0;0.7777777777777778;0.0;0.0;0.0;0.2727272727272727;0.25;0.0;0.0;0.0;0.25;0.3;0.0;0.3;0.2727272727272727;0.0;0.25;0.2727272727272727;0.0;0.0;0.0;0.35294117647058826;0.0;0.0;0.0;0.21428571428571427;0.2857142857142857;0.3333333333333333;0.0;0.0;0.1875;0.23076923076923078;0.0;0.0;0.0;0.0;0.26666666666666666;0.0;0.5;0.25;0.0
GO:1900425;0.0;0.16666666666666666;0.3333333333333333;0.0;0.0;0.1111111111111111;0.0;0.0;0.16666666666666666;0.2727272727272727;1.0;0.0;0.0;0.25;0.0;0.4;0.0;0.0;0.0;0.16666666666666666;0.42857142857142855;0.0;0.0;0.0;0.125;0.2222222222222222;0.0;0.1;0.4444444444444444;0.0;0.0;0.25;0.0;0.0;0.0;0.07692307692307693;0.0;0.0;0.0;0.2;0.14285714285714285;0.2;0.0;0.0;0.25;0.3333333333333333;0.0;0.0;0.0;0.0;0.15384615384615385;0.0;0.0;0.08333333333333333;0.0
