id	name	nbGenes	ICSeco	ICZhou	ICSanchez	ICMazandu
GO:0009987	cellular process	427	0.09	0.05	0.84	3.37
GO:0043085	positive regulation of catalytic activity	33	0.48	0.49	6.15	18.32
GO:0050789	regulation of biological process	327	0.09	0.17	1.80	4.47
GO:0060315	negative regulation of ryanodine-sensitive calcium-release channel activity	2	1.00	0.93	9.63	2557.62
GO:1901564	organonitrogen compound metabolic process	159	0.23	0.31	3.63	19.40
GO:0034645	cellular macromolecule biosynthetic process	104	0.47	0.53	6.91	102.76
GO:0051683	establishment of Golgi localization	1	1.00	0.79	9.63	43.32
GO:0006810	transport	150	0.28	0.34	3.95	7.46
GO:0045087	innate immune response	13	0.68	0.59	8.16	26.47
GO:0042221	response to chemical	60	0.32	0.29	4.12	6.14
GO:0045087	innate immune response	13	0.68	0.59	8.16	26.47
GO:0042221	response to chemical	60	0.32	0.29	4.12	6.14
GO:0007565	female pregnancy	7	1.00	0.70	9.63	32.81
