;GO:0060088;GO:1902476;GO:0006486;GO:0008343;GO:0006367;GO:0008589;GO:0032922;GO:0046068;GO:0045892;GO:0043030;GO:0045893;GO:0010738;GO:0051607;GO:0071456;GO:0017148;GO:0035556;GO:0010575;GO:0021702;GO:0050728;GO:0010906;GO:0006809;GO:0072539;GO:0036315;GO:0010389;GO:0070507;GO:0035065;GO:0043124;GO:0045944;GO:0006468;GO:0042753;GO:0043401;GO:0000122;GO:0000086;GO:0045595;GO:0019221;GO:0051384;GO:0034765;GO:0071356;GO:0032228;GO:0045071;GO:0030522;GO:0016579;GO:0060850;GO:0006351;GO:0007286;GO:0044267;GO:0045599;GO:0007565;GO:0006355;GO:0007288;GO:0006435;GO:0007249;GO:0001662;GO:0006511;GO:0097711;GO:0042692;GO:0071347
GO:0060088;1.0;0.0;0.024564828463290632;0.0;0.023909086972007047;0.0;0.0;0.02097206752162638;0.0;0.0;0.0;0.0;0.0;0.022999975585573474;0.0;0.029358481352004768;0.0;0.019193656101624983;0.0;0.0;0.01967736774486301;0.01788048761237731;0.020045915875616153;0.0;0.0;0.0;0.0;0.0;0.02774245850349534;0.0;0.02336439314196439;0.0;0.02322877904638956;0.0;0.026862234835871353;0.0;0.0;0.023244256772384637;0.0;0.0;0.023943563482884265;0.02484984581819369;0.0;0.03065413987965565;0.02251991767790696;0.03176880591278177;0.0;0.0;0.0;0.16440688243693133;0.01788048761237731;0.022116886440092458;0.0;0.02619252379014657;0.022782882239127215;0.022498265449080474;0.02238649645592352
GO:1902476;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.24745958188280776;0.0;0.0
GO:0006486;0.024564828463290632;0.0;1.0;0.0;0.1869777566942664;0.0;0.0;0.22778297973598263;0.0;0.0;0.0;0.0;0.0;0.030501492586039968;0.0;0.04279231649981357;0.0;0.024150201647954714;0.0;0.0;0.12811168492594693;0.022107332756147905;0.02551512027015041;0.0;0.0;0.0;0.0;0.0;0.4844089033589966;0.0;0.031145716480972148;0.0;0.030905195061288228;0.0;0.037687554506721045;0.0;0.0;0.030932599001247438;0.0;0.0;0.032183470002332994;0.41562357895273344;0.0;0.3288126530284318;0.029662931668370113;0.5558594912080261;0.0;0.0;0.0;0.024564828463290632;0.18626678990905418;0.028967627363629206;0.0;0.3638421990619266;0.030120866087196167;0.029625376931014625;0.029431882665056013
GO:0008343;0.0;0.0;0.0;1.0;0.0;0.0;0.24252667954438797;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25144999320689665;0.0;0.0;0.0;0.0;0.502508686644059;0.0;0.0;0.0;0.0
GO:0006367;0.023909086972007047;0.0;0.1869777566942664;0.0;1.0;0.0;0.0;0.24920086035590397;0.0;0.0;0.0;0.0;0.0;0.029496981790507477;0.0;0.04084104123518699;0.0;0.023516124006709313;0.0;0.0;0.27872001996196216;0.02157480869171149;0.02480839246240189;0.0;0.0;0.0;0.0;0.0;0.2199153726854517;0.0;0.03009905294760401;0.0;0.029874367218199777;0.0;0.036165775205908926;0.0;0.0;0.02989997279804592;0.0;0.0;0.03106714624874754;0.18982469797753615;0.0;0.5792852777323053;0.02871203360827277;0.26578860360326806;0.0;0.0;0.0;0.023909086972007047;0.2430730342077211;0.028060103345434715;0.0;0.20351530104936047;0.029140866586753016;0.028676846618064872;0.028495506478587656
GO:0008589;0.0;0.0;0.0;0.0;0.0;1.0;0.07298380728704111;0.0;0.11420726852395073;0.0806552032145233;0.1172016069414786;0.2887722681795083;0.0;0.0;0.08903116615149284;0.11829948317343963;0.06864986871597804;0.0;0.2756555798249252;0.08758000286913077;0.05643941874075156;0.0;0.0;0.09127273270666697;0.09268469163197245;0.08238228486262726;0.3021451522823511;0.11372582157737646;0.0;0.06640276444087062;0.08978730168901491;0.10925742439491319;0.0;0.11896304627191248;0.10609581260100434;0.0;0.08943017328254393;0.0;0.2788774317634585;0.07274471930675544;0.09242650041759044;0.0;0.0751093627406264;0.0;0.0;0.0;0.08163980323688914;0.0;0.1326120362915902;0.0;0.0;0.0841820338452577;0.0;0.0;0.0;0.0;0.0
GO:0032922;0.0;0.0;0.0;0.24252667954438797;0.0;0.07298380728704111;1.0;0.0;0.3138254900067738;0.06936606861110234;0.3217847097668231;0.0665012733867194;0.0;0.0;0.2463755196249002;0.10067411328511912;0.06714062824992705;0.0;0.07577180859144673;0.17505667846678233;0.055268478004044094;0.0;0.0;0.07826347746706068;0.07944269355309348;0.17791202655405186;0.06951081587974059;0.31254451983154846;0.0;0.06498969345954794;0.07702189056321614;0.30063916145842384;0.0;0.10122009632845856;0.09059674593756818;0.0;0.08688588321943715;0.0;0.06808484265790508;0.07105228107676236;0.07922713159109057;0.0;0.20866593329711067;0.0;0.0;0.0;0.07019339354938603;0.2901743960231199;0.3625377668721964;0.0;0.0;0.07232742145621808;0.2644640415830201;0.0;0.0;0.0;0.0
GO:0046068;0.02097206752162638;0.0;0.22778297973598263;0.0;0.24920086035590397;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.02515144778424353;0.0;0.03295702674543843;0.0;0.020669107130772676;0.0;0.0;0.1854698437371933;0.019154254597201287;0.02166081769932617;0.0;0.0;0.0;0.0;0.0;0.47360582757094394;0.0;0.025587877857996946;0.0;0.025425313799045137;0.0;0.02984377964280165;0.0;0.0;0.02544385826778117;0.0;0.0;0.02628417010639969;0.2306949989686555;0.0;0.32854995947628396;0.024578496423519558;0.30353371272911306;0.0;0.0;0.0;0.02097206752162638;0.3072581308619958;0.024099198191855575;0.0;0.24450513312861946;0.024892068995282617;0.0245527070099931;0.024419653891776052
GO:0045892;0.0;0.0;0.0;0.0;0.0;0.11420726852395073;0.3138254900067738;0.0;1.0;0.10655444629780159;0.6001377790826293;0.10069076362213845;0.0;0.0;0.6616976034589446;0.1838390859175512;0.08974869217284784;0.0;0.3222676430634635;0.26505165615833093;0.07250433437725591;0.0;0.0;0.1259034832940076;0.12860602281432404;0.249925052138257;0.309378400312148;0.5730594812118888;0.0;0.0859463355387458;0.1230943497944625;0.9353838375615017;0.0;0.185446559838264;0.15596098388735916;0.0;0.12890814474515255;0.0;0.10391109779594299;0.29489889488780696;0.12810945401369755;0.0;0.32154235319461166;0.0;0.0;0.0;0.3135025369751542;0.0;0.7315750276242474;0.0;0.0;0.11279760317906684;0.0;0.0;0.0;0.0;0.0
GO:0043030;0.0;0.0;0.0;0.0;0.0;0.0806552032145233;0.06936606861110234;0.0;0.10655444629780159;1.0;0.10915636800795289;0.0736711011413855;0.0;0.0;0.08431073939445256;0.11010807932446576;0.06543958198251948;0.0;0.07361233229893482;0.0830082522895617;0.05394516735490289;0.0;0.0;0.08631823201389675;0.08758000286913077;0.07832451110526596;0.076917744162698;0.10613524096773932;0.0;0.06339459702892575;0.08498851480021034;0.1022331872922317;0.0;0.11068270663154496;0.09945987267332917;0.0;0.08405827079672396;0.0;0.07538034752501814;0.06915006082621229;0.08734943329989238;0.0;0.07172169412910705;0.0;0.0;0.0;0.07765307256550204;0.0;0.12240415941475644;0.0;0.0;0.07994958302293613;0.0;0.0;0.0;0.0;0.0
GO:0045893;0.0;0.0;0.0;0.0;0.0;0.1172016069414786;0.3217847097668231;0.0;0.6001377790826293;0.10915636800795289;1.0;0.1030110796765677;0.0;0.0;0.38746110336144124;0.19172382843992442;0.25135055017549546;0.0;0.10879700346204003;0.2722994515664177;0.07406937296834909;0.0;0.0;0.1295523380128342;0.13241557520447508;0.25620610699603613;0.10947205447339799;0.9530631025384096;0.0;0.24046380305502263;0.1265799420544058;0.5598926828632573;0.0;0.19347280229447686;0.16159902547584734;0.0;0.13327542745812104;0.0;0.1063840284390916;0.099324074019362;0.13188921228484057;0.0;0.3286806782942696;0.0;0.0;0.0;0.11096758597379712;0.0;0.7696035911298745;0.0;0.0;0.11571753434914403;0.0;0.0;0.0;0.0;0.0
