;GO:0043407;GO:0007173;GO:0038096;GO:0006401;GO:0043152;GO:0001942;GO:0070588;GO:0016055;GO:0070207;GO:0035754;GO:0035556;GO:0050830;GO:0010592;GO:0043615;GO:0071805;GO:0090501;GO:0050829;GO:0030041;GO:0007224;GO:0043312;GO:1900026;GO:0001581;GO:0006699;GO:0006898;GO:0061844;GO:0050982;GO:0002227;GO:0006707;GO:0048013;GO:0034314;GO:0071468;GO:0035725;GO:0030178;GO:0018105
GO:0043407;1.0;0.08300087736189002;0.28167971999938524;0.0;0.0;0.0;0.0;0.09801245620274762;0.0;0.0;0.11871114939657873;0.0;0.0756232139007321;0.0;0.0;0.0;0.0;0.0;0.08495874553735545;0.0;0.07952312852956323;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.08600259920359293;0.07742535040194483;0.0;0.0;0.5279976416520401;0.0
GO:0007173;0.08300087736189002;1.0;0.3759972601627927;0.028447585925587843;0.0;0.0;0.0;0.4074231540735493;0.023470889970637565;0.020845858660619693;0.3023030324656652;0.0;0.07374330593708489;0.020845858660619693;0.02738697369027742;0.027203341537502382;0.0;0.023538411979250773;0.3546716099506634;0.03057255868056386;0.07744698754904591;0.0;0.02340131964941717;0.0;0.0;0.0;0.0;0.0;0.6374718771077069;0.07545594335985083;0.0218054670890184;0.0;0.08910218958143741;0.02759133675389951
GO:0038096;0.28167971999938524;0.3759972601627927;1.0;0.031237292069706664;0.31459483896651863;0.0;0.0;0.44845492214938043;0.025337868382507723;0.31459483896651863;0.3396949020788301;0.0;0.19119742179820837;0.02230559084393641;0.029963121403407636;0.02974345637762238;0.0;0.025416577634217483;0.38536573456632145;0.6689647879612743;0.20157519447464164;0.0;0.02525680911777097;0.0;0.38313020667385117;0.0;0.345537403336329;0.0;0.39037055530602793;0.1959863209003512;0.023407851100751942;0.0;0.30433215499370575;0.030207911232185313
GO:0006401;0.0;0.028447585925587843;0.031237292069706664;1.0;0.0;0.0;0.0;0.03431088605910191;0.026709505715205768;0.023361732439439318;0.042819187273899655;0.0;0.0;0.023361732439439318;0.03190037374903532;0.356602330229985;0.0;0.02679698200837798;0.029198341619608777;0.036306922440652964;0.0;0.0;0.23562664575603037;0.0;0.0;0.0;0.0;0.6150698969814522;0.029600295798290946;0.02633190525729825;0.02457368084046926;0.0;0.0;0.23202037356041438
GO:0043152;0.0;0.0;0.31459483896651863;0.0;1.0;0.0;0.0;0.0;0.0;0.2535577717045737;0.0;0.6038154591337804;0.0;0.0;0.0;0.0;0.6005151122921306;0.0;0.0;0.3494361994480753;0.0;0.13526552826601107;0.0;0.0;0.7510486533375921;0.3535811365794576;0.3628929866110805;0.0;0.0;0.0;0.15027374614609906;0.0;0.0;0.0
GO:0001942;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0070588;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.7382957346156073;0.0;0.0;0.0;0.0;0.35199514694541795;0.0;0.0;0.0;0.3288249990046023;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.71368619712376;0.0;0.0
GO:0016055;0.09801245620274762;0.4074231540735493;0.44845492214938043;0.03431088605910191;0.0;0.0;0.0;1.0;0.02732324813445255;0.02382991529697199;0.3829658320134981;0.0;0.08535866479672993;0.02382991529697199;0.03277978046020873;0.03251705649325919;0.0;0.027414797640704692;0.4184460648687036;0.03745041688141645;0.09036054111256872;0.0;0.027229011816511422;0.0;0.0;0.0;0.0;0.0;0.42435359233236997;0.08766173430138746;0.025092239146645663;0.0;0.10663495306233148;0.03307298115982556
GO:0070207;0.0;0.023470889970637565;0.025337868382507723;0.026709505715205768;0.0;0.0;0.0;0.02732324813445255;1.0;0.01989707421866705;0.032459504818285294;0.0;0.0;0.01989707421866705;0.02577240146140143;0.025609718481388787;0.0;0.3802594702782784;0.023979595480373463;0.02857423882615891;0.0;0.0;0.02221229118145525;0.0;0.0;0.0;0.0;0.0;0.024250039016390085;0.18601625883094028;0.020769490860343066;0.0;0.0;0.02595329917554738
GO:0035754;0.0;0.020845858660619693;0.31459483896651863;0.023361732439439318;0.2535577717045737;0.0;0.0;0.02382991529697199;0.01989707421866705;1.0;0.02764507552902291;0.0;0.0;0.37210196309162413;0.02264165310332815;0.022515997531319814;0.0;0.019945577875110712;0.021246167726588917;0.3494361994480753;0.0;0.0;0.019847054713726234;0.0;0.29627334816092965;0.0;0.2732818814202241;0.0;0.021458197157809184;0.01968676996160056;0.01868714032575525;0.0;0.0;0.0227811515667553
GO:0035556;0.11871114939657873;0.3023030324656652;0.3396949020788301;0.042819187273899655;0.0;0.0;0.0;0.3829658320134981;0.032459504818285294;0.02764507552902291;1.0;0.0;0.10064112362664952;0.02764507552902291;0.04046067205741963;0.04006115166717547;0.0;0.032588790003417294;0.3121970415128082;0.04782236114521608;0.10766810943683541;0.0;0.03232659533817811;0.0;0.0;0.0;0.0;0.0;0.31754467850177054;0.10385823264421895;0.029358481352004768;0.0;0.1315995196535931;0.040908313499199704
GO:0050830;0.0;0.0;0.0;0.0;0.6038154591337804;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.7487085068483676;0.0;0.0;0.0;0.0;0.1601348307429137;0.0;0.0;0.6004861292695374;0.4363285525043453;0.44195812424497777;0.0;0.0;0.0;0.1816070755531566;0.0;0.0;0.0
GO:0010592;0.0756232139007321;0.07374330593708489;0.19119742179820837;0.0;0.0;0.0;0.0;0.08535866479672993;0.0;0.0;0.10064112362664952;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.07528473014089276;0.0;0.4124985188985804;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.07610325158856145;0.5274442918769043;0.0;0.0;0.0806552032145233;0.0
GO:0043615;0.0;0.020845858660619693;0.02230559084393641;0.023361732439439318;0.0;0.0;0.0;0.02382991529697199;0.01989707421866705;0.37210196309162413;0.02764507552902291;0.0;0.0;1.0;0.02264165310332815;0.022515997531319814;0.0;0.019945577875110712;0.021246167726588917;0.02477593375833625;0.0;0.0;0.019847054713726234;0.0;0.0;0.0;0.0;0.0;0.021458197157809184;0.01968676996160056;0.01868714032575525;0.0;0.0;0.0227811515667553
