;GO:0008360;GO:0016601;GO:0035023;GO:0032092;GO:0008380;GO:1904778;GO:0006366;GO:0007595;GO:0038096;GO:0000432;GO:0043547;GO:0030866;GO:0000281;GO:0048024;GO:0050852;GO:0065003;GO:0007186;GO:0031032;GO:0007264;GO:0050728;GO:0006376;GO:0043114;GO:0002692;GO:0000226;GO:0006397;GO:0043314;GO:0060313;GO:0048010;GO:0043066;GO:0043065;GO:0032496;GO:0050766;GO:0030036
GO:0008360;1.0;0.125;0.23529411764705882;0.3076923076923077;0.0;0.25;0.0;0.14285714285714285;0.1111111111111111;0.19047619047619047;0.2857142857142857;0.0;0.0;0.23529411764705882;0.1111111111111111;0.0;0.15384615384615385;0.0;0.14285714285714285;0.26666666666666666;0.0;0.46153846153846156;0.23529411764705882;0.0;0.0;0.21052631578947367;0.7142857142857143;0.125;0.5333333333333333;0.5333333333333333;0.0;0.625;0.0
GO:0016601;0.125;1.0;0.10526315789473684;0.13333333333333333;0.1111111111111111;0.1111111111111111;0.1;0.125;0.1;0.17391304347826086;0.125;0.25;0.13333333333333333;0.10526315789473684;0.1;0.14285714285714285;0.13333333333333333;0.25;0.125;0.11764705882352941;0.11764705882352941;0.13333333333333333;0.10526315789473684;0.26666666666666666;0.1111111111111111;0.09523809523809523;0.125;0.1111111111111111;0.11764705882352941;0.11764705882352941;0.0;0.1111111111111111;0.26666666666666666
GO:0035023;0.23529411764705882;0.10526315789473684;1.0;0.25;0.0;0.3157894736842105;0.0;0.11764705882352941;0.09523809523809523;0.3333333333333333;0.23529411764705882;0.0;0.0;0.4;0.09523809523809523;0.0;0.5;0.0;0.11764705882352941;0.4444444444444444;0.0;0.25;0.3;0.0;0.0;0.36363636363636365;0.35294117647058826;0.10526315789473684;0.4444444444444444;0.4444444444444444;0.0;0.42105263157894735;0.0
GO:0032092;0.3076923076923077;0.13333333333333333;0.25;1.0;0.0;0.26666666666666666;0.0;0.15384615384615385;0.11764705882352941;0.2;0.6153846153846154;0.0;0.0;0.25;0.11764705882352941;0.0;0.16666666666666666;0.0;0.15384615384615385;0.2857142857142857;0.0;0.3333333333333333;0.25;0.0;0.0;0.2222222222222222;0.3076923076923077;0.13333333333333333;0.2857142857142857;0.2857142857142857;0.0;0.26666666666666666;0.0
GO:0008380;0.0;0.1111111111111111;0.0;0.0;1.0;0.0;0.1;0.0;0.1;0.08695652173913043;0.0;0.125;0.13333333333333333;0.0;0.1;0.14285714285714285;0.13333333333333333;0.125;0.125;0.0;0.11764705882352941;0.0;0.0;0.13333333333333333;0.1111111111111111;0.0;0.0;0.1111111111111111;0.0;0.0;0.0;0.0;0.13333333333333333
GO:1904778;0.25;0.1111111111111111;0.3157894736842105;0.26666666666666666;0.0;1.0;0.0;0.125;0.1;0.34782608695652173;0.25;0.0;0.0;0.3157894736842105;0.1;0.0;0.13333333333333333;0.0;0.125;0.35294117647058826;0.0;0.26666666666666666;0.3157894736842105;0.0;0.0;0.2857142857142857;0.375;0.1111111111111111;0.35294117647058826;0.47058823529411764;0.0;0.4444444444444444;0.0
GO:0006366;0.0;0.1;0.0;0.0;0.1;0.0;1.0;0.0;0.09090909090909091;0.08;0.0;0.1111111111111111;0.11764705882352941;0.0;0.09090909090909091;0.125;0.11764705882352941;0.1111111111111111;0.1111111111111111;0.0;0.10526315789473684;0.0;0.0;0.11764705882352941;0.4;0.0;0.0;0.1;0.0;0.0;0.0;0.0;0.11764705882352941
GO:0007595;0.14285714285714285;0.125;0.11764705882352941;0.15384615384615385;0.0;0.125;0.0;1.0;0.1111111111111111;0.09523809523809523;0.14285714285714285;0.0;0.0;0.11764705882352941;0.1111111111111111;0.0;0.15384615384615385;0.0;0.14285714285714285;0.13333333333333333;0.0;0.15384615384615385;0.11764705882352941;0.0;0.0;0.10526315789473684;0.14285714285714285;0.125;0.13333333333333333;0.13333333333333333;0.0;0.125;0.0
GO:0038096;0.1111111111111111;0.1;0.09523809523809523;0.11764705882352941;0.1;0.1;0.09090909090909091;0.1111111111111111;1.0;0.16;0.1111111111111111;0.2222222222222222;0.11764705882352941;0.09523809523809523;0.09090909090909091;0.125;0.11764705882352941;0.2222222222222222;0.1111111111111111;0.10526315789473684;0.10526315789473684;0.11764705882352941;0.09523809523809523;0.23529411764705882;0.1;0.43478260869565216;0.1111111111111111;0.1;0.10526315789473684;0.10526315789473684;0.0;0.1;0.23529411764705882
GO:0000432;0.19047619047619047;0.17391304347826086;0.3333333333333333;0.2;0.08695652173913043;0.34782608695652173;0.08;0.09523809523809523;0.16;1.0;0.19047619047619047;0.19047619047619047;0.2;0.5;0.16;0.10526315789473684;0.2;0.19047619047619047;0.19047619047619047;0.2727272727272727;0.18181818181818182;0.2;0.25;0.2;0.08695652173913043;0.23076923076923078;0.2857142857142857;0.17391304347826086;0.36363636363636365;0.36363636363636365;0.3;0.34782608695652173;0.2
GO:0043547;0.2857142857142857;0.125;0.23529411764705882;0.6153846153846154;0.0;0.25;0.0;0.14285714285714285;0.1111111111111111;0.19047619047619047;1.0;0.0;0.0;0.23529411764705882;0.1111111111111111;0.0;0.15384615384615385;0.0;0.14285714285714285;0.26666666666666666;0.0;0.3076923076923077;0.23529411764705882;0.0;0.0;0.21052631578947367;0.2857142857142857;0.125;0.26666666666666666;0.26666666666666666;0.0;0.25;0.0
GO:0030866;0.0;0.25;0.0;0.0;0.125;0.0;0.1111111111111111;0.0;0.2222222222222222;0.19047619047619047;0.0;1.0;0.3076923076923077;0.0;0.2222222222222222;0.16666666666666666;0.3076923076923077;0.8571428571428571;0.2857142857142857;0.0;0.26666666666666666;0.0;0.0;0.7692307692307693;0.125;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.9230769230769231
GO:0000281;0.0;0.13333333333333333;0.0;0.0;0.13333333333333333;0.0;0.11764705882352941;0.0;0.11764705882352941;0.2;0.0;0.3076923076923077;1.0;0.0;0.11764705882352941;0.18181818181818182;0.16666666666666666;0.3076923076923077;0.15384615384615385;0.0;0.14285714285714285;0.0;0.0;0.3333333333333333;0.13333333333333333;0.0;0.0;0.13333333333333333;0.0;0.0;0.0;0.0;0.3333333333333333
GO:0048024;0.23529411764705882;0.10526315789473684;0.4;0.25;0.0;0.3157894736842105;0.0;0.11764705882352941;0.09523809523809523;0.5;0.23529411764705882;0.0;0.0;1.0;0.09523809523809523;0.0;0.5;0.0;0.11764705882352941;0.3333333333333333;0.0;0.25;0.3;0.0;0.0;0.2727272727272727;0.35294117647058826;0.10526315789473684;0.4444444444444444;0.4444444444444444;0.0;0.42105263157894735;0.0
GO:0050852;0.1111111111111111;0.1;0.09523809523809523;0.11764705882352941;0.1;0.1;0.09090909090909091;0.1111111111111111;0.09090909090909091;0.16;0.1111111111111111;0.2222222222222222;0.11764705882352941;0.09523809523809523;1.0;0.125;0.11764705882352941;0.2222222222222222;0.1111111111111111;0.10526315789473684;0.10526315789473684;0.11764705882352941;0.09523809523809523;0.23529411764705882;0.1;0.08695652173913043;0.1111111111111111;0.1;0.10526315789473684;0.10526315789473684;0.0;0.1;0.23529411764705882
GO:0065003;0.0;0.14285714285714285;0.0;0.0;0.14285714285714285;0.0;0.125;0.0;0.125;0.10526315789473684;0.0;0.16666666666666666;0.18181818181818182;0.0;0.125;1.0;0.18181818181818182;0.16666666666666666;0.16666666666666666;0.0;0.7692307692307693;0.0;0.0;0.18181818181818182;0.14285714285714285;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.18181818181818182
GO:0007186;0.15384615384615385;0.13333333333333333;0.5;0.16666666666666666;0.13333333333333333;0.13333333333333333;0.11764705882352941;0.15384615384615385;0.11764705882352941;0.2;0.15384615384615385;0.3076923076923077;0.16666666666666666;0.5;0.11764705882352941;0.18181818181818182;1.0;0.3076923076923077;0.15384615384615385;0.14285714285714285;0.14285714285714285;0.16666666666666666;0.125;0.3333333333333333;0.13333333333333333;0.1111111111111111;0.15384615384615385;0.13333333333333333;0.5714285714285714;0.5714285714285714;0.0;0.5333333333333333;0.3333333333333333
GO:0031032;0.0;0.25;0.0;0.0;0.125;0.0;0.1111111111111111;0.0;0.2222222222222222;0.19047619047619047;0.0;0.8571428571428571;0.3076923076923077;0.0;0.2222222222222222;0.16666666666666666;0.3076923076923077;1.0;0.2857142857142857;0.0;0.26666666666666666;0.0;0.0;0.7692307692307693;0.125;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.9230769230769231
GO:0007264;0.14285714285714285;0.125;0.11764705882352941;0.15384615384615385;0.125;0.125;0.1111111111111111;0.14285714285714285;0.1111111111111111;0.19047619047619047;0.14285714285714285;0.2857142857142857;0.15384615384615385;0.11764705882352941;0.1111111111111111;0.16666666666666666;0.15384615384615385;0.2857142857142857;1.0;0.13333333333333333;0.13333333333333333;0.15384615384615385;0.11764705882352941;0.3076923076923077;0.125;0.10526315789473684;0.14285714285714285;0.125;0.5333333333333333;0.5333333333333333;0.0;0.125;0.3076923076923077
GO:0050728;0.26666666666666666;0.11764705882352941;0.4444444444444444;0.2857142857142857;0.0;0.35294117647058826;0.0;0.13333333333333333;0.10526315789473684;0.2727272727272727;0.26666666666666666;0.0;0.0;0.3333333333333333;0.10526315789473684;0.0;0.14285714285714285;0.0;0.13333333333333333;1.0;0.0;0.2857142857142857;0.4444444444444444;0.0;0.0;0.5;0.5333333333333333;0.11764705882352941;0.5;0.375;0.0;0.35294117647058826;0.0
GO:0006376;0.0;0.11764705882352941;0.0;0.0;0.11764705882352941;0.0;0.10526315789473684;0.0;0.10526315789473684;0.18181818181818182;0.0;0.26666666666666666;0.14285714285714285;0.0;0.10526315789473684;0.7692307692307693;0.14285714285714285;0.26666666666666666;0.13333333333333333;0.0;1.0;0.0;0.0;0.2857142857142857;0.11764705882352941;0.0;0.0;0.11764705882352941;0.0;0.0;0.0;0.0;0.2857142857142857
